generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.8535534323203993,-0.0319111204225133,0.8535534323203993,143.8,0.02778584392014519,0.0916080847651718,0.7634947466241704,0.563816452065933,"[10138132, 1253451, 12920142, 12925, 1304091, 1315431, 13253992, 13330612, 13654112, 14180279, 14270650, 14344614, 14368074, 14390067, 14430556, 14519891, 14549852, 14578032, 14828938, 14951093, 15076390, 15078437, 15105269, 15112648, 15162962, 15174079, 15186722, 15483913, 15664977, 15728729, 15941343, 16102437, 16236786, 16359962, 16428901, 16447060, 16494857, 16918618, 16936384, 16958590, 17173775, 17297261, 17316916, 17451621, 17498138, 17542666, 17850012, 17862883, 18044059, 18059285, 18102660, 18179554, 18326035, 18405034, 18645243, 18882655, 18954398, 18975155, 19105135, 19215129, 19343291, 19451823, 19624059, 19686924, 20352155, 20657078, 20659066, 20788139, 20795697, 20851551, 2140491, 21733345, 22303562, 22461427, 22578352, 22816200, 23015762, 23192594, 23480093, 23662170, 2384071, 23885448, 25681991, 25721532, 26763525, 27755928, 28447324, 29089902, 29863027, 30009126, 30157434, 30296618, 30556522, 31285824, 32627702, 35967493, 36016773, 37527239, 38640812, 38988224, 39469612, 5054721, 5074681, 5378272, 5522622, 6300502, 7341752, 7376382, 7561302, 7725712, 774675, 780591, 7858302, 789043, 821812, 8720562, 8820652, 901731, 9146202, 9983972]",20,156,0,213,0,47.93333333333334,1.0,"1,0,2"
1,0.8828943115461285,-0.02967344622599529,0.8828943115461285,145.2,0.028493647912885663,0.08784054036487625,0.7839404592308039,0.5620387806366816,"[10125822, 10138132, 10638782, 10659742, 11350892, 1253451, 12920142, 1304091, 1315431, 13253992, 13330612, 13501922, 13654112, 14301386, 14305154, 14368074, 14390067, 14430556, 14505596, 14506615, 14514220, 14519891, 14549852, 14785887, 14828860, 14959367, 15076390, 15078437, 15093092, 15112648, 15130854, 15145142, 15184942, 15256188, 15307206, 15498654, 15546710, 1565151, 15728729, 15757811, 15941343, 16004411, 16054649, 16077875, 16102437, 16236786, 16431844, 16447060, 16561591, 16855827, 17173775, 17291344, 17297261, 17316916, 17323772, 17431643, 17486893, 17515749, 17542666, 17850012, 17862286, 18044059, 18102660, 18166634, 18221018, 18326035, 18405034, 18645243, 18718930, 19105135, 19215129, 19451823, 19624059, 19686924, 19745574, 20352155, 20661527, 20719354, 20734423, 20851551, 21044126, 21550185, 21733345, 22303562, 22816200, 22955009, 23015762, 23344327, 23662170, 2384071, 23885448, 25681991, 25721532, 26766494, 27486099, 28426100, 28447324, 29620256, 29863027, 30157434, 30473755, 30556522, 32294244, 32949746, 35967493, 38640812, 5054721, 5522622, 6107302, 7376382, 7561302, 770441, 774675, 774791, 780591, 7858302, 821812, 82243, 8820652, 9146202]",20,132,0,169,0,48.4,1.0,"1,0,2"
2,0.8828943115461285,-0.02967344622599529,0.8828943115461285,145.2,0.028493647912885663,0.08784054036487625,0.8012374157951794,0.5512696505854939,"[10125822, 10138132, 10638782, 10659742, 11350892, 1253451, 12920142, 1304091, 1315431, 13253992, 13330612, 13501922, 13654112, 14301386, 14305154, 14368074, 14390067, 14430556, 14505596, 14506615, 14514220, 14519891, 14549852, 14785887, 14828860, 14959367, 15076390, 15078437, 15093092, 15112648, 15130854, 15145142, 15184942, 15256188, 15307206, 15498654, 15546710, 1565151, 15728729, 15757811, 15941343, 16004411, 16054649, 16077875, 16102437, 16236786, 16431844, 16447060, 16561591, 16855827, 17173775, 17291344, 17297261, 17316916, 17323772, 17431643, 17486893, 17515749, 17542666, 17850012, 17862286, 18044059, 18102660, 18166634, 18221018, 18326035, 18405034, 18645243, 18718930, 19105135, 19215129, 19451823, 19624059, 19686924, 19745574, 20352155, 20661527, 20719354, 20734423, 20851551, 21044126, 21550185, 21733345, 22303562, 22816200, 22955009, 23015762, 23344327, 23662170, 2384071, 23885448, 25681991, 25721532, 26766494, 27486099, 28426100, 28447324, 29620256, 29863027, 30157434, 30473755, 30556522, 32294244, 32949746, 35967493, 38640812, 5054721, 5522622, 6107302, 7376382, 7561302, 770441, 774675, 774791, 780591, 7858302, 821812, 82243, 8820652, 9146202]",20,160,0,196,0,48.4,1.0,"1,0,2"
3,0.8828943115461285,-0.02967344622599529,0.8828943115461285,145.2,0.028493647912885663,0.08784054036487625,0.8156149511501513,0.547486323725675,"[10125822, 10138132, 10638782, 10659742, 11350892, 1253451, 12920142, 1304091, 1315431, 13253992, 13330612, 13501922, 13654112, 14301386, 14305154, 14368074, 14390067, 14430556, 14505596, 14506615, 14514220, 14519891, 14549852, 14785887, 14828860, 14959367, 15076390, 15078437, 15093092, 15112648, 15130854, 15145142, 15184942, 15256188, 15307206, 15498654, 15546710, 1565151, 15728729, 15757811, 15941343, 16004411, 16054649, 16077875, 16102437, 16236786, 16431844, 16447060, 16561591, 16855827, 17173775, 17291344, 17297261, 17316916, 17323772, 17431643, 17486893, 17515749, 17542666, 17850012, 17862286, 18044059, 18102660, 18166634, 18221018, 18326035, 18405034, 18645243, 18718930, 19105135, 19215129, 19451823, 19624059, 19686924, 19745574, 20352155, 20661527, 20719354, 20734423, 20851551, 21044126, 21550185, 21733345, 22303562, 22816200, 22955009, 23015762, 23344327, 23662170, 2384071, 23885448, 25681991, 25721532, 26766494, 27486099, 28426100, 28447324, 29620256, 29863027, 30157434, 30473755, 30556522, 32294244, 32949746, 35967493, 38640812, 5054721, 5522622, 6107302, 7376382, 7561302, 770441, 774675, 774791, 780591, 7858302, 821812, 82243, 8820652, 9146202]",20,136,0,170,0,48.4,1.0,"1,0,2"
4,0.8828943115461285,-0.02967344622599529,0.8828943115461285,145.2,0.028493647912885663,0.08784054036487625,0.8304394712364374,0.5344746073069945,"[10125822, 10138132, 10638782, 10659742, 11350892, 1253451, 12920142, 1304091, 1315431, 13253992, 13330612, 13501922, 13654112, 14301386, 14305154, 14368074, 14390067, 14430556, 14505596, 14506615, 14514220, 14519891, 14549852, 14785887, 14828860, 14959367, 15076390, 15078437, 15093092, 15112648, 15130854, 15145142, 15184942, 15256188, 15307206, 15498654, 15546710, 1565151, 15728729, 15757811, 15941343, 16004411, 16054649, 16077875, 16102437, 16236786, 16431844, 16447060, 16561591, 16855827, 17173775, 17291344, 17297261, 17316916, 17323772, 17431643, 17486893, 17515749, 17542666, 17850012, 17862286, 18044059, 18102660, 18166634, 18221018, 18326035, 18405034, 18645243, 18718930, 19105135, 19215129, 19451823, 19624059, 19686924, 19745574, 20352155, 20661527, 20719354, 20734423, 20851551, 21044126, 21550185, 21733345, 22303562, 22816200, 22955009, 23015762, 23344327, 23662170, 2384071, 23885448, 25681991, 25721532, 26766494, 27486099, 28426100, 28447324, 29620256, 29863027, 30157434, 30473755, 30556522, 32294244, 32949746, 35967493, 38640812, 5054721, 5522622, 6107302, 7376382, 7561302, 770441, 774675, 774791, 780591, 7858302, 821812, 82243, 8820652, 9146202]",20,132,0,169,0,48.4,1.0,"1,0,2"
5,0.8828943115461285,-0.02967344622599529,0.8828943115461285,145.2,0.028493647912885663,0.08784054036487625,0.8431150408774641,0.5165446046847715,"[10125822, 10138132, 10638782, 10659742, 11350892, 1253451, 12920142, 1304091, 1315431, 13253992, 13330612, 13501922, 13654112, 14301386, 14305154, 14368074, 14390067, 14430556, 14505596, 14506615, 14514220, 14519891, 14549852, 14785887, 14828860, 14959367, 15076390, 15078437, 15093092, 15112648, 15130854, 15145142, 15184942, 15256188, 15307206, 15498654, 15546710, 1565151, 15728729, 15757811, 15941343, 16004411, 16054649, 16077875, 16102437, 16236786, 16431844, 16447060, 16561591, 16855827, 17173775, 17291344, 17297261, 17316916, 17323772, 17431643, 17486893, 17515749, 17542666, 17850012, 17862286, 18044059, 18102660, 18166634, 18221018, 18326035, 18405034, 18645243, 18718930, 19105135, 19215129, 19451823, 19624059, 19686924, 19745574, 20352155, 20661527, 20719354, 20734423, 20851551, 21044126, 21550185, 21733345, 22303562, 22816200, 22955009, 23015762, 23344327, 23662170, 2384071, 23885448, 25681991, 25721532, 26766494, 27486099, 28426100, 28447324, 29620256, 29863027, 30157434, 30473755, 30556522, 32294244, 32949746, 35967493, 38640812, 5054721, 5522622, 6107302, 7376382, 7561302, 770441, 774675, 774791, 780591, 7858302, 821812, 82243, 8820652, 9146202]",20,148,0,183,0,48.4,1.0,"1,0,2"
6,0.8867710564017038,-0.02852971098531152,0.8867710564017038,147.65,0.029165154264972775,0.08622457623559582,0.8467734969783158,0.5032576029506299,"[10125822, 10138132, 10638782, 11350892, 11672342, 1253451, 12920142, 12925, 12973362, 1304091, 1315431, 13253992, 13330612, 13501922, 13654112, 14249581, 14305154, 14368074, 14390067, 14430556, 14437161, 14505596, 14506615, 14514220, 14519891, 14696934, 14785887, 14818703, 14830184, 14837785, 14935079, 14951093, 14959367, 15076390, 15078437, 15145142, 15174079, 15184942, 15186722, 15256188, 15307206, 15338788, 15357283, 15412118, 15498654, 15546710, 15757811, 15802312, 16004411, 16054649, 16102437, 16236786, 16412744, 16431844, 16447060, 16494857, 16561591, 16855827, 16936384, 17173775, 17201112, 17291344, 17323772, 17431643, 17451621, 17486893, 17498138, 17542666, 17645505, 17850012, 17862286, 17887849, 18044059, 18102660, 18166634, 18179554, 18326035, 18405034, 18718930, 19215129, 19624059, 19686924, 19745574, 19942754, 20661527, 20851551, 21550185, 22303562, 22461427, 23015762, 23344327, 23662170, 2384071, 23885448, 25681991, 25721532, 26473619, 26478351, 26766494, 29620256, 30157434, 30473755, 30556522, 32294244, 3339171, 35057448, 37526886, 37529061, 5054721, 5378272, 5745462, 7376382, 770441, 780591, 7858302, 8820652, 901731, 9146202, 9244632, 9590002]",20,156,0,193,0,49.21666666666667,1.0,"1,0,2"
7,0.8880368463608876,-0.029282028583402155,0.8880368463608876,145.15,0.02856624319419238,0.08713030036099668,0.8528182963255325,0.49695070912801864,"[10125822, 10138132, 10638782, 10659742, 10732492, 11231562, 11350892, 1253451, 12920142, 1304091, 1315431, 13253992, 13330612, 13501922, 13654112, 14116517, 14305154, 14368074, 14390067, 14430556, 14505596, 14506615, 14514220, 14519891, 14549852, 14696934, 14785887, 14828860, 14830184, 14935079, 14951093, 14959367, 15076390, 15078437, 15093092, 15130854, 15145142, 15162962, 15184942, 15186722, 15256188, 15307206, 15357283, 15450146, 15483913, 15498654, 15546710, 15664977, 15728729, 15757811, 15846682, 15941343, 15957148, 16004411, 16054649, 16077875, 16102437, 16359962, 16431844, 16447060, 16561591, 16855827, 16936384, 16958590, 16979008, 17112369, 17173775, 17201112, 17291344, 17297261, 17316916, 17323772, 17431643, 17486893, 17542666, 17548348, 17850012, 17862286, 17862883, 18044059, 18102660, 18166634, 18326035, 18405034, 18975155, 19624059, 19686924, 19745574, 20719354, 21175294, 21550185, 22303562, 22461427, 22574003, 23015762, 23192594, 23344327, 23662170, 2384071, 23885448, 25681991, 29620256, 29863027, 30157434, 30473755, 32294244, 32627702, 5054721, 5745462, 5778852, 6107302, 770441, 774791, 780591, 7858302, 7976712, 820919, 8820652, 9244632, 9590002]",20,152,0,189,0,48.38333333333333,1.0,"1,0,2"
8,0.8880368463608876,-0.029282028583402155,0.8880368463608876,145.15,0.02856624319419238,0.08713030036099668,0.8530299462117827,0.4963971037392669,"[10125822, 10138132, 10638782, 10659742, 10732492, 11231562, 11350892, 1253451, 12920142, 1304091, 1315431, 13253992, 13330612, 13501922, 13654112, 14116517, 14305154, 14368074, 14390067, 14430556, 14505596, 14506615, 14514220, 14519891, 14549852, 14696934, 14785887, 14828860, 14830184, 14935079, 14951093, 14959367, 15076390, 15078437, 15093092, 15130854, 15145142, 15162962, 15184942, 15186722, 15256188, 15307206, 15357283, 15450146, 15483913, 15498654, 15546710, 15664977, 15728729, 15757811, 15846682, 15941343, 15957148, 16004411, 16054649, 16077875, 16102437, 16359962, 16431844, 16447060, 16561591, 16855827, 16936384, 16958590, 16979008, 17112369, 17173775, 17201112, 17291344, 17297261, 17316916, 17323772, 17431643, 17486893, 17542666, 17548348, 17850012, 17862286, 17862883, 18044059, 18102660, 18166634, 18326035, 18405034, 18975155, 19624059, 19686924, 19745574, 20719354, 21175294, 21550185, 22303562, 22461427, 22574003, 23015762, 23192594, 23344327, 23662170, 2384071, 23885448, 25681991, 29620256, 29863027, 30157434, 30473755, 32294244, 32627702, 5054721, 5745462, 5778852, 6107302, 770441, 774791, 780591, 7858302, 7976712, 820919, 8820652, 9244632, 9590002]",20,140,0,180,0,48.38333333333333,1.0,"1,0,2"
9,0.9584317026016801,-0.024004028913378352,0.9584317026016801,145.5,0.02972776769509982,0.07773582552185652,0.8737826151923269,0.4865893706602713,"[10138132, 10638782, 10659742, 10732492, 11231562, 11350892, 1253451, 12920142, 1315431, 13253992, 13330612, 13501922, 13654112, 14116517, 14301386, 14368074, 14390067, 14430556, 14437161, 14506615, 14514220, 14519891, 14549852, 14696934, 14785887, 14830184, 14935079, 14951093, 14959367, 15076390, 15078437, 15093092, 15105269, 15112648, 15130854, 15145142, 15184942, 15256188, 15338788, 15357283, 15498654, 15546710, 1565151, 15664977, 15728729, 15757811, 15802312, 15941343, 16004411, 16054649, 16077875, 16102437, 16186643, 16236786, 16431844, 16447060, 16494857, 16561591, 16855827, 16918618, 16936384, 17173775, 17201112, 17316916, 17323772, 17431643, 17542666, 17548348, 17565994, 17673099, 17850012, 17862286, 18044059, 18102660, 18166634, 18221018, 18326035, 18718930, 18954398, 19215129, 19564125, 19624059, 19686924, 20466461, 20851551, 21044126, 21550185, 22026974, 22303562, 22461427, 23015762, 23344327, 23662170, 2384071, 23885448, 25681991, 26766494, 27486099, 29620256, 29863027, 30009126, 30157434, 30473755, 31285824, 31753236, 32294244, 32949746, 3339171, 38640812, 5054721, 6107302, 7376382, 770441, 780591, 7858302, 7976712, 820919, 9146202, 9244632, 9590002]",20,140,0,178,0,48.5,1.0,"1,0,2"
