generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,1.4629023644470884,0.011398905078455361,1.4629023644470884,42.25,0.06330935251798561,0.04051154236107489,1.0440965107707245,0.641170398552642,"[122, 13, 14, 179, 18, 21, 223, 224, 23, 238, 258, 263, 264, 265, 266, 268, 269, 278, 281, 285, 297, 317, 327, 33, 331, 340, 355, 36, 371, 391, 40, 41, 428, 44, 45, 464, 492, 5, 59, 85]",16,91,0,138,0,4.2,1.0,"40-49,18-24,50-59"
1,1.4629023644470884,0.011398905078455361,1.4629023644470884,42.25,0.06330935251798561,0.04051154236107489,1.170688703959136,0.6178633671032328,"[122, 13, 14, 179, 18, 21, 223, 224, 23, 238, 258, 263, 264, 265, 266, 268, 269, 278, 281, 285, 297, 317, 327, 33, 331, 340, 355, 36, 371, 391, 40, 41, 428, 44, 45, 464, 492, 5, 59, 85]",16,84,0,116,0,4.2,1.0,"40-49,18-24,50-59"
2,1.4629023644470884,0.011398905078455361,1.4629023644470884,42.25,0.06330935251798561,0.04051154236107489,1.272178732267209,0.6024537498526357,"[122, 13, 14, 179, 18, 21, 223, 224, 23, 238, 258, 263, 264, 265, 266, 268, 269, 278, 281, 285, 297, 317, 327, 33, 331, 340, 355, 36, 371, 391, 40, 41, 428, 44, 45, 464, 492, 5, 59, 85]",16,102,0,131,0,4.2,1.0,"40-49,18-24,50-59"
3,1.4629023644470884,0.011398905078455361,1.4629023644470884,42.25,0.06330935251798561,0.04051154236107489,1.3098874170143484,0.5766915301736836,"[122, 13, 14, 179, 18, 21, 223, 224, 23, 238, 258, 263, 264, 265, 266, 268, 269, 278, 281, 285, 297, 317, 327, 33, 331, 340, 355, 36, 371, 391, 40, 41, 428, 44, 45, 464, 492, 5, 59, 85]",16,104,0,134,0,4.2,1.0,"40-49,18-24,50-59"
4,1.5627980688223384,0.022950997119345666,1.5627980688223384,42.85,0.07266187050359713,0.02675987626490579,1.3428043067751871,0.5671183263709418,"[12, 122, 13, 14, 18, 2, 21, 223, 224, 227, 238, 258, 263, 264, 265, 266, 268, 269, 271, 272, 278, 281, 285, 286, 287, 291, 300, 302, 327, 33, 340, 355, 40, 41, 44, 45, 464, 5, 59, 85]",16,122,0,152,0,4.183333333333334,1.0,"40-49,50-59,30-39"
5,1.5627980688223384,0.022950997119345666,1.5627980688223384,42.85,0.07266187050359713,0.02675987626490579,1.365770584646358,0.548283588418433,"[12, 122, 13, 14, 18, 2, 21, 223, 224, 227, 238, 258, 263, 264, 265, 266, 268, 269, 271, 272, 278, 281, 285, 286, 287, 291, 300, 302, 327, 33, 340, 355, 40, 41, 44, 45, 464, 5, 59, 85]",16,99,0,128,0,4.183333333333334,1.0,"40-49,50-59,30-39"
6,1.5627980688223384,0.022950997119345666,1.5627980688223384,42.85,0.07266187050359713,0.02675987626490579,1.3913170880275165,0.5261648749230793,"[12, 122, 13, 14, 18, 2, 21, 223, 224, 227, 238, 258, 263, 264, 265, 266, 268, 269, 271, 272, 278, 281, 285, 286, 287, 291, 300, 302, 327, 33, 340, 355, 40, 41, 44, 45, 464, 5, 59, 85]",16,101,0,130,0,4.183333333333334,1.0,"40-49,50-59,30-39"
7,1.5722233672792,0.023996667439491765,1.5722233672792,41.95,0.07086330935251799,0.022869974473534456,1.4245767288686142,0.5287507754527767,"[104, 12, 122, 13, 151, 18, 183, 21, 224, 227, 23, 233, 256, 258, 263, 264, 265, 266, 267, 268, 269, 271, 282, 286, 287, 291, 302, 327, 33, 330, 331, 393, 41, 437, 45, 464, 492, 59, 61, 85]",16,98,0,128,0,3.85,1.0,"40-49,30-39,50-59"
8,1.5910276715100842,0.02632758638771463,1.5910276715100842,42.0,0.07525773195876288,0.022602559183333624,1.459896741274561,0.5213591735549007,"[104, 179, 18, 2, 20, 21, 227, 23, 238, 259, 263, 264, 268, 269, 271, 274, 278, 287, 291, 297, 299, 302, 317, 327, 33, 331, 350, 371, 40, 41, 428, 44, 45, 464, 477, 52, 55, 59, 84, 85]",16,86,0,112,0,3.8166666666666664,1.0,"30-39,18-24,50-59"
9,1.5910276715100842,0.02632758638771463,1.5910276715100842,42.0,0.07525773195876288,0.022602559183333624,1.4806586710381948,0.5218835398442806,"[104, 179, 18, 2, 20, 21, 227, 23, 238, 259, 263, 264, 268, 269, 271, 274, 278, 287, 291, 297, 299, 302, 317, 327, 33, 331, 350, 371, 40, 41, 428, 44, 45, 464, 477, 52, 55, 59, 84, 85]",16,99,0,131,0,3.8166666666666664,1.0,"30-39,18-24,50-59"
