generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,1.3995852907606217,0.0045713243878613,1.3995852907606217,42.45,0.06746031746031746,0.058317668684594856,1.1684694873697887,0.6723905271954362,"[1, 100, 127, 137, 151, 153, 17, 22, 251, 261, 263, 264, 265, 267, 271, 287, 291, 293, 297, 327, 33, 330, 331, 343, 35, 350, 37, 39, 44, 45, 461, 471, 485, 492, 6, 61, 62, 70, 77, 85]",16,92,0,136,0,3.8333333333333335,1.0,"50-59,30-39,65+"
1,1.4975368073192707,0.015704000037870276,1.4975368073192707,42.45,0.07194244604316546,0.04053444596742491,1.2924288799260986,0.6303850468249004,"[100, 104, 113, 127, 13, 17, 18, 20, 21, 22, 229, 238, 261, 263, 264, 267, 269, 271, 282, 285, 287, 33, 338, 344, 35, 360, 37, 38, 385, 39, 411, 45, 489, 56, 6, 61, 62, 70, 77, 85]",16,101,0,131,0,4.233333333333333,1.0,"40-49,30-39,18-24"
2,1.567744675930849,0.023845242073643247,1.567744675930849,42.6,0.07835051546391752,0.03066003131663103,1.3687529320887024,0.6136206199326284,"[100, 104, 113, 13, 151, 163, 17, 21, 22, 229, 238, 261, 263, 265, 266, 271, 274, 278, 287, 291, 297, 326, 327, 33, 332, 343, 35, 371, 432, 45, 462, 471, 489, 492, 61, 62, 70, 77, 85, 87]",16,98,0,128,0,4.066666666666666,1.0,"30-39,40-49,50-59"
3,1.567744675930849,0.023845242073643247,1.567744675930849,42.6,0.07835051546391752,0.03066003131663103,1.4280438264136055,0.6000087676251655,"[100, 104, 113, 13, 151, 163, 17, 21, 22, 229, 238, 261, 263, 265, 266, 271, 274, 278, 287, 291, 297, 326, 327, 33, 332, 343, 35, 371, 432, 45, 462, 471, 489, 492, 61, 62, 70, 77, 85, 87]",16,95,0,125,0,4.066666666666666,1.0,"30-39,40-49,50-59"
4,1.567744675930849,0.023845242073643247,1.567744675930849,42.6,0.07835051546391752,0.03066003131663103,1.4589684338530937,0.5885862847635426,"[100, 104, 113, 13, 151, 163, 17, 21, 22, 229, 238, 261, 263, 265, 266, 271, 274, 278, 287, 291, 297, 326, 327, 33, 332, 343, 35, 371, 432, 45, 462, 471, 489, 492, 61, 62, 70, 77, 85, 87]",16,94,0,125,0,4.066666666666666,1.0,"30-39,40-49,50-59"
5,1.567744675930849,0.023845242073643247,1.567744675930849,42.6,0.07835051546391752,0.03066003131663103,1.4873360899622516,0.5766145399477722,"[100, 104, 113, 13, 151, 163, 17, 21, 22, 229, 238, 261, 263, 265, 266, 271, 274, 278, 287, 291, 297, 326, 327, 33, 332, 343, 35, 371, 432, 45, 462, 471, 489, 492, 61, 62, 70, 77, 85, 87]",16,112,0,140,0,4.066666666666666,1.0,"30-39,40-49,50-59"
6,1.567744675930849,0.023845242073643247,1.567744675930849,42.6,0.07835051546391752,0.03066003131663103,1.4962789092815327,0.5669217600114907,"[100, 104, 113, 13, 151, 163, 17, 21, 22, 229, 238, 261, 263, 265, 266, 271, 274, 278, 287, 291, 297, 326, 327, 33, 332, 343, 35, 371, 432, 45, 462, 471, 489, 492, 61, 62, 70, 77, 85, 87]",16,102,0,129,0,4.066666666666666,1.0,"30-39,40-49,50-59"
7,1.567744675930849,0.023845242073643247,1.567744675930849,42.6,0.07835051546391752,0.03066003131663103,1.500473991708858,0.5665557784922856,"[100, 104, 113, 13, 151, 163, 17, 21, 22, 229, 238, 261, 263, 265, 266, 271, 274, 278, 287, 291, 297, 326, 327, 33, 332, 343, 35, 371, 432, 45, 462, 471, 489, 492, 61, 62, 70, 77, 85, 87]",16,97,0,127,0,4.066666666666666,1.0,"30-39,40-49,50-59"
8,1.567744675930849,0.023845242073643247,1.567744675930849,42.6,0.07835051546391752,0.03066003131663103,1.506913904707627,0.5607056632595844,"[100, 104, 113, 13, 151, 163, 17, 21, 22, 229, 238, 261, 263, 265, 266, 271, 274, 278, 287, 291, 297, 326, 327, 33, 332, 343, 35, 371, 432, 45, 462, 471, 489, 492, 61, 62, 70, 77, 85, 87]",16,111,0,140,0,4.066666666666666,1.0,"30-39,40-49,50-59"
9,1.5750043054343963,0.024432712041394595,1.5750043054343963,43.3,0.07577319587628865,0.026907771793499465,1.5273476024515613,0.575073463593746,"[100, 101, 104, 13, 137, 17, 18, 20, 21, 22, 229, 238, 261, 263, 264, 266, 271, 274, 287, 292, 296, 297, 317, 326, 327, 33, 331, 332, 343, 35, 350, 37, 371, 38, 432, 44, 45, 61, 62, 77]",16,100,0,129,0,4.05,1.0,"30-39,18-24,25-29"
