generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,1.7235118865563042,0.04148186691895304,1.7235118865563042,45.3,0.08942857142857143,0.006464837590665352,1.544090132199615,0.33636836388136543,"[105, 11, 110, 115, 137, 138, 139, 141, 149, 167, 173, 18, 196, 225, 233, 24, 250, 261, 262, 299, 301, 328, 345, 364, 39, 393, 394, 398, 406, 421, 437, 444, 451, 462, 479, 48, 485, 496, 72, 98]",16,138,0,185,0,22.65,1.0,"1,0"
1,1.7409609690582746,0.043467648942985285,1.7409609690582746,44.6,0.08885714285714286,0.0019218449711722845,1.7025352376739202,0.32638840297703475,"[105, 11, 110, 115, 137, 138, 139, 141, 146, 149, 167, 173, 18, 196, 227, 233, 24, 250, 261, 262, 299, 301, 328, 345, 364, 375, 394, 398, 406, 408, 410, 443, 444, 462, 48, 485, 494, 496, 72, 98]",16,135,0,165,0,22.3,1.0,"1,0"
2,1.7409609690582746,0.043467648942985285,1.7409609690582746,44.6,0.08885714285714286,0.0019218449711722845,1.723377076577741,0.3417166066554278,"[105, 11, 110, 115, 137, 138, 139, 141, 146, 149, 167, 173, 18, 196, 227, 233, 24, 250, 261, 262, 299, 301, 328, 345, 364, 375, 394, 398, 406, 408, 410, 443, 444, 462, 48, 485, 494, 496, 72, 98]",16,120,0,152,0,22.3,1.0,"1,0"
3,1.741429950009538,0.04351092809629393,1.741429950009538,45.1,0.0897142857142857,0.0026924295216978413,1.7313923731039702,0.3223475434147159,"[105, 11, 110, 115, 137, 138, 139, 141, 146, 149, 167, 173, 18, 196, 225, 233, 24, 250, 261, 262, 299, 301, 328, 345, 364, 375, 39, 394, 398, 406, 410, 443, 444, 451, 462, 479, 485, 496, 72, 98]",16,126,0,153,0,22.549999999999997,1.0,"1,0"
4,1.741429950009538,0.04351092809629393,1.741429950009538,45.1,0.0897142857142857,0.0026924295216978413,1.7332612255308675,0.3159068954860278,"[105, 11, 110, 115, 137, 138, 139, 141, 146, 149, 167, 173, 18, 196, 225, 233, 24, 250, 261, 262, 299, 301, 328, 345, 364, 375, 39, 394, 398, 406, 410, 443, 444, 451, 462, 479, 485, 496, 72, 98]",16,114,0,144,0,22.549999999999997,1.0,"1,0"
5,1.741429950009538,0.04351092809629393,1.741429950009538,45.1,0.0897142857142857,0.0026924295216978413,1.7341785710554922,0.30911949891011453,"[105, 11, 110, 115, 137, 138, 139, 141, 146, 149, 167, 173, 18, 196, 225, 233, 24, 250, 261, 262, 299, 301, 328, 345, 364, 375, 39, 394, 398, 406, 410, 443, 444, 451, 462, 479, 485, 496, 72, 98]",16,108,0,139,0,22.549999999999997,1.0,"1,0"
6,1.7506427217600924,0.044550907655880066,1.7506427217600924,45.25,0.09028571428571429,0.0011838989739541555,1.7361821580948686,0.30848587483275114,"[105, 11, 110, 115, 137, 138, 139, 141, 149, 167, 173, 18, 196, 225, 233, 24, 250, 261, 262, 299, 301, 328, 345, 364, 375, 39, 394, 398, 406, 408, 410, 443, 444, 462, 48, 485, 491, 496, 72, 98]",16,120,0,150,0,22.625,1.0,"1,0"
7,1.7506427217600924,0.044550907655880066,1.7506427217600924,45.25,0.09028571428571429,0.0011838989739541555,1.737809065321446,0.3061383472275481,"[105, 11, 110, 115, 137, 138, 139, 141, 149, 167, 173, 18, 196, 225, 233, 24, 250, 261, 262, 299, 301, 328, 345, 364, 375, 39, 394, 398, 406, 408, 410, 443, 444, 462, 48, 485, 491, 496, 72, 98]",16,108,0,136,0,22.625,1.0,"1,0"
8,1.7506427217600924,0.044550907655880066,1.7506427217600924,45.25,0.09028571428571429,0.0011838989739541555,1.7379917798667126,0.30567916663096756,"[105, 11, 110, 115, 137, 138, 139, 141, 149, 167, 173, 18, 196, 225, 233, 24, 250, 261, 262, 299, 301, 328, 345, 364, 375, 39, 394, 398, 406, 408, 410, 443, 444, 462, 48, 485, 491, 496, 72, 98]",16,126,0,154,0,22.625,1.0,"1,0"
9,1.7506427217600924,0.044550907655880066,1.7506427217600924,45.25,0.09028571428571429,0.0011838989739541555,1.7388737569766826,0.2951359214967353,"[105, 11, 110, 115, 137, 138, 139, 141, 149, 167, 173, 18, 196, 225, 233, 24, 250, 261, 262, 299, 301, 328, 345, 364, 375, 39, 394, 398, 406, 408, 410, 443, 444, 462, 48, 485, 491, 496, 72, 98]",16,120,0,148,0,22.625,1.0,"1,0"
