generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,1.2873390841612693,-0.00772305094286517,1.2873390841612693,41.8,0.06941176470588235,0.0848578665916127,1.0024305468241903,0.6621805970899313,"[1, 117, 13, 148, 17, 192, 21, 216, 22, 229, 238, 263, 264, 266, 269, 271, 272, 278, 287, 296, 310, 33, 331, 332, 344, 347, 35, 371, 380, 423, 45, 465, 477, 489, 495, 56, 70, 77, 87, 97]",16,85,0,131,0,20.9,1.0,"male,female"
1,1.3093875029781823,-0.005251572327043992,1.3093875029781823,42.4,0.07098039215686275,0.08148353681095073,1.1125151733269605,0.6057479229363778,"[1, 104, 117, 13, 148, 18, 192, 216, 22, 229, 238, 263, 264, 266, 269, 271, 272, 274, 278, 285, 287, 315, 317, 326, 33, 331, 344, 347, 37, 371, 38, 423, 44, 45, 462, 465, 477, 495, 70, 81]",16,81,0,109,0,21.200000000000003,1.0,"male,female"
2,1.3093875029781823,-0.005251572327043992,1.3093875029781823,42.4,0.07098039215686275,0.08148353681095073,1.1365392909662566,0.6293344405207861,"[1, 104, 117, 13, 148, 18, 192, 216, 22, 229, 238, 263, 264, 266, 269, 271, 272, 274, 278, 285, 287, 315, 317, 326, 33, 331, 344, 347, 37, 371, 38, 423, 44, 45, 462, 465, 477, 495, 70, 81]",16,75,0,106,0,21.200000000000003,1.0,"male,female"
3,1.3093875029781823,-0.005251572327043992,1.3093875029781823,42.4,0.07098039215686275,0.08148353681095073,1.1699955882499697,0.5748579734694911,"[1, 104, 117, 13, 148, 18, 192, 216, 22, 229, 238, 263, 264, 266, 269, 271, 272, 274, 278, 285, 287, 315, 317, 326, 33, 331, 344, 347, 37, 371, 38, 423, 44, 45, 462, 465, 477, 495, 70, 81]",16,75,0,105,0,21.200000000000003,1.0,"male,female"
4,1.5696914493084209,0.02416274275540561,1.5696914493084209,41.85,0.07862745098039216,0.030301965469580937,1.2518473203915441,0.5639743116285467,"[117, 13, 154, 17, 18, 189, 22, 229, 238, 245, 263, 264, 266, 267, 269, 271, 274, 278, 281, 282, 287, 291, 317, 326, 33, 331, 343, 344, 347, 35, 37, 371, 45, 461, 477, 489, 495, 70, 77, 95]",16,69,0,101,0,20.925,1.0,"male,female"
5,1.5696914493084209,0.02416274275540561,1.5696914493084209,41.85,0.07862745098039216,0.030301965469580937,1.2930747875797386,0.5674976313552315,"[117, 13, 154, 17, 18, 189, 22, 229, 238, 245, 263, 264, 266, 267, 269, 271, 274, 278, 281, 282, 287, 291, 317, 326, 33, 331, 343, 344, 347, 35, 37, 371, 45, 461, 477, 489, 495, 70, 77, 95]",16,78,0,108,0,20.925,1.0,"male,female"
6,1.5696914493084209,0.02416274275540561,1.5696914493084209,41.85,0.07862745098039216,0.030301965469580937,1.3360372584637075,0.5336017851763953,"[117, 13, 154, 17, 18, 189, 22, 229, 238, 245, 263, 264, 266, 267, 269, 271, 274, 278, 281, 282, 287, 291, 317, 326, 33, 331, 343, 344, 347, 35, 37, 371, 45, 461, 477, 489, 495, 70, 77, 95]",16,72,0,101,0,20.925,1.0,"male,female"
7,1.6477913350379285,0.03297144986260538,1.6477913350379285,42.1,0.0815686274509804,0.015625727725769627,1.3851701682781044,0.5161511767068844,"[104, 117, 13, 154, 17, 18, 189, 22, 229, 238, 263, 264, 266, 267, 269, 271, 274, 278, 281, 282, 285, 287, 296, 317, 326, 33, 331, 344, 347, 35, 37, 38, 44, 461, 477, 489, 495, 61, 77, 95]",16,75,0,105,0,21.05,1.0,"male,female"
8,1.6882860763145175,0.037536131823621456,1.6882860763145175,42.6,0.08372549019607843,0.008653226548835524,1.4266332717776373,0.5073978883876971,"[104, 113, 117, 13, 154, 17, 18, 189, 22, 229, 238, 245, 263, 264, 266, 267, 269, 271, 274, 278, 281, 282, 284, 285, 287, 296, 317, 326, 33, 331, 347, 35, 37, 38, 477, 489, 492, 61, 77, 95]",16,81,0,112,0,21.3,1.0,"male,female"
9,1.6882860763145175,0.037536131823621456,1.6882860763145175,42.6,0.08372549019607843,0.008653226548835524,1.4685071861075936,0.4594656644372206,"[104, 113, 117, 13, 154, 17, 18, 189, 22, 229, 238, 245, 263, 264, 266, 267, 269, 271, 274, 278, 281, 282, 284, 285, 287, 296, 317, 326, 33, 331, 347, 35, 37, 38, 477, 489, 492, 61, 77, 95]",16,84,0,112,0,21.3,1.0,"male,female"
