generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.19910115169649462,-0.11548317327304043,0.19910115169649462,42.6,0.0,0.23096634654608086,0.023837080744425775,0.6092440256234366,"[1, 12, 13, 14, 15, 17, 179, 21, 223, 227, 230, 238, 24, 258, 264, 265, 267, 268, 269, 270, 271, 281, 284, 287, 297, 298, 302, 313, 33, 339, 340, 37, 40, 461, 462, 464, 471, 492, 5, 55]",16,112,0,160,2,0.03333333333333333,0.8461538461538461,"acton,leona_valley,littlerock"
1,0.19910115169649462,-0.11548317327304043,0.19910115169649462,42.6,0.0,0.23096634654608086,0.09714812475723496,0.6037838636661303,"[1, 12, 13, 14, 15, 17, 179, 21, 223, 227, 230, 238, 24, 258, 264, 265, 267, 268, 269, 270, 271, 281, 284, 287, 297, 298, 302, 313, 33, 339, 340, 37, 40, 461, 462, 464, 471, 492, 5, 55]",16,117,0,149,2,0.03333333333333333,0.8461538461538461,"acton,leona_valley,littlerock"
2,0.19910115169649462,-0.11548317327304043,0.19910115169649462,42.6,0.0,0.23096634654608086,0.13301846443596466,0.5844844474324192,"[1, 12, 13, 14, 15, 17, 179, 21, 223, 227, 230, 238, 24, 258, 264, 265, 267, 268, 269, 270, 271, 281, 284, 287, 297, 298, 302, 313, 33, 339, 340, 37, 40, 461, 462, 464, 471, 492, 5, 55]",16,105,0,133,2,0.03333333333333333,0.8461538461538461,"acton,leona_valley,littlerock"
3,0.21871694667375138,-0.11325748549779177,0.21871694667375138,42.15,0.0,0.22651497099558354,0.15930007735284157,0.5483183865719751,"[12, 13, 15, 17, 179, 18, 21, 224, 227, 230, 238, 24, 258, 265, 267, 270, 284, 287, 298, 3, 303, 312, 317, 327, 33, 330, 332, 339, 340, 350, 39, 393, 40, 43, 461, 464, 468, 495, 5, 55]",16,127,0,156,2,0.03333333333333333,0.8461538461538461,"acton,leona_valley,littlerock"
4,0.21871694667375138,-0.11325748549779177,0.21871694667375138,42.15,0.0,0.22651497099558354,0.1717620029647584,0.544976446654859,"[12, 13, 15, 17, 179, 18, 21, 224, 227, 230, 238, 24, 258, 265, 267, 270, 284, 287, 298, 3, 303, 312, 317, 327, 33, 330, 332, 339, 340, 350, 39, 393, 40, 43, 461, 464, 468, 495, 5, 55]",16,125,0,154,2,0.03333333333333333,0.8461538461538461,"acton,leona_valley,littlerock"
5,0.27573552295187176,-0.11545096556944898,0.27573552295187176,42.0,0.0,0.23090193113889795,0.18791752221779734,0.5223677861744062,"[12, 13, 14, 17, 18, 21, 223, 224, 227, 230, 238, 24, 256, 264, 265, 267, 269, 270, 271, 287, 297, 298, 3, 302, 303, 312, 313, 327, 33, 330, 350, 37, 380, 40, 43, 461, 464, 471, 495, 5]",16,118,0,149,1,0.05000000000000001,0.9230769230769231,"leona_valley,acton,littlerock"
6,0.27878612940225067,-0.11516237040829676,0.27878612940225067,42.45,0.0,0.23032474081659352,0.1979628361296895,0.5031162591134305,"[104, 12, 13, 17, 179, 18, 21, 223, 224, 227, 238, 24, 258, 264, 265, 268, 269, 270, 271, 284, 287, 298, 3, 303, 317, 327, 33, 330, 331, 340, 350, 39, 40, 43, 462, 464, 468, 471, 493, 5]",16,112,0,142,1,0.05000000000000001,0.9230769230769231,"leona_valley,acton,littlerock"
7,0.30505044659944613,-0.10371273439493185,0.30505044659944613,42.6,0.0,0.2074254687898637,0.21157513186872087,0.4803373184280676,"[1, 104, 12, 13, 14, 17, 18, 21, 223, 224, 227, 230, 238, 24, 258, 265, 267, 268, 269, 271, 281, 287, 297, 298, 3, 303, 317, 33, 350, 376, 39, 40, 411, 43, 461, 464, 471, 493, 5, 55]",16,115,0,144,2,0.049999999999999996,0.8461538461538461,"acton,leona_valley,lake_los_angeles"
8,0.30505044659944613,-0.10371273439493185,0.30505044659944613,42.6,0.0,0.2074254687898637,0.2180593901641124,0.48938900591359613,"[1, 104, 12, 13, 14, 17, 18, 21, 223, 224, 227, 230, 238, 24, 258, 265, 267, 268, 269, 271, 281, 287, 297, 298, 3, 303, 317, 33, 350, 376, 39, 40, 411, 43, 461, 464, 471, 493, 5, 55]",16,109,0,140,2,0.049999999999999996,0.8461538461538461,"acton,leona_valley,lake_los_angeles"
9,0.30505044659944613,-0.10371273439493185,0.30505044659944613,42.6,0.0,0.2074254687898637,0.2180593901641124,0.48938900591359613,"[1, 104, 12, 13, 14, 17, 18, 21, 223, 224, 227, 230, 238, 24, 258, 265, 267, 268, 269, 271, 281, 287, 297, 298, 3, 303, 317, 33, 350, 376, 39, 40, 411, 43, 461, 464, 471, 493, 5, 55]",16,103,0,133,2,0.049999999999999996,0.8461538461538461,"acton,leona_valley,lake_los_angeles"
