generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,1.4599516868258688,0.010658027635730826,1.4599516868258688,42.15,0.05568720379146919,0.03437114852000754,1.0771806600718186,0.6604313283441537,"[1, 10, 13, 17, 22, 229, 238, 245, 256, 262, 263, 271, 281, 282, 284, 291, 296, 315, 317, 326, 33, 34, 347, 35, 350, 37, 371, 411, 434, 462, 463, 465, 477, 479, 489, 492, 61, 70, 77, 80]",16,127,0,174,0,1.0,1.0,"lancaster,palmdale,quartz_hill"
1,1.471195187952839,0.011974936905240784,1.471195187952839,42.5,0.0575829383886256,0.03363306457814403,1.4094343644711897,0.6136608088045717,"[1, 10, 13, 17, 20, 21, 229, 235, 238, 245, 256, 261, 263, 266, 269, 271, 274, 280, 281, 287, 297, 315, 33, 34, 347, 35, 366, 371, 39, 434, 44, 461, 465, 477, 479, 480, 489, 492, 57, 80]",16,136,0,168,0,1.0,1.0,"lancaster,palmdale,acton"
2,1.4758934281878566,0.012681586498987915,1.4758934281878566,42.4,0.06060606060606061,0.03524288760808478,1.4474769195785826,0.5695772155572805,"[1, 127, 13, 18, 2, 20, 21, 22, 229, 235, 238, 251, 256, 262, 263, 264, 265, 271, 278, 28, 282, 287, 298, 326, 327, 33, 35, 37, 38, 434, 44, 461, 465, 477, 479, 485, 492, 6, 77, 80]",16,122,0,152,0,1.0,1.0,"palmdale,lancaster,acton"
3,1.506921200877988,0.016435019971165754,1.506921200877988,42.6,0.06658767772511849,0.03371763778278698,1.4708621141460012,0.5489773821104741,"[0, 10, 104, 13, 17, 20, 22, 229, 238, 251, 256, 261, 263, 264, 265, 271, 28, 281, 282, 285, 287, 297, 298, 310, 327, 33, 34, 35, 37, 38, 434, 447, 461, 465, 477, 480, 489, 493, 80, 87]",16,118,0,146,0,1.0,1.0,"lancaster,palmdale,quartz_hill"
4,1.5285592678540325,0.018870670746285526,1.5285592678540325,42.4,0.06658767772511849,0.02884633623254744,1.478317682588206,0.570518063118929,"[0, 104, 13, 17, 18, 189, 22, 229, 235, 238, 251, 256, 262, 263, 265, 267, 269, 271, 278, 28, 282, 284, 287, 297, 315, 33, 330, 34, 35, 371, 38, 461, 465, 477, 480, 489, 495, 61, 77, 9]",16,121,0,152,0,1.0,1.0,"lancaster,palmdale,acton"
5,1.5285592678540325,0.018870670746285526,1.5285592678540325,42.4,0.06658767772511849,0.02884633623254744,1.4905678765944153,0.5525590059868405,"[0, 104, 13, 17, 18, 189, 22, 229, 235, 238, 251, 256, 262, 263, 265, 267, 269, 271, 278, 28, 282, 284, 287, 297, 315, 33, 330, 34, 35, 371, 38, 461, 465, 477, 480, 489, 495, 61, 77, 9]",16,120,0,148,0,1.0,1.0,"lancaster,palmdale,acton"
6,1.5423516580317764,0.020464466956141316,1.5423516580317764,42.85,0.06872037914691943,0.0277914452346368,1.495015155974349,0.5506271256606023,"[1, 10, 125, 13, 17, 18, 22, 229, 235, 238, 251, 256, 261, 263, 265, 266, 267, 271, 278, 28, 281, 282, 287, 298, 327, 33, 34, 39, 411, 434, 44, 461, 465, 477, 480, 489, 493, 61, 77, 85]",16,126,0,157,0,1.0,1.0,"lancaster,palmdale,acton"
7,1.5423516580317764,0.020464466956141316,1.5423516580317764,42.85,0.06872037914691943,0.0277914452346368,1.4980444281874579,0.5431417838030799,"[1, 10, 125, 13, 17, 18, 22, 229, 235, 238, 251, 256, 261, 263, 265, 266, 267, 271, 278, 28, 281, 282, 287, 298, 327, 33, 34, 39, 411, 434, 44, 461, 465, 477, 480, 489, 493, 61, 77, 85]",16,111,0,140,0,1.0,1.0,"lancaster,palmdale,acton"
8,1.5423516580317764,0.020464466956141316,1.5423516580317764,42.85,0.06872037914691943,0.0277914452346368,1.5097972081290978,0.5198703974317062,"[1, 10, 125, 13, 17, 18, 22, 229, 235, 238, 251, 256, 261, 263, 265, 266, 267, 271, 278, 28, 281, 282, 287, 298, 327, 33, 34, 39, 411, 434, 44, 461, 465, 477, 480, 489, 493, 61, 77, 85]",16,128,0,156,0,1.0,1.0,"lancaster,palmdale,acton"
9,1.5423516580317764,0.020464466956141316,1.5423516580317764,42.85,0.06872037914691943,0.0277914452346368,1.5160573533735318,0.48267842114001264,"[1, 10, 125, 13, 17, 18, 22, 229, 235, 238, 251, 256, 261, 263, 265, 266, 267, 271, 278, 28, 281, 282, 287, 298, 327, 33, 34, 39, 411, 434, 44, 461, 465, 477, 480, 489, 493, 61, 77, 85]",16,130,0,159,0,1.0,1.0,"lancaster,palmdale,acton"
