node_id,protected_group,community_id,degree,normalized_degree,pagerank,clustering_coefficient,k_core_number,community_size,community_id_encoded,neighbor_degree_mean,neighbor_degree_max,ris_coverage_proxy
1007,1,0,0.47682118,0.47682118,0.4572778,0.37089202,1.0,1.0,0.0,0.89628905,1.0,0.6
1009,1,1,0.41721854,0.41721854,0.40085563,0.37429595,1.0,0.9074074,0.06666667,0.9267857,0.78145695,0.48
1025,1,0,0.13245033,0.13245033,0.12843113,0.40526316,0.6666667,1.0,0.0,0.9049219,1.0,0.24
1048,1,2,0.4834437,0.4834437,0.4922068,0.24086758,1.0,0.8148148,0.13333334,0.8088827,1.0,0.44
1049,0,1,0.3245033,0.3245033,0.32411948,0.28486395,1.0,0.9074074,0.06666667,0.9200893,1.0,0.32
1074,0,3,0.22516556,0.22516556,0.2355044,0.4117647,0.8666667,0.8518519,0.2,0.81976104,0.8344371,0.16
1092,1,4,0.3178808,0.3178808,0.3284318,0.28014183,1.0,0.8703704,0.26666668,0.740332,1.0,0.52
1097,1,1,0.3112583,0.3112583,0.3023341,0.43940794,1.0,0.9074074,0.06666667,0.86289895,0.8344371,0.48
11,1,5,0.2781457,0.2781457,0.28152385,0.31358886,0.96666664,0.7962963,0.33333334,0.83839285,1.0,0.24
1119,1,2,0.33774835,0.33774835,0.35823995,0.28392157,0.96666664,0.8148148,0.13333334,0.76875,0.8344371,0.4
1131,1,0,0.23178808,0.23178808,0.22210032,0.584874,1.0,1.0,0.0,0.90401787,1.0,0.44
1137,1,6,0.4437086,0.4437086,0.4529342,0.30483943,1.0,0.8888889,0.4,0.75349814,1.0,0.6
1138,1,0,0.37748346,0.37748346,0.36177626,0.43421054,1.0,1.0,0.0,0.9074013,1.0,0.44
1155,0,3,0.18543047,0.18543047,0.19897974,0.24603175,0.76666665,0.8518519,0.2,0.63984376,0.70198673,0.28
1159,1,7,0.410596,0.410596,0.4128732,0.26335272,1.0,0.8518519,0.46666667,0.81970763,1.0,0.84
1175,1,0,0.45695364,0.45695364,0.45055783,0.34015346,1.0,1.0,0.0,0.8771739,1.0,0.32
1190,1,2,0.24503312,0.24503312,0.2468416,0.36936936,0.96666664,0.8148148,0.13333334,0.8308277,0.7218543,0.36
1197,1,6,0.1589404,0.1589404,0.15968817,0.6123188,0.73333335,0.8888889,0.4,0.78867185,0.68874174,0.4
1198,0,8,0.25827813,0.25827813,0.2744774,0.24021593,0.9,0.4074074,0.53333336,0.72223556,0.78145695,0.28
12,1,4,0.29801324,0.29801324,0.29909992,0.2949495,1.0,0.8703704,0.26666668,0.80375,0.7086093,0.52
1209,0,0,0.09933775,0.09933775,0.10588618,0.24761905,0.5,1.0,0.0,0.6028125,0.62913907,0.2
1215,0,3,0.03311258,0.03311258,0.036177386,0.5,0.16666667,0.8518519,0.2,0.84375,0.7218543,0.2
1216,1,5,0.40397352,0.40397352,0.39919755,0.31639344,1.0,0.7962963,0.33333334,0.89331454,0.8344371,0.36
