generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.04851015801354408,0.04851015801354408,44.3,0.0991304347826087,0.00211011875552054,0.04032022027137221,0.6670014932996281,"[1335, 1448, 16, 1625, 1628, 2014, 205, 3051, 4171, 434, 4535, 4854, 5035, 5135, 5234, 5351, 5958, 6109, 642, 97]",12,192,0,204,0,22.150000000000002,1.0,"1,0"
1,0.049536106676683275,0.049536106676683275,46.3,0.10318840579710145,0.0041161924437349,0.04612619859178959,0.6402190272685614,"[1048, 1335, 1448, 1595, 16, 1625, 2014, 205, 3051, 3623, 4171, 434, 4535, 4980, 4985, 5234, 5698, 5958, 642, 97]",12,176,0,169,0,23.15,1.0,"1,0"
2,0.05353271028037387,0.05353271028037387,48.15,0.10800000000000001,0.0009345794392522834,0.04824284114550586,0.6099102796253423,"[1237, 1315, 1335, 1448, 1625, 2014, 3051, 339, 3449, 3623, 3634, 4171, 434, 4535, 5, 5234, 5351, 5958, 642, 916]",12,192,0,197,0,24.075000000000003,1.0,"0,1"
3,0.05353271028037387,0.05353271028037387,48.15,0.10800000000000001,0.0009345794392522834,0.04921223632290406,0.6262489621154131,"[1237, 1315, 1335, 1448, 1625, 2014, 3051, 339, 3449, 3623, 3634, 4171, 434, 4535, 5, 5234, 5351, 5958, 642, 916]",12,168,0,184,0,24.075000000000003,1.0,"0,1"
4,0.05353271028037387,0.05353271028037387,48.15,0.10800000000000001,0.0009345794392522834,0.05025366195246205,0.6122160341166307,"[1237, 1315, 1335, 1448, 1625, 2014, 3051, 339, 3449, 3623, 3634, 4171, 434, 4535, 5, 5234, 5351, 5958, 642, 916]",12,160,0,175,0,24.075000000000003,1.0,"0,1"
5,0.05391920436542865,0.05391920436542865,49.4,0.11043478260869566,0.002596373877838354,0.051020822276061424,0.6361667167402497,"[1315, 1335, 1448, 1595, 2014, 3623, 3634, 4171, 4436, 4535, 4854, 5035, 5135, 5234, 5351, 5615, 6109, 642, 677, 97]",12,184,0,177,0,24.700000000000003,1.0,"1,0"
6,0.05391920436542865,0.05391920436542865,49.4,0.11043478260869566,0.002596373877838354,0.05131481418492437,0.6326325804196838,"[1315, 1335, 1448, 1595, 2014, 3623, 3634, 4171, 4436, 4535, 4854, 5035, 5135, 5234, 5351, 5615, 6109, 642, 677, 97]",12,184,0,200,0,24.700000000000003,1.0,"1,0"
7,0.05422782429588503,0.05422782429588503,48.55,0.10898550724637682,0.0005298586546067551,0.052148858041838386,0.6327526175842487,"[1237, 1315, 1324, 1335, 1448, 1595, 1625, 2333, 339, 3449, 3623, 3634, 4854, 5020, 5135, 5234, 5351, 5615, 677, 737]",12,192,0,192,0,24.275,1.0,"1,0"
8,0.05422782429588503,0.05422782429588503,48.55,0.10898550724637682,0.0005298586546067551,0.05245158392333785,0.6480259062842405,"[1237, 1315, 1324, 1335, 1448, 1595, 1625, 2333, 339, 3449, 3623, 3634, 4854, 5020, 5135, 5234, 5351, 5615, 677, 737]",12,160,0,171,0,24.275,1.0,"1,0"
9,0.05422782429588503,0.05422782429588503,48.55,0.10898550724637682,0.0005298586546067551,0.05267885052895116,0.6413441036254264,"[1237, 1315, 1324, 1335, 1448, 1595, 1625, 2333, 339, 3449, 3623, 3634, 4854, 5020, 5135, 5234, 5351, 5615, 677, 737]",12,184,0,173,0,24.275,1.0,"1,0"
