node_id,protected_group,community_id,degree,normalized_degree,pagerank,clustering_coefficient,k_core_number,community_size,community_id_encoded,neighbor_degree_mean,neighbor_degree_max,ris_coverage_proxy
1,1,0,0.26666668,0.26666668,0.2638553,0.0,0.8,0.35849056,0.0,0.6530612,0.73333335,0.125
10,1,1,0.26666668,0.26666668,0.2607147,0.0,0.8,0.6320755,0.037037037,0.6938776,0.73333335,0.5
100,1,2,0.6,0.6,0.60553795,0.0,1.0,0.4716981,0.074074075,0.6530612,0.93333334,0.375
101,1,0,0.46666667,0.46666667,0.46179026,0.0,1.0,0.35849056,0.0,0.6180758,0.8,0.25
102,1,1,0.4,0.4,0.3894661,0.0,1.0,0.6320755,0.037037037,0.8027211,0.8666667,0.125
103,1,3,0.33333334,0.33333334,0.3370152,0.0,0.8,0.1509434,0.11111111,0.8,0.93333334,0.5
104,1,4,0.6666667,0.6666667,0.6403047,0.13333334,1.0,0.3301887,0.14814815,0.7265306,1.0,0.25
105,1,5,0.33333334,0.33333334,0.31866682,0.3,1.0,0.36792454,0.18518518,0.8,0.93333334,0.125
106,1,4,0.46666667,0.46666667,0.4900058,0.14285715,1.0,0.3301887,0.14814815,0.69970846,0.8,0.25
107,1,4,0.33333334,0.33333334,0.33494556,0.0,0.8,0.3301887,0.14814815,0.71836734,0.8,0.25
108,1,6,0.6,0.6,0.64605397,0.0,1.0,0.3207547,0.22222222,0.66213155,1.0,0.25
109,1,1,0.6,0.6,0.62003005,0.16666667,1.0,0.6320755,0.037037037,0.6530612,0.8666667,0.25
11,1,5,0.8,0.8,0.7951232,0.09090909,1.0,0.36792454,0.18518518,0.7619048,0.93333334,0.25
110,1,7,0.46666667,0.46666667,0.44543296,0.2857143,1.0,0.2735849,0.25925925,0.7696793,0.8666667,0.0
111,1,4,0.26666668,0.26666668,0.25150007,0.0,0.8,0.3301887,0.14814815,0.79591835,0.73333335,0.25
112,1,2,0.26666668,0.26666668,0.2533744,0.5,0.8,0.4716981,0.074074075,1.0,1.0,0.0
113,1,1,0.53333336,0.53333336,0.5955538,0.10714286,1.0,0.6320755,0.037037037,0.6020408,0.73333335,0.125
114,1,6,0.53333336,0.53333336,0.5515988,0.0,1.0,0.3207547,0.22222222,0.63265306,0.8666667,0.125
115,1,2,0.33333334,0.33333334,0.31536046,0.0,1.0,0.4716981,0.074074075,0.8,0.8666667,0.25
116,1,0,0.73333335,0.73333335,0.74363637,0.054545455,1.0,0.35849056,0.0,0.66048235,0.8666667,0.125
117,1,6,0.6666667,0.6666667,0.6483084,0.0,1.0,0.3207547,0.22222222,0.7020408,0.8666667,0.25
118,1,6,0.73333335,0.73333335,0.6929567,0.0,1.0,0.3207547,0.22222222,0.77922076,0.8666667,0.125
119,1,2,0.46666667,0.46666667,0.4426594,0.2857143,1.0,0.4716981,0.074074075,0.83965015,0.93333334,0.625
12,1,1,0.53333336,0.53333336,0.6038622,0.10714286,1.0,0.6320755,0.037037037,0.59183675,0.93333334,0.25
120,1,7,0.4,0.4,0.3891155,0.2,1.0,0.2735849,0.25925925,0.7482993,0.73333335,0.25
121,1,5,0.8,0.8,0.77021277,0.13636364,1.0,0.36792454,0.18518518,0.6938776,0.93333334,0.125
122,1,2,0.33333334,0.33333334,0.34467,0.0,0.8,0.4716981,0.074074075,0.5877551,0.6,0.125
123,1,6,0.13333334,0.13333334,0.13721332,0.0,0.4,0.3207547,0.22222222,0.7346939,0.6666667,0.125
124,1,6,0.4,0.4,0.44062415,0.0,0.8,0.3207547,0.22222222,0.50340134,0.8666667,0.0
125,1,2,0.53333336,0.53333336,0.55760616,0.0,1.0,0.4716981,0.074074075,0.622449,0.93333334,0.5
126,1,0,0.46666667,0.46666667,0.44626048,0.0,1.0,0.35849056,0.0,0.80466473,0.8666667,0.25
127,1,1,0.8666667,0.8666667,0.867053,0.03846154,1.0,0.6320755,0.037037037,0.6342229,0.93333334,0.125
