generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,2.543392535701811,2.543392535701811,0.12061213239779188,2.543392535701811,154.2545988123917,0.2784090909090909,0.03718482611350713,2.1874245115292736,0.34679964833374044,"[10, 114, 117, 12, 120, 13, 140, 144, 149, 178, 183, 184, 204, 206, 208, 21, 233, 238, 250, 252, 254, 266, 28, 309, 312, 325, 334, 337, 340, 343, 345, 373, 392, 395, 403, 429, 43, 434, 440, 447, 449, 458, 475, 484, 58, 63, 70, 81, 90, 92]",5,5,5,0,51,0,11.800925925925926,1.0,"latino,black,white",0.35524888001352434,0.38456003550145806,0.03167982603976696,"asian,other","black,latino,white"
1,2.569708325175495,2.569708325175495,0.12061213239779188,2.569708325175495,154.2545988123917,0.2784090909090909,0.03718482611350713,2.2721346208282647,0.3370863632869983,"[10, 114, 117, 12, 120, 13, 140, 144, 178, 183, 184, 204, 206, 208, 21, 233, 238, 250, 252, 266, 28, 286, 309, 312, 325, 334, 337, 340, 343, 345, 373, 384, 392, 395, 403, 429, 43, 434, 440, 447, 449, 458, 475, 484, 58, 63, 70, 81, 90, 92]",10,5,3,0,33,0,11.800925925925926,1.0,"latino,black,white",0.35524888001352434,0.38456003550145806,0.03167982603976696,"asian,other","black,latino,white"
2,2.569708325175495,2.569708325175495,0.12061213239779188,2.569708325175495,154.2545988123917,0.2784090909090909,0.03718482611350713,2.4074304799249657,0.2862799477770214,"[10, 114, 117, 12, 120, 13, 140, 144, 178, 183, 184, 204, 206, 208, 21, 233, 238, 250, 252, 266, 28, 286, 309, 325, 334, 337, 340, 343, 345, 373, 384, 392, 395, 403, 422, 429, 43, 434, 440, 447, 449, 458, 475, 484, 58, 63, 70, 81, 90, 92]",15,5,1,0,26,0,11.800925925925926,1.0,"latino,black,white",0.35524888001352434,0.38456003550145806,0.03167982603976696,"asian,other","black,latino,white"
3,2.569708325175495,2.569708325175495,0.12061213239779188,2.569708325175495,154.2545988123917,0.2784090909090909,0.03718482611350713,2.4012869947320867,0.27357864227384426,"[10, 114, 117, 12, 120, 13, 140, 144, 178, 183, 184, 204, 206, 208, 21, 233, 238, 250, 252, 266, 28, 286, 309, 325, 334, 337, 340, 343, 345, 373, 384, 392, 395, 403, 422, 429, 43, 434, 440, 447, 449, 458, 475, 484, 58, 63, 70, 81, 90, 92]",20,5,0,0,17,0,11.800925925925926,1.0,"latino,black,white",0.35524888001352434,0.38456003550145806,0.03167982603976696,"asian,other","black,latino,white"
4,2.569708325175495,2.569708325175495,0.12061213239779188,2.569708325175495,154.2545988123917,0.2784090909090909,0.03718482611350713,2.382260676430242,0.27331436228858236,"[10, 114, 117, 12, 120, 13, 140, 144, 178, 183, 184, 204, 206, 208, 21, 233, 238, 250, 252, 266, 28, 286, 309, 325, 334, 337, 340, 343, 345, 373, 384, 392, 395, 403, 422, 429, 43, 434, 440, 447, 449, 458, 475, 484, 58, 63, 70, 81, 90, 92]",25,5,0,0,8,0,11.800925925925926,1.0,"latino,black,white",0.35524888001352434,0.38456003550145806,0.03167982603976696,"asian,other","black,latino,white"
5,2.569708325175495,2.569708325175495,0.12061213239779188,2.569708325175495,154.2545988123917,0.2784090909090909,0.03718482611350713,2.4225099348617287,0.2748061319305194,"[10, 114, 117, 12, 120, 13, 140, 144, 178, 183, 184, 204, 206, 208, 21, 233, 238, 250, 252, 266, 28, 286, 309, 325, 334, 337, 340, 343, 345, 373, 384, 392, 395, 403, 422, 429, 43, 434, 440, 447, 449, 458, 475, 484, 58, 63, 70, 81, 90, 92]",30,5,0,0,15,0,11.800925925925926,1.0,"latino,black,white",0.35524888001352434,0.38456003550145806,0.03167982603976696,"asian,other","black,latino,white"
6,2.569708325175495,2.569708325175495,0.12061213239779188,2.569708325175495,154.2545988123917,0.2784090909090909,0.03718482611350713,2.3867146953502387,0.27583140160177644,"[10, 114, 117, 12, 120, 13, 140, 144, 178, 183, 184, 204, 206, 208, 21, 233, 238, 250, 252, 266, 28, 286, 309, 325, 334, 337, 340, 343, 345, 373, 384, 392, 395, 403, 422, 429, 43, 434, 440, 447, 449, 458, 475, 484, 58, 63, 70, 81, 90, 92]",35,5,0,0,10,0,11.800925925925926,1.0,"latino,black,white",0.35524888001352434,0.38456003550145806,0.03167982603976696,"asian,other","black,latino,white"
7,2.569708325175495,2.569708325175495,0.12061213239779188,2.569708325175495,154.2545988123917,0.2784090909090909,0.03718482611350713,2.463474815918501,0.2796576424423725,"[10, 114, 117, 12, 120, 13, 140, 144, 178, 183, 184, 204, 206, 208, 21, 233, 238, 250, 252, 266, 28, 286, 309, 325, 334, 337, 340, 343, 345, 373, 384, 392, 395, 403, 422, 429, 43, 434, 440, 447, 449, 458, 475, 484, 58, 63, 70, 81, 90, 92]",40,5,1,0,18,0,11.800925925925926,1.0,"latino,black,white",0.35524888001352434,0.38456003550145806,0.03167982603976696,"asian,other","black,latino,white"
8,2.569708325175495,2.569708325175495,0.12061213239779188,2.569708325175495,154.2545988123917,0.2784090909090909,0.03718482611350713,2.4146865787405,0.28300760863845775,"[10, 114, 117, 12, 120, 13, 140, 144, 178, 183, 184, 204, 206, 208, 21, 233, 238, 250, 252, 266, 28, 286, 309, 325, 334, 337, 340, 343, 345, 373, 384, 392, 395, 403, 422, 429, 43, 434, 440, 447, 449, 458, 475, 484, 58, 63, 70, 81, 90, 92]",45,5,0,0,12,0,11.800925925925926,1.0,"latino,black,white",0.35524888001352434,0.38456003550145806,0.03167982603976696,"asian,other","black,latino,white"
9,2.569708325175495,2.569708325175495,0.12061213239779188,2.569708325175495,154.2545988123917,0.2784090909090909,0.03718482611350713,2.405394363539851,0.2761938690424078,"[10, 114, 117, 12, 120, 13, 140, 144, 178, 183, 184, 204, 206, 208, 21, 233, 238, 250, 252, 266, 28, 286, 309, 325, 334, 337, 340, 343, 345, 373, 384, 392, 395, 403, 422, 429, 43, 434, 440, 447, 449, 458, 475, 484, 58, 63, 70, 81, 90, 92]",50,5,0,0,10,0,11.800925925925926,1.0,"latino,black,white",0.35524888001352434,0.38456003550145806,0.03167982603976696,"asian,other","black,latino,white"
