node_id,cluster_id
1,0
10,1
100,2
101,3
102,4
103,5
104,6
105,4
106,7
107,8
108,2
109,9
11,10
110,2
111,11
112,12
113,6
114,2
115,13
116,14
117,15
118,5
119,16
12,17
120,6
121,17
122,14
123,1
124,2
125,18
126,6
127,6
128,19
129,8
13,11
130,9
131,2
132,0
133,20
134,2
135,18
136,20
137,6
138,4
139,4
14,8
140,11
141,4
142,14
143,12
144,3
145,7
146,2
147,14
148,6
149,1
15,18
150,3
151,16
152,17
153,3
154,20
155,8
156,11
157,15
158,10
159,18
16,15
160,12
161,16
162,19
163,2
164,14
165,21
166,21
167,19
168,10
169,20
17,16
170,7
171,14
172,19
173,4
174,11
175,12
176,8
177,14
178,6
179,18
18,4
180,0
181,2
182,0
183,5
184,21
185,13
186,14
187,8
188,9
189,14
19,8
190,6
191,15
192,3
193,8
194,6
195,15
196,4
197,8
198,15
199,21
2,2
20,21
200,8
201,15
202,14
203,1
204,19
205,20
206,4
207,16
208,10
209,7
21,19
210,3
211,2
212,19
213,0
214,0
215,20
216,7
217,13
218,10
219,16
22,10
220,5
221,16
222,11
223,10
224,8
225,13
226,1
227,13
228,11
229,10
23,1
230,10
231,16
232,0
233,4
234,8
235,16
236,12
237,8
238,2
239,7
24,13
240,18
241,19
242,21
243,20
244,19
245,7
246,0
247,3
248,7
249,14
25,17
250,4
251,18
252,19
253,20
254,0
255,15
256,11
257,11
258,6
259,4
26,17
260,0
261,13
262,0
263,15
264,9
265,7
266,1
267,15
268,7
269,19
27,21
270,18
271,0
272,9
273,6
274,8
275,3
276,2
277,11
278,8
279,0
28,19
280,1
281,19
282,3
283,7
284,9
285,14
286,8
287,17
288,7
289,3
29,19
290,10
291,0
292,17
293,5
294,15
295,2
296,6
297,11
298,1
299,0
3,10
30,6
300,11
301,4
302,6
303,8
304,16
305,7
306,16
307,1
308,13
309,2
31,6
310,0
311,18
312,3
313,13
314,19
315,6
316,8
317,1
318,13
319,15
32,2
320,20
321,13
322,2
323,3
324,3
325,15
326,14
327,14
328,4
329,0
33,6
330,19
331,16
332,19
333,10
334,7
335,14
336,19
337,0
338,9
339,18
34,13
340,13
341,16
342,13
343,5
344,15
345,0
346,3
347,2
348,4
349,16
35,7
350,19
351,22
352,23
353,23
354,23
355,24
356,25
357,25
358,25
359,26
36,21
360,25
361,24
362,27
363,28
364,28
365,28
366,27
367,27
368,25
369,25
37,18
370,22
371,24
372,29
373,24
374,30
375,24
376,27
377,26
378,26
379,27
38,5
380,31
381,25
382,27
383,22
384,28
385,29
386,27
387,28
388,31
389,30
39,0
390,26
391,23
392,25
393,24
394,29
395,31
396,31
397,28
398,22
399,24
4,10
40,19
400,23
401,23
402,28
403,28
404,28
405,25
406,24
407,24
408,28
409,26
41,14
410,24
411,23
412,31
413,26
414,25
415,24
416,30
417,23
418,23
419,24
42,1
420,30
421,28
422,29
423,29
424,27
425,24
426,23
427,31
428,29
429,29
43,9
430,28
431,25
432,28
433,31
434,12
435,28
436,27
437,22
438,27
439,31
44,18
440,31
441,26
442,24
443,23
444,29
445,30
446,23
447,30
448,31
449,28
45,6
450,22
451,22
452,22
453,23
454,26
455,25
456,23
457,23
458,24
459,25
46,8
460,26
461,23
462,24
463,12
464,12
465,22
466,26
467,30
468,23
469,12
47,21
470,30
471,30
472,29
473,28
474,23
475,27
476,29
477,23
478,31
479,22
48,6
480,26
481,26
482,12
483,27
484,25
485,24
486,29
487,12
488,30
489,28
49,5
490,30
491,26
492,23
493,22
494,28
495,30
496,24
497,23
498,22
499,31
5,17
50,1
500,26
51,5
52,2
53,8
54,8
55,21
56,21
57,3
58,16
59,15
6,10
60,9
61,5
62,11
63,0
64,1
65,12
66,7
67,1
68,10
69,14
7,18
70,14
71,10
72,4
73,18
74,9
75,21
76,20
77,7
78,19
79,5
8,21
80,6
81,16
82,2
83,2
84,5
85,17
86,6
87,17
88,5
89,18
9,7
90,0
91,19
92,16
93,7
94,6
95,3
96,19
97,11
98,13
99,7
