generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,0.041366579558652736,0.041366579558652736,0.041366579558652736,43.733333333333334,0.08676190476190476,0.004028745644599294,0.013184971622171629,0.4742559321149374,"[102, 105, 138, 139, 141, 160, 18, 181, 196, 206, 211, 233, 238, 244, 261, 29, 301, 313, 318, 34, 342, 348, 364, 365, 375, 39, 406, 415, 432, 437, 451, 462, 464, 485, 487, 496, 63, 71, 72, 78]",12,0,0,34,0,21.866666666666667,1.0,"1,0",0.08793650793650794,0.002349206349206351,2.7593852355757157e-06,,
1,0.04278180525941724,0.04278180525941724,0.04278180525941724,44.666666666666664,0.08876190476190476,0.0031982942430702948,0.02312086326648347,0.4762228552452666,"[102, 105, 124, 132, 138, 139, 141, 160, 18, 185, 196, 2, 206, 233, 250, 260, 261, 271, 291, 301, 313, 318, 345, 348, 364, 365, 375, 406, 415, 421, 437, 442, 451, 462, 464, 479, 496, 63, 72, 98]",12,0,0,20,0,22.333333333333332,1.0,"1,0",0.08971428571428572,0.0019047619047618952,1.8140589569160817e-06,,
2,0.04278180525941724,0.04278180525941724,0.04278180525941724,44.666666666666664,0.08876190476190476,0.0031982942430702948,0.023543846852093302,0.46095358348083787,"[102, 105, 124, 132, 138, 139, 141, 160, 18, 185, 196, 2, 206, 233, 250, 260, 261, 271, 291, 301, 313, 318, 345, 348, 364, 365, 375, 406, 415, 421, 437, 442, 451, 462, 464, 479, 496, 63, 72, 98]",12,0,0,22,0,22.333333333333332,1.0,"1,0",0.08971428571428572,0.0019047619047618952,1.8140589569160817e-06,,
3,0.04278180525941724,0.04278180525941724,0.04278180525941724,44.666666666666664,0.08876190476190476,0.0031982942430702948,0.027187261560459735,0.44467967903072697,"[102, 105, 124, 132, 138, 139, 141, 160, 18, 185, 196, 2, 206, 233, 250, 260, 261, 271, 291, 301, 313, 318, 345, 348, 364, 365, 375, 406, 415, 421, 437, 442, 451, 462, 464, 479, 496, 63, 72, 98]",12,0,0,20,0,22.333333333333332,1.0,"1,0",0.08971428571428572,0.0019047619047618952,1.8140589569160817e-06,,
4,0.04278180525941724,0.04278180525941724,0.04278180525941724,44.666666666666664,0.08876190476190476,0.0031982942430702948,0.03060709771057718,0.4450838089869626,"[102, 105, 124, 132, 138, 139, 141, 160, 18, 185, 196, 2, 206, 233, 250, 260, 261, 271, 291, 301, 313, 318, 345, 348, 364, 365, 375, 406, 415, 421, 437, 442, 451, 462, 464, 479, 496, 63, 72, 98]",12,0,0,18,0,22.333333333333332,1.0,"1,0",0.08971428571428572,0.0019047619047618952,1.8140589569160817e-06,,
5,0.04278180525941724,0.04278180525941724,0.04278180525941724,44.666666666666664,0.08876190476190476,0.0031982942430702948,0.034802901679120514,0.4173512748630325,"[102, 105, 124, 132, 138, 139, 141, 160, 18, 185, 196, 2, 206, 233, 250, 260, 261, 271, 291, 301, 313, 318, 345, 348, 364, 365, 375, 406, 415, 421, 437, 442, 451, 462, 464, 479, 496, 63, 72, 98]",12,0,0,21,0,22.333333333333332,1.0,"1,0",0.08971428571428572,0.0019047619047618952,1.8140589569160817e-06,,
6,0.04278180525941724,0.04278180525941724,0.04278180525941724,44.666666666666664,0.08876190476190476,0.0031982942430702948,0.035560960342066565,0.4126904578375985,"[102, 105, 124, 132, 138, 139, 141, 160, 18, 185, 196, 2, 206, 233, 250, 260, 261, 271, 291, 301, 313, 318, 345, 348, 364, 365, 375, 406, 415, 421, 437, 442, 451, 462, 464, 479, 496, 63, 72, 98]",12,0,0,23,0,22.333333333333332,1.0,"1,0",0.08971428571428572,0.0019047619047618952,1.8140589569160817e-06,,
7,0.04278180525941724,0.04278180525941724,0.04278180525941724,44.666666666666664,0.08876190476190476,0.0031982942430702948,0.036257024056172545,0.40800711284579816,"[102, 105, 124, 132, 138, 139, 141, 160, 18, 185, 196, 2, 206, 233, 250, 260, 261, 271, 291, 301, 313, 318, 345, 348, 364, 365, 375, 406, 415, 421, 437, 442, 451, 462, 464, 479, 496, 63, 72, 98]",12,0,0,22,0,22.333333333333332,1.0,"1,0",0.08971428571428572,0.0019047619047618952,1.8140589569160817e-06,,
8,0.04278180525941724,0.04278180525941724,0.04278180525941724,44.666666666666664,0.08876190476190476,0.0031982942430702948,0.036257024056172545,0.40800711284579816,"[102, 105, 124, 132, 138, 139, 141, 160, 18, 185, 196, 2, 206, 233, 250, 260, 261, 271, 291, 301, 313, 318, 345, 348, 364, 365, 375, 406, 415, 421, 437, 442, 451, 462, 464, 479, 496, 63, 72, 98]",12,0,0,19,0,22.333333333333332,1.0,"1,0",0.08971428571428572,0.0019047619047618952,1.8140589569160817e-06,,
9,0.04278180525941724,0.04278180525941724,0.04278180525941724,44.666666666666664,0.08876190476190476,0.0031982942430702948,0.03761668062936272,0.4083424738030343,"[102, 105, 124, 132, 138, 139, 141, 160, 18, 185, 196, 2, 206, 233, 250, 260, 261, 271, 291, 301, 313, 318, 345, 348, 364, 365, 375, 406, 415, 421, 437, 442, 451, 462, 464, 479, 496, 63, 72, 98]",12,0,0,22,0,22.333333333333332,1.0,"1,0",0.08971428571428572,0.0019047619047618952,1.8140589569160817e-06,,
