node_id,community_id,community_size
1,0,14
10,1,27
100,2,24
101,3,16
102,4,46
103,5,52
104,6,9
105,1,27
106,2,24
107,5,52
108,5,52
109,1,27
11,0,14
110,7,10
111,8,11
112,8,11
113,9,6
114,10,22
115,4,46
116,11,9
117,12,8
118,13,13
119,2,24
12,14,19
120,4,46
121,4,46
122,15,7
123,4,46
124,1,27
125,1,27
126,16,11
127,14,19
128,11,9
129,9,6
13,17,9
130,4,46
131,18,6
132,19,16
133,5,52
134,1,27
135,1,27
136,13,13
137,5,52
138,2,24
139,4,46
14,13,13
140,5,52
141,4,46
142,20,7
143,21,8
144,2,24
145,4,46
146,0,14
147,10,22
148,5,52
149,15,7
15,15,7
150,13,13
151,5,52
152,1,27
153,19,16
154,19,16
155,2,24
156,4,46
157,1,27
158,3,16
159,4,46
16,6,9
160,22,1
161,5,52
162,13,13
163,11,9
164,12,8
165,1,27
166,23,9
167,1,27
168,11,9
169,1,27
17,5,52
170,15,7
171,5,52
172,5,52
173,5,52
174,10,22
175,18,6
176,14,19
177,5,52
178,24,6
179,6,9
18,23,9
180,24,6
181,14,19
182,10,22
183,7,10
184,17,9
185,21,8
186,5,52
187,2,24
188,3,16
189,10,22
19,10,22
190,19,16
191,2,24
192,15,7
193,3,16
194,16,11
195,10,22
196,4,46
197,7,10
198,5,52
199,23,9
2,21,8
20,10,22
200,16,11
201,19,16
202,5,52
203,4,46
204,5,52
205,19,16
206,8,11
207,7,10
208,24,6
209,13,13
21,14,19
210,4,46
211,17,9
212,1,27
213,4,46
214,5,52
215,1,27
216,14,19
217,10,22
218,9,6
219,1,27
22,21,8
220,10,22
221,1,27
222,1,27
223,10,22
224,13,13
225,1,27
226,5,52
227,19,16
228,2,24
229,3,16
23,3,16
230,8,11
231,5,52
232,0,14
233,16,11
234,12,8
235,5,52
236,14,19
237,20,7
238,5,52
239,10,22
24,5,52
240,2,24
241,5,52
242,3,16
243,14,19
244,14,19
245,12,8
246,14,19
247,4,46
248,7,10
249,12,8
25,18,6
250,3,16
251,5,52
252,14,19
253,7,10
254,8,11
255,19,16
256,4,46
257,10,22
258,0,14
259,1,27
26,11,9
260,4,46
261,2,24
262,9,6
263,19,16
264,0,14
265,4,46
266,0,14
267,12,8
268,10,22
269,4,46
27,5,52
270,21,8
271,19,16
272,6,9
273,4,46
274,10,22
275,18,6
276,1,27
277,4,46
278,5,52
279,8,11
28,5,52
280,0,14
281,9,6
282,20,7
283,5,52
284,14,19
285,11,9
286,10,22
287,2,24
288,4,46
289,5,52
29,8,11
290,1,27
291,20,7
292,11,9
293,5,52
294,2,24
295,5,52
296,13,13
297,24,6
298,4,46
299,1,27
3,3,16
30,5,52
300,12,8
301,5,52
302,4,46
303,3,16
304,1,27
305,5,52
306,14,19
307,1,27
308,2,24
309,4,46
31,10,22
310,7,10
311,19,16
312,4,46
313,21,8
314,4,46
315,23,9
316,2,24
317,19,16
318,23,9
319,4,46
32,17,9
320,7,10
321,4,46
322,14,19
323,13,13
324,4,46
325,2,24
326,20,7
327,0,14
328,5,52
329,5,52
33,8,11
330,2,24
331,16,11
332,1,27
333,17,9
334,13,13
335,5,52
336,13,13
337,16,11
338,19,16
339,6,9
34,13,13
340,5,52
341,17,9
342,4,46
343,13,13
344,16,11
345,10,22
346,10,22
347,17,9
348,5,52
349,4,46
35,10,22
350,4,46
351,25,81
352,26,5
353,27,13
354,26,5
355,28,12
356,26,5
357,25,81
358,6,9
359,25,81
36,9,6
360,25,81
361,25,81
362,29,21
363,3,16
364,25,81
365,25,81
366,3,16
367,11,9
368,25,81
369,29,21
37,0,14
370,29,21
371,25,81
372,25,81
373,25,81
374,28,12
375,25,81
376,29,21
377,25,81
378,27,13
379,6,9
38,14,19
380,29,21
381,26,5
382,3,16
383,25,81
384,29,21
385,25,81
386,25,81
387,29,21
388,16,11
389,25,81
39,18,6
390,28,12
391,28,12
392,25,81
393,25,81
394,28,12
395,27,13
396,25,81
397,25,81
398,25,81
399,25,81
4,24,6
40,8,11
400,25,81
401,25,81
402,25,81
403,29,21
404,19,16
405,25,81
406,28,12
407,25,81
408,29,21
409,25,81
41,8,11
410,28,12
411,25,81
412,25,81
413,25,81
414,29,21
415,25,81
416,25,81
417,25,81
418,27,13
419,25,81
42,4,46
420,25,81
421,25,81
422,29,21
423,27,13
424,12,8
425,25,81
426,25,81
427,29,21
428,25,81
429,25,81
43,4,46
430,25,81
431,25,81
432,29,21
433,25,81
434,24,6
435,27,13
436,25,81
437,27,13
438,25,81
439,25,81
44,5,52
440,25,81
441,25,81
442,25,81
443,25,81
444,25,81
445,25,81
446,28,12
447,27,13
448,25,81
449,23,9
45,3,16
450,25,81
451,25,81
452,29,21
453,25,81
454,28,12
455,28,12
456,28,12
457,29,21
458,27,13
459,25,81
46,3,16
460,25,81
461,25,81
462,25,81
463,19,16
464,30,1
465,25,81
466,25,81
467,25,81
468,28,12
469,16,11
47,17,9
470,25,81
471,6,9
472,25,81
473,25,81
474,25,81
475,29,21
476,25,81
477,27,13
478,29,21
479,25,81
48,5,52
480,25,81
481,25,81
482,1,27
483,25,81
484,25,81
485,29,21
486,25,81
487,31,1
488,25,81
489,29,21
49,2,24
490,29,21
491,25,81
492,11,9
493,25,81
494,27,13
495,27,13
496,25,81
497,26,5
498,29,21
499,27,13
5,10,22
50,5,52
500,25,81
51,4,46
52,23,9
53,2,24
54,0,14
55,14,19
56,21,8
57,2,24
58,5,52
59,2,24
6,19,16
60,21,8
61,23,9
62,4,46
63,20,7
64,4,46
65,14,19
66,4,46
67,2,24
68,16,11
69,5,52
7,14,19
70,4,46
71,4,46
72,7,10
73,14,19
74,6,9
75,15,7
76,20,7
77,4,46
78,15,7
79,0,14
8,5,52
80,3,16
81,4,46
82,7,10
83,0,14
84,0,14
85,10,22
86,8,11
87,4,46
88,5,52
89,1,27
9,5,52
90,2,24
91,2,24
92,23,9
93,4,46
94,16,11
95,18,6
96,5,52
97,17,9
98,5,52
99,5,52
