generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.017704204204204224,0.017704204204204224,22.2,0.043666666666666666,0.008258258258258216,-0.009876220649978954,0.6165615032563156,"[132, 141, 163, 18, 196, 211, 233, 238, 261, 271, 301, 342, 365, 375, 451, 464, 485, 487, 72, 81]",12,920,0,952,0,11.1,1.0,"0,1"
1,0.021500000000000002,0.021500000000000002,21.5,0.043000000000000003,0.0,-0.0002760024371567928,0.6024601572334305,"[102, 138, 139, 141, 163, 206, 233, 234, 237, 250, 261, 271, 301, 342, 375, 451, 464, 479, 485, 487]",12,840,0,862,0,10.75,1.0,"0,1"
2,0.021500000000000002,0.021500000000000002,21.5,0.043000000000000003,0.0,0.009187876112144994,0.5845971471509509,"[102, 138, 139, 141, 163, 206, 233, 234, 237, 250, 261, 271, 301, 342, 375, 451, 464, 479, 485, 487]",12,600,0,618,0,10.75,1.0,"0,1"
3,0.022299559471365644,0.022299559471365644,22.7,0.04533333333333333,0.0007342143906020401,0.014395512503083664,0.556354614378425,"[102, 124, 139, 206, 233, 237, 250, 261, 271, 301, 342, 348, 365, 375, 406, 442, 451, 485, 53, 72]",12,760,0,741,0,11.35,1.0,"0,1"
4,0.022299559471365644,0.022299559471365644,22.7,0.04533333333333333,0.0007342143906020401,0.01578134770899896,0.555321586365925,"[102, 124, 139, 206, 233, 237, 250, 261, 271, 301, 342, 348, 365, 375, 406, 442, 451, 485, 53, 72]",12,640,0,660,0,11.35,1.0,"0,1"
5,0.022299559471365644,0.022299559471365644,22.7,0.04533333333333333,0.0007342143906020401,0.017521480456647552,0.5406159439535714,"[102, 124, 139, 206, 233, 237, 250, 261, 271, 301, 342, 348, 365, 375, 406, 442, 451, 485, 53, 72]",12,640,0,622,0,11.35,1.0,"0,1"
6,0.022299559471365644,0.022299559471365644,22.7,0.04533333333333333,0.0007342143906020401,0.01776687579553426,0.5448255933245111,"[102, 124, 139, 206, 233, 237, 250, 261, 271, 301, 342, 348, 365, 375, 406, 442, 451, 485, 53, 72]",12,720,0,742,0,11.35,1.0,"0,1"
7,0.022299559471365644,0.022299559471365644,22.7,0.04533333333333333,0.0007342143906020401,0.01879162511325398,0.5476988674551184,"[102, 124, 139, 206, 233, 237, 250, 261, 271, 301, 342, 348, 365, 375, 406, 442, 451, 485, 53, 72]",12,720,0,743,0,11.35,1.0,"0,1"
8,0.022299559471365644,0.022299559471365644,22.7,0.04533333333333333,0.0007342143906020401,0.019334711015167493,0.5597853198456122,"[102, 124, 139, 206, 233, 237, 250, 261, 271, 301, 342, 348, 365, 375, 406, 442, 451, 485, 53, 72]",12,640,0,662,0,11.35,1.0,"0,1"
9,0.022299559471365644,0.022299559471365644,22.7,0.04533333333333333,0.0007342143906020401,0.019476144709446717,0.5619431154067062,"[102, 124, 139, 206, 233, 237, 250, 261, 271, 301, 342, 348, 365, 375, 406, 442, 451, 485, 53, 72]",12,560,0,540,0,11.35,1.0,"0,1"
