generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.014425925925925918,0.014425925925925918,22.5,0.043666666666666666,0.014814814814814828,0.0033927343347181995,0.6940630118755844,"[100, 105, 124, 180, 196, 233, 250, 254, 274, 301, 342, 348, 364, 375, 377, 408, 451, 452, 72, 98]",3,13,16,35,0,11.25,1.0,"0,1"
1,0.014864535768645395,0.014864535768645395,21.9,0.04266666666666667,0.01293759512937588,0.010227257318271779,0.6954072498140058,"[102, 105, 139, 141, 160, 163, 18, 180, 233, 282, 301, 348, 364, 375, 449, 451, 452, 487, 72, 90]",0,0,0,22,0,10.95,1.0,"0,1"
2,0.014864535768645395,0.014864535768645395,21.9,0.04266666666666667,0.01293759512937588,0.011440317259766455,0.6973705519077282,"[102, 105, 139, 141, 160, 163, 18, 180, 233, 282, 301, 348, 364, 375, 449, 451, 452, 487, 72, 90]",3,12,15,24,0,10.95,1.0,"0,1"
3,0.01590243902439024,0.01590243902439024,22.55,0.044,0.012195121951219516,0.01256172766252431,0.6715783599674175,"[105, 124, 138, 18, 180, 196, 206, 233, 250, 254, 261, 274, 342, 363, 451, 452, 462, 479, 489, 72]",0,0,0,20,0,11.274999999999999,1.0,"0,1"
4,0.01590243902439024,0.01590243902439024,22.55,0.044,0.012195121951219516,0.012868465584941598,0.6350821818413039,"[105, 124, 138, 18, 180, 196, 206, 233, 250, 254, 261, 274, 342, 363, 451, 452, 462, 479, 489, 72]",3,9,12,26,0,11.274999999999999,1.0,"0,1"
5,0.01590243902439024,0.01590243902439024,22.55,0.044,0.012195121951219516,0.013028698322396707,0.6314150421922652,"[105, 124, 138, 18, 180, 196, 206, 233, 250, 254, 261, 274, 342, 363, 451, 452, 462, 479, 489, 72]",0,0,0,23,0,11.274999999999999,1.0,"0,1"
6,0.016217391304347843,0.016217391304347843,23.0,0.04485714285714285,0.012422360248447162,0.013684533913280712,0.6372331249278579,"[102, 139, 163, 18, 180, 196, 206, 233, 250, 282, 301, 348, 363, 364, 375, 405, 452, 464, 487, 72]",3,17,20,28,0,11.5,1.0,"1,0"
7,0.016217391304347843,0.016217391304347843,23.0,0.04485714285714285,0.012422360248447162,0.013684533913280712,0.6372331249278579,"[102, 139, 163, 18, 180, 196, 206, 233, 250, 282, 301, 348, 363, 364, 375, 405, 452, 464, 487, 72]",0,0,0,22,0,11.5,1.0,"1,0"
8,0.016217391304347843,0.016217391304347843,23.0,0.04485714285714285,0.012422360248447162,0.013801930405677204,0.6248908647116974,"[102, 139, 163, 18, 180, 196, 206, 233, 250, 282, 301, 348, 363, 364, 375, 405, 452, 464, 487, 72]",3,15,18,27,0,11.5,1.0,"1,0"
9,0.016217391304347843,0.016217391304347843,23.0,0.04485714285714285,0.012422360248447162,0.014111974301793874,0.6104321851493354,"[102, 139, 163, 18, 180, 196, 206, 233, 250, 282, 301, 348, 363, 364, 375, 405, 452, 464, 487, 72]",3,13,16,24,0,11.5,1.0,"1,0"
