generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,-0.0017542784163473782,-0.0017542784163473782,43.5,0.06826666666666667,0.07177522349936143,-0.03045720749131975,0.5002140746384475,"[13, 167, 169, 178, 201, 203, 209, 212, 248, 251, 264, 269, 277, 287, 290, 291, 292, 326, 327, 358, 370, 403, 411, 416, 423, 429, 430, 436, 449, 472, 495, 498, 499, 54, 56, 65, 7, 78, 81, 9]",12,1280,0,1314,0,14.5,1.0,"0,1,2"
1,-0.0017542784163473782,-0.0017542784163473782,43.5,0.06826666666666667,0.07177522349936143,-0.020409856887969525,0.46276002470479916,"[13, 167, 169, 178, 201, 203, 209, 212, 248, 251, 264, 269, 277, 287, 290, 291, 292, 326, 327, 358, 370, 403, 411, 416, 423, 429, 430, 436, 449, 472, 495, 498, 499, 54, 56, 65, 7, 78, 81, 9]",12,1120,0,1143,0,14.5,1.0,"0,1,2"
2,-0.0017542784163473782,-0.0017542784163473782,43.5,0.06826666666666667,0.07177522349936143,-0.019349956500984925,0.44803475557594824,"[13, 167, 169, 178, 201, 203, 209, 212, 248, 251, 264, 269, 277, 287, 290, 291, 292, 326, 327, 358, 370, 403, 411, 416, 423, 429, 430, 436, 449, 472, 495, 498, 499, 54, 56, 65, 7, 78, 81, 9]",12,1120,0,1139,0,14.5,1.0,"0,1,2"
3,0.03464614339109752,0.03464614339109752,43.6,0.08373333333333334,0.014441046551138306,-0.010448675519032289,0.42047167875656416,"[11, 127, 167, 169, 178, 203, 209, 212, 220, 235, 248, 251, 264, 269, 277, 287, 290, 291, 292, 326, 327, 348, 358, 368, 370, 403, 411, 416, 423, 430, 434, 444, 448, 449, 453, 499, 53, 65, 7, 9]",12,960,0,984,0,14.533333333333331,1.0,"0,1,2"
4,0.03464614339109752,0.03464614339109752,43.6,0.08373333333333334,0.014441046551138306,-0.0037775335967794453,0.39393303250961637,"[11, 127, 167, 169, 178, 203, 209, 212, 220, 235, 248, 251, 264, 269, 277, 287, 290, 291, 292, 326, 327, 348, 358, 368, 370, 403, 411, 416, 423, 430, 434, 444, 448, 449, 453, 499, 53, 65, 7, 9]",12,960,0,981,0,14.533333333333331,1.0,"0,1,2"
5,0.0372170992889574,0.0372170992889574,43.233333333333334,0.0848,0.010365801422085194,0.00976791672195698,0.39397215370065336,"[158, 167, 169, 178, 203, 209, 212, 216, 220, 235, 248, 251, 264, 269, 277, 28, 287, 290, 291, 292, 326, 327, 348, 358, 368, 370, 400, 403, 416, 423, 430, 434, 436, 448, 449, 463, 472, 65, 7, 9]",12,1120,0,1142,0,14.411111111111111,1.0,"0,1,2"
6,0.0372170992889574,0.0372170992889574,43.233333333333334,0.0848,0.010365801422085194,0.010544588155437752,0.3870021996012024,"[158, 167, 169, 178, 203, 209, 212, 216, 220, 235, 248, 251, 264, 269, 277, 28, 287, 290, 291, 292, 326, 327, 348, 358, 368, 370, 400, 403, 416, 423, 430, 434, 436, 448, 449, 463, 472, 65, 7, 9]",12,1120,0,1143,0,14.411111111111111,1.0,"0,1,2"
7,0.0372170992889574,0.0372170992889574,43.233333333333334,0.0848,0.010365801422085194,0.012834348657830128,0.37218121406927834,"[158, 167, 169, 178, 203, 209, 212, 216, 220, 235, 248, 251, 264, 269, 277, 28, 287, 290, 291, 292, 326, 327, 348, 358, 368, 370, 400, 403, 416, 423, 430, 434, 436, 448, 449, 463, 472, 65, 7, 9]",12,1040,0,1060,0,14.411111111111111,1.0,"0,1,2"
8,0.0372170992889574,0.0372170992889574,43.233333333333334,0.0848,0.010365801422085194,0.015926465079047984,0.35347625207483774,"[158, 167, 169, 178, 203, 209, 212, 216, 220, 235, 248, 251, 264, 269, 277, 28, 287, 290, 291, 292, 326, 327, 348, 358, 368, 370, 400, 403, 416, 423, 430, 434, 436, 448, 449, 463, 472, 65, 7, 9]",12,1120,0,1141,0,14.411111111111111,1.0,"0,1,2"
9,0.0372170992889574,0.0372170992889574,43.233333333333334,0.0848,0.010365801422085194,0.01764675584263377,0.3322126260391952,"[158, 167, 169, 178, 203, 209, 212, 216, 220, 235, 248, 251, 264, 269, 277, 28, 287, 290, 291, 292, 326, 327, 348, 358, 368, 370, 400, 403, 416, 423, 430, 434, 436, 448, 449, 463, 472, 65, 7, 9]",12,1280,0,1303,0,14.411111111111111,1.0,"0,1,2"
