generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.028149832947828322,0.028149832947828322,43.233333333333334,0.082,0.025700334104343362,-0.03301164525783968,0.6004535856129297,"[108, 11, 116, 117, 127, 13, 169, 203, 209, 251, 264, 268, 277, 292, 326, 358, 36, 370, 396, 399, 403, 411, 416, 417, 423, 429, 434, 444, 446, 452, 470, 472, 499, 51, 56, 59, 65, 67, 76, 9]",12,184,0,208,0,14.411111111111111,1.0,"1,0,2"
1,0.030046664931910834,0.030046664931910834,42.7,0.08177777777777778,0.021684447913956115,-0.006047844314866259,0.6428677933867919,"[108, 109, 11, 116, 117, 127, 13, 164, 167, 169, 203, 207, 209, 251, 264, 269, 272, 291, 292, 325, 326, 330, 34, 376, 382, 396, 399, 400, 403, 411, 429, 434, 435, 444, 498, 499, 59, 65, 76, 80]",12,184,0,181,0,14.233333333333334,1.0,"2,0,1"
2,0.030046664931910834,0.030046664931910834,42.7,0.08177777777777778,0.021684447913956115,0.00781589625014139,0.643781782134794,"[108, 109, 11, 116, 117, 127, 13, 164, 167, 169, 203, 207, 209, 251, 264, 269, 272, 291, 292, 325, 326, 330, 34, 376, 382, 396, 399, 400, 403, 411, 429, 434, 435, 444, 498, 499, 59, 65, 76, 80]",12,192,0,177,0,14.233333333333334,1.0,"2,0,1"
3,0.030046664931910834,0.030046664931910834,42.7,0.08177777777777778,0.021684447913956115,0.012223462701934468,0.6443361573117878,"[108, 109, 11, 116, 117, 127, 13, 164, 167, 169, 203, 207, 209, 251, 264, 269, 272, 291, 292, 325, 326, 330, 34, 376, 382, 396, 399, 400, 403, 411, 429, 434, 435, 444, 498, 499, 59, 65, 76, 80]",12,176,0,185,0,14.233333333333334,1.0,"2,0,1"
4,0.030046664931910834,0.030046664931910834,42.7,0.08177777777777778,0.021684447913956115,0.018112056284802076,0.6211003607110827,"[108, 109, 11, 116, 117, 127, 13, 164, 167, 169, 203, 207, 209, 251, 264, 269, 272, 291, 292, 325, 326, 330, 34, 376, 382, 396, 399, 400, 403, 411, 429, 434, 435, 444, 498, 499, 59, 65, 76, 80]",12,192,0,198,0,14.233333333333334,1.0,"2,0,1"
5,0.030046664931910834,0.030046664931910834,42.7,0.08177777777777778,0.021684447913956115,0.02265267559907214,0.5883201553985957,"[108, 109, 11, 116, 117, 127, 13, 164, 167, 169, 203, 207, 209, 251, 264, 269, 272, 291, 292, 325, 326, 330, 34, 376, 382, 396, 399, 400, 403, 411, 429, 434, 435, 444, 498, 499, 59, 65, 76, 80]",12,184,0,184,0,14.233333333333334,1.0,"2,0,1"
6,0.030046664931910834,0.030046664931910834,42.7,0.08177777777777778,0.021684447913956115,0.023879541023741655,0.572060525149095,"[108, 109, 11, 116, 117, 127, 13, 164, 167, 169, 203, 207, 209, 251, 264, 269, 272, 291, 292, 325, 326, 330, 34, 376, 382, 396, 399, 400, 403, 411, 429, 434, 435, 444, 498, 499, 59, 65, 76, 80]",12,192,0,192,0,14.233333333333334,1.0,"2,0,1"
7,0.030046664931910834,0.030046664931910834,42.7,0.08177777777777778,0.021684447913956115,0.025000359314568187,0.5671188089814307,"[108, 109, 11, 116, 117, 127, 13, 164, 167, 169, 203, 207, 209, 251, 264, 269, 272, 291, 292, 325, 326, 330, 34, 376, 382, 396, 399, 400, 403, 411, 429, 434, 435, 444, 498, 499, 59, 65, 76, 80]",12,176,0,175,0,14.233333333333334,1.0,"2,0,1"
8,0.03534794427454977,0.03534794427454977,43.6,0.08377777777777777,0.013081889228678227,0.027194058242910088,0.5721612187919886,"[108, 116, 117, 13, 164, 167, 169, 178, 203, 205, 209, 251, 26, 264, 269, 277, 291, 292, 304, 325, 326, 330, 376, 391, 396, 400, 406, 411, 423, 434, 435, 446, 452, 453, 470, 499, 51, 65, 76, 9]",12,168,0,188,0,14.533333333333333,1.0,"1,0,2"
9,0.03534794427454977,0.03534794427454977,43.6,0.08377777777777777,0.013081889228678227,0.028184375239508227,0.5811900508633238,"[108, 116, 117, 13, 164, 167, 169, 178, 203, 205, 209, 251, 26, 264, 269, 277, 291, 292, 304, 325, 326, 330, 376, 391, 396, 400, 406, 411, 423, 434, 435, 446, 452, 453, 470, 499, 51, 65, 76, 9]",12,184,0,193,0,14.533333333333333,1.0,"1,0,2"
