generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.027562680237489416,0.027562680237489416,43.666666666666664,0.0832,0.02807463952502116,-0.019964376040101445,0.6325700393968884,"[118, 127, 134, 167, 169, 178, 201, 209, 248, 251, 264, 267, 269, 277, 287, 291, 292, 326, 327, 330, 348, 358, 399, 400, 403, 411, 423, 430, 434, 435, 452, 470, 471, 472, 477, 51, 56, 7, 73, 9]",12,184,0,210,0,14.555555555555557,1.0,"0,1,2"
1,0.03828822119500087,0.03828822119500087,43.266666666666666,0.08522222222222223,0.008645779832220493,0.007390815312097672,0.638988774862368,"[104, 116, 132, 134, 167, 178, 182, 201, 203, 209, 251, 264, 269, 277, 287, 29, 291, 292, 304, 327, 330, 348, 382, 390, 396, 399, 403, 413, 429, 444, 448, 466, 471, 472, 495, 56, 7, 81, 9, 94]",12,176,0,189,0,14.422222222222222,1.0,"1,0,2"
2,0.03828822119500087,0.03828822119500087,43.266666666666666,0.08522222222222223,0.008645779832220493,0.015281697911102435,0.6252600517474899,"[104, 116, 132, 134, 167, 178, 182, 201, 203, 209, 251, 264, 269, 277, 287, 29, 291, 292, 304, 327, 330, 348, 382, 390, 396, 399, 403, 413, 429, 444, 448, 466, 471, 472, 495, 56, 7, 81, 9, 94]",12,168,0,173,0,14.422222222222222,1.0,"1,0,2"
3,0.03828822119500087,0.03828822119500087,43.266666666666666,0.08522222222222223,0.008645779832220493,0.02174148756142612,0.6216121789024508,"[104, 116, 132, 134, 167, 178, 182, 201, 203, 209, 251, 264, 269, 277, 287, 29, 291, 292, 304, 327, 330, 348, 382, 390, 396, 399, 403, 413, 429, 444, 448, 466, 471, 472, 495, 56, 7, 81, 9, 94]",12,176,0,196,0,14.422222222222222,1.0,"1,0,2"
4,0.03828822119500087,0.03828822119500087,43.266666666666666,0.08522222222222223,0.008645779832220493,0.024844832944525348,0.6096441085432533,"[104, 116, 132, 134, 167, 178, 182, 201, 203, 209, 251, 264, 269, 277, 287, 29, 291, 292, 304, 327, 330, 348, 382, 390, 396, 399, 403, 413, 429, 444, 448, 466, 471, 472, 495, 56, 7, 81, 9, 94]",12,192,0,214,0,14.422222222222222,1.0,"1,0,2"
5,0.03828822119500087,0.03828822119500087,43.266666666666666,0.08522222222222223,0.008645779832220493,0.028714558456516864,0.5952458506207537,"[104, 116, 132, 134, 167, 178, 182, 201, 203, 209, 251, 264, 269, 277, 287, 29, 291, 292, 304, 327, 330, 348, 382, 390, 396, 399, 403, 413, 429, 444, 448, 466, 471, 472, 495, 56, 7, 81, 9, 94]",12,176,0,176,0,14.422222222222222,1.0,"1,0,2"
6,0.03828822119500087,0.03828822119500087,43.266666666666666,0.08522222222222223,0.008645779832220493,0.02905292782135682,0.5864359315848872,"[104, 116, 132, 134, 167, 178, 182, 201, 203, 209, 251, 264, 269, 277, 287, 29, 291, 292, 304, 327, 330, 348, 382, 390, 396, 399, 403, 413, 429, 444, 448, 466, 471, 472, 495, 56, 7, 81, 9, 94]",12,184,0,199,0,14.422222222222222,1.0,"1,0,2"
7,0.03828822119500087,0.03828822119500087,43.266666666666666,0.08522222222222223,0.008645779832220493,0.029087211843730854,0.5932766298429285,"[104, 116, 132, 134, 167, 178, 182, 201, 203, 209, 251, 264, 269, 277, 287, 29, 291, 292, 304, 327, 330, 348, 382, 390, 396, 399, 403, 413, 429, 444, 448, 466, 471, 472, 495, 56, 7, 81, 9, 94]",12,168,0,167,0,14.422222222222222,1.0,"1,0,2"
8,0.03828822119500087,0.03828822119500087,43.266666666666666,0.08522222222222223,0.008645779832220493,0.029087211843730854,0.5932766298429285,"[104, 116, 132, 134, 167, 178, 182, 201, 203, 209, 251, 264, 269, 277, 287, 29, 291, 292, 304, 327, 330, 348, 382, 390, 396, 399, 403, 413, 429, 444, 448, 466, 471, 472, 495, 56, 7, 81, 9, 94]",12,176,0,197,0,14.422222222222222,1.0,"1,0,2"
9,0.03828822119500087,0.03828822119500087,43.266666666666666,0.08522222222222223,0.008645779832220493,0.030869841433423986,0.6006078612799799,"[104, 116, 132, 134, 167, 178, 182, 201, 203, 209, 251, 264, 269, 277, 287, 29, 291, 292, 304, 327, 330, 348, 382, 390, 396, 399, 403, 413, 429, 444, 448, 466, 471, 472, 495, 56, 7, 81, 9, 94]",12,184,0,188,0,14.422222222222222,1.0,"1,0,2"
