generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.001701858925388322,0.001701858925388322,43.63333333333333,0.06986666666666666,0.06646294881589002,-0.03437864361235168,0.6320003206311662,"[116, 13, 137, 167, 169, 178, 201, 203, 207, 209, 248, 251, 264, 266, 269, 28, 287, 290, 292, 330, 342, 347, 358, 370, 390, 396, 400, 429, 448, 453, 463, 466, 470, 472, 55, 56, 73, 79, 9, 96]",12,184,0,202,0,14.544444444444444,1.0,"0,1,2"
1,0.03851607203533807,0.03851607203533807,43.6,0.08586666666666666,0.008834522595990518,0.0007241599355396899,0.648294035406198,"[116, 118, 127, 13, 167, 169, 178, 203, 207, 209, 222, 248, 251, 264, 266, 269, 277, 28, 290, 291, 292, 326, 330, 344, 358, 368, 370, 390, 391, 403, 416, 434, 446, 449, 466, 472, 495, 498, 56, 65]",12,192,0,192,0,14.533333333333333,1.0,"0,1,2"
2,0.03914114662607817,0.03914114662607817,43.8,0.0864,0.00811770674784366,0.013230774486218858,0.6309001463941456,"[116, 118, 127, 13, 134, 169, 173, 178, 203, 209, 248, 251, 264, 269, 277, 287, 290, 291, 292, 326, 330, 344, 347, 348, 358, 371, 390, 396, 411, 444, 453, 463, 466, 471, 495, 498, 65, 7, 73, 9]",12,184,0,191,0,14.6,1.0,"0,1,2"
3,0.03914114662607817,0.03914114662607817,43.8,0.0864,0.00811770674784366,0.02036281651883529,0.5767336467971385,"[116, 118, 127, 13, 134, 169, 173, 178, 203, 209, 248, 251, 264, 269, 277, 287, 290, 291, 292, 326, 330, 344, 347, 348, 358, 371, 390, 396, 411, 444, 453, 463, 466, 471, 495, 498, 65, 7, 73, 9]",12,192,0,197,0,14.6,1.0,"0,1,2"
4,0.03914114662607817,0.03914114662607817,43.8,0.0864,0.00811770674784366,0.02394915465812597,0.5739097217186596,"[116, 118, 127, 13, 134, 169, 173, 178, 203, 209, 248, 251, 264, 269, 277, 287, 290, 291, 292, 326, 330, 344, 347, 348, 358, 371, 390, 396, 411, 444, 453, 463, 466, 471, 495, 498, 65, 7, 73, 9]",12,192,0,184,0,14.6,1.0,"0,1,2"
5,0.03914114662607817,0.03914114662607817,43.8,0.0864,0.00811770674784366,0.02463841869823812,0.5731809786867541,"[116, 118, 127, 13, 134, 169, 173, 178, 203, 209, 248, 251, 264, 269, 277, 287, 290, 291, 292, 326, 330, 344, 347, 348, 358, 371, 390, 396, 411, 444, 453, 463, 466, 471, 495, 498, 65, 7, 73, 9]",12,184,0,199,0,14.6,1.0,"0,1,2"
6,0.03914114662607817,0.03914114662607817,43.8,0.0864,0.00811770674784366,0.026207670659221086,0.5794700949070044,"[116, 118, 127, 13, 134, 169, 173, 178, 203, 209, 248, 251, 264, 269, 277, 287, 290, 291, 292, 326, 330, 344, 347, 348, 358, 371, 390, 396, 411, 444, 453, 463, 466, 471, 495, 498, 65, 7, 73, 9]",12,160,0,174,0,14.6,1.0,"0,1,2"
7,0.03914114662607817,0.03914114662607817,43.8,0.0864,0.00811770674784366,0.02758883194458814,0.5844988043726447,"[116, 118, 127, 13, 134, 169, 173, 178, 203, 209, 248, 251, 264, 269, 277, 287, 290, 291, 292, 326, 330, 344, 347, 348, 358, 371, 390, 396, 411, 444, 453, 463, 466, 471, 495, 498, 65, 7, 73, 9]",12,168,0,176,0,14.6,1.0,"0,1,2"
8,0.03914114662607817,0.03914114662607817,43.8,0.0864,0.00811770674784366,0.02897261505688496,0.572570079633751,"[116, 118, 127, 13, 134, 169, 173, 178, 203, 209, 248, 251, 264, 269, 277, 287, 290, 291, 292, 326, 330, 344, 347, 348, 358, 371, 390, 396, 411, 444, 453, 463, 466, 471, 495, 498, 65, 7, 73, 9]",12,192,0,184,0,14.6,1.0,"0,1,2"
9,0.03914114662607817,0.03914114662607817,43.8,0.0864,0.00811770674784366,0.029659985345843225,0.5671315911326176,"[116, 118, 127, 13, 134, 169, 173, 178, 203, 209, 248, 251, 264, 269, 277, 287, 290, 291, 292, 326, 330, 344, 347, 348, 358, 371, 390, 396, 411, 444, 453, 463, 466, 471, 495, 498, 65, 7, 73, 9]",12,184,0,172,0,14.6,1.0,"0,1,2"
