generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.012300940757691307,0.012300940757691307,21.85,0.0424,0.017798118484617386,-0.027943925559597498,0.7005305222348698,"[11, 127, 169, 178, 203, 209, 251, 264, 269, 277, 292, 326, 327, 399, 416, 423, 439, 444, 472, 9]",0,7.283333333333334,1.0,"0,2,1"
1,0.012300940757691307,0.012300940757691307,21.85,0.0424,0.017798118484617386,-0.019134623843825502,0.6290381530556768,"[11, 127, 169, 178, 203, 209, 251, 264, 269, 277, 292, 326, 327, 399, 416, 423, 439, 444, 472, 9]",0,7.283333333333334,1.0,"0,2,1"
2,0.012300940757691307,0.012300940757691307,21.85,0.0424,0.017798118484617386,-0.008981252066641831,0.5959938845375526,"[11, 127, 169, 178, 203, 209, 251, 264, 269, 277, 292, 326, 327, 399, 416, 423, 439, 444, 472, 9]",0,7.283333333333334,1.0,"0,2,1"
3,0.012300940757691307,0.012300940757691307,21.85,0.0424,0.017798118484617386,-0.004670498381557627,0.5987280682543689,"[11, 127, 169, 178, 203, 209, 251, 264, 269, 277, 292, 326, 327, 399, 416, 423, 439, 444, 472, 9]",0,7.283333333333334,1.0,"0,2,1"
4,0.012300940757691307,0.012300940757691307,21.85,0.0424,0.017798118484617386,-0.002682278333478425,0.588432243423876,"[11, 127, 169, 178, 203, 209, 251, 264, 269, 277, 292, 326, 327, 399, 416, 423, 439, 444, 472, 9]",0,7.283333333333334,1.0,"0,2,1"
5,0.013319508448540702,0.013319508448540702,21.7,0.041999999999999996,0.015360983102918594,0.00021216225746363646,0.5715249460985464,"[11, 127, 169, 177, 178, 203, 251, 269, 277, 28, 292, 326, 327, 370, 400, 423, 430, 495, 499, 9]",0,7.233333333333333,1.0,"2,0,1"
6,0.013319508448540702,0.013319508448540702,21.7,0.041999999999999996,0.015360983102918594,0.0020193167976478963,0.5650976347440432,"[11, 127, 169, 177, 178, 203, 251, 269, 277, 28, 292, 326, 327, 370, 400, 423, 430, 495, 499, 9]",0,7.233333333333333,1.0,"2,0,1"
7,0.013319508448540702,0.013319508448540702,21.7,0.041999999999999996,0.015360983102918594,0.004345884421656602,0.5378203929043245,"[11, 127, 169, 177, 178, 203, 251, 269, 277, 28, 292, 326, 327, 370, 400, 423, 430, 495, 499, 9]",0,7.233333333333333,1.0,"2,0,1"
8,0.013319508448540702,0.013319508448540702,21.7,0.041999999999999996,0.015360983102918594,0.004345884421656602,0.5378203929043245,"[11, 127, 169, 177, 178, 203, 251, 269, 277, 28, 292, 326, 327, 370, 400, 423, 430, 495, 499, 9]",0,7.233333333333333,1.0,"2,0,1"
9,0.013319508448540702,0.013319508448540702,21.7,0.041999999999999996,0.015360983102918594,0.004938782027434609,0.5250164856385574,"[11, 127, 169, 177, 178, 203, 251, 269, 277, 28, 292, 326, 327, 370, 400, 423, 430, 495, 499, 9]",0,7.233333333333333,1.0,"2,0,1"
