generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.00739232209737827,0.00739232209737827,22.25,0.0425,0.027715355805243463,-0.027608017659684566,0.7728166257488795,"[11, 167, 169, 178, 201, 203, 229, 235, 277, 326, 330, 331, 411, 423, 463, 477, 495, 498, 65, 7]",0,7.416666666666667,1.0,"1,0,2"
1,0.01712403100775194,0.01712403100775194,21.5,0.042,0.007751937984496124,-0.012204242963446384,0.772509706609092,"[121, 13, 167, 169, 203, 209, 229, 235, 248, 277, 326, 330, 331, 368, 400, 453, 469, 471, 53, 81]",0,7.166666666666667,1.0,"0,1,2"
2,0.01712403100775194,0.01712403100775194,21.5,0.042,0.007751937984496124,-0.0016634227161073818,0.7360610665980147,"[121, 13, 167, 169, 203, 209, 229, 235, 248, 277, 326, 330, 331, 368, 400, 453, 469, 471, 53, 81]",0,7.166666666666667,1.0,"0,1,2"
3,0.01712403100775194,0.01712403100775194,21.5,0.042,0.007751937984496124,0.005996391689109375,0.7493279682914015,"[121, 13, 167, 169, 203, 209, 229, 235, 248, 277, 326, 330, 331, 368, 400, 453, 469, 471, 53, 81]",0,7.166666666666667,1.0,"0,1,2"
4,0.01712403100775194,0.01712403100775194,21.5,0.042,0.007751937984496124,0.00803056141036307,0.7510170833954002,"[121, 13, 167, 169, 203, 209, 229, 235, 248, 277, 326, 330, 331, 368, 400, 453, 469, 471, 53, 81]",0,7.166666666666667,1.0,"0,1,2"
5,0.01712403100775194,0.01712403100775194,21.5,0.042,0.007751937984496124,0.009722943954454647,0.7361267744952585,"[121, 13, 167, 169, 203, 209, 229, 235, 248, 277, 326, 330, 331, 368, 400, 453, 469, 471, 53, 81]",0,7.166666666666667,1.0,"0,1,2"
6,0.01712403100775194,0.01712403100775194,21.5,0.042,0.007751937984496124,0.010489232427843656,0.7433421466838926,"[121, 13, 167, 169, 203, 209, 229, 235, 248, 277, 326, 330, 331, 368, 400, 453, 469, 471, 53, 81]",0,7.166666666666667,1.0,"0,1,2"
7,0.01712403100775194,0.01712403100775194,21.5,0.042,0.007751937984496124,0.010713559027170255,0.7418919161280902,"[121, 13, 167, 169, 203, 209, 229, 235, 248, 277, 326, 330, 331, 368, 400, 453, 469, 471, 53, 81]",0,7.166666666666667,1.0,"0,1,2"
8,0.01712403100775194,0.01712403100775194,21.5,0.042,0.007751937984496124,0.011205477174442766,0.7558781271046235,"[121, 13, 167, 169, 203, 209, 229, 235, 248, 277, 326, 330, 331, 368, 400, 453, 469, 471, 53, 81]",0,7.166666666666667,1.0,"0,1,2"
9,0.01712403100775194,0.01712403100775194,21.5,0.042,0.007751937984496124,0.011663943041836206,0.7489212521125579,"[121, 13, 167, 169, 203, 209, 229, 235, 248, 277, 326, 330, 331, 368, 400, 453, 469, 471, 53, 81]",0,7.166666666666667,1.0,"0,1,2"
