generation,best_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set
0,-0.025433862433862434,4.2,0.007333333333333334,0.0582010582010582,-0.15507046470612362,0.8787878787878789,"[209, 269, 370, 465]"
1,-0.024277777777777773,4.2,0.007,0.055555555555555546,-0.14221803966203192,0.8761904761904763,"[209, 248, 370, 465]"
2,-0.0182222222222222,4.5,0.008,0.0444444444444444,-0.11802351890501116,0.8696969696969697,"[292, 327, 465, 9]"
3,-0.01474586288416075,4.7,0.008333333333333333,0.03782505910165483,-0.05581219323944017,0.8189033189033189,"[248, 264, 327, 439]"
4,-0.01474586288416075,4.7,0.008333333333333333,0.03782505910165483,-0.02066470357643563,0.7857142857142858,"[248, 264, 327, 439]"
5,-0.01474586288416075,4.7,0.008333333333333333,0.03782505910165483,-0.020149440686657052,0.7795093795093795,"[248, 264, 327, 439]"
6,-0.01474586288416075,4.7,0.008333333333333333,0.03782505910165483,-0.01933226274402639,0.787878787878788,"[248, 264, 327, 439]"
7,-0.01474586288416075,4.7,0.008333333333333333,0.03782505910165483,-0.01918533852095274,0.7741702741702743,"[248, 264, 327, 439]"
8,-0.01474586288416075,4.7,0.008333333333333333,0.03782505910165483,-0.018783982966936157,0.7507936507936509,"[248, 264, 327, 439]"
9,-0.01474586288416075,4.7,0.008333333333333333,0.03782505910165483,-0.018783982966936157,0.7507936507936509,"[248, 264, 327, 439]"
