generation,best_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set
0,-0.020871212121212127,4.4,0.0075,0.049242424242424254,-0.1394532925668238,0.8974025974025975,"[209, 331, 477, 65]"
1,-0.020871212121212127,4.4,0.0075,0.049242424242424254,-0.12198530393623302,0.8533910533910536,"[209, 331, 477, 65]"
2,-0.020871212121212127,4.4,0.0075,0.049242424242424254,-0.09919771223825487,0.8421356421356422,"[209, 331, 477, 65]"
3,-0.01878019323671494,4.6,0.008333333333333333,0.04589371980676321,-0.0762806101199337,0.8170274170274171,"[121, 292, 370, 477]"
4,-0.01878019323671494,4.6,0.008333333333333333,0.04589371980676321,-0.044350490614379984,0.746897546897547,"[121, 292, 370, 477]"
5,-0.01614652014652015,4.55,0.008,0.0402930402930403,-0.023244878346946014,0.6926406926406926,"[209, 331, 477, 9]"
6,-0.01614652014652015,4.55,0.008,0.0402930402930403,-0.021198710360838844,0.7398268398268399,"[209, 331, 477, 9]"
7,-0.015549707602339194,4.75,0.008666666666666666,0.03976608187134505,-0.019877111732478452,0.7173160173160174,"[251, 292, 370, 477]"
8,-0.015549707602339194,4.75,0.008666666666666666,0.03976608187134505,-0.018849744728381065,0.751948051948052,"[251, 292, 370, 477]"
9,-0.015549707602339194,4.75,0.008666666666666666,0.03976608187134505,-0.018849744728381065,0.751948051948052,"[251, 292, 370, 477]"
