generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,-0.015549707602339194,-0.015549707602339194,4.75,0.008666666666666666,0.03976608187134505,-0.022729347080383017,0.8611832611832613,"[203, 291, 330, 445]",0,1.5833333333333333,1.0,"1,0,2"
1,-0.015549707602339194,-0.015549707602339194,4.75,0.008666666666666666,0.03976608187134505,-0.020825244193297694,0.8844155844155845,"[203, 291, 330, 445]",0,1.5833333333333333,1.0,"1,0,2"
2,-0.014636473429951665,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.0177136592801134,0.8767676767676768,"[203, 212, 403, 436]",0,1.5333333333333332,1.0,"1,0,2"
3,-0.013293859649122823,-0.013293859649122823,4.75,0.008499999999999999,0.03508771929824565,-0.01695177876087578,0.8666666666666667,"[203, 292, 342, 430]",0,1.5833333333333333,1.0,"1,0,2"
4,-0.01187037037037036,-0.01187037037037036,4.8,0.008666666666666666,0.032407407407407385,-0.016021997069280192,0.8796536796536796,"[292, 342, 445, 56]",0,1.6000000000000003,1.0,"1,0,2"
5,-0.01187037037037036,-0.01187037037037036,4.8,0.008666666666666666,0.032407407407407385,-0.015981739420326893,0.8890331890331891,"[292, 342, 445, 56]",0,1.6000000000000003,1.0,"1,0,2"
6,-0.01187037037037036,-0.01187037037037036,4.8,0.008666666666666666,0.032407407407407385,-0.015981739420326893,0.8919191919191919,"[292, 342, 445, 56]",0,1.6000000000000003,1.0,"1,0,2"
7,-0.01187037037037036,-0.01187037037037036,4.8,0.008666666666666666,0.032407407407407385,-0.015981739420326893,0.8919191919191919,"[292, 342, 445, 56]",0,1.6000000000000003,1.0,"1,0,2"
8,-0.01187037037037036,-0.01187037037037036,4.8,0.008666666666666666,0.032407407407407385,-0.015808764247351722,0.8940836940836941,"[292, 342, 445, 56]",0,1.6000000000000003,1.0,"1,0,2"
9,-0.01187037037037036,-0.01187037037037036,4.8,0.008666666666666666,0.032407407407407385,-0.01566557716524981,0.8919191919191919,"[292, 342, 445, 56]",0,1.6000000000000003,1.0,"1,0,2"
