generation,best_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set
0,-0.01614652014652015,4.55,0.008,0.0402930402930403,-0.03826514436677326,0.8963924963924964,"[134, 203, 327, 434]"
1,-0.014847222222222227,4.8,0.008499999999999999,0.038194444444444454,-0.019189226458868586,0.8906204906204908,"[203, 327, 430, 9]"
2,-0.014847222222222227,4.8,0.008499999999999999,0.038194444444444454,-0.01834870303059447,0.8884559884559885,"[203, 327, 430, 9]"
3,-0.014847222222222227,4.8,0.008499999999999999,0.038194444444444454,-0.017779840699956768,0.868975468975469,"[203, 327, 430, 9]"
4,-0.014847222222222227,4.8,0.008499999999999999,0.038194444444444454,-0.017668859634621767,0.8646464646464648,"[203, 327, 430, 9]"
5,-0.014847222222222227,4.8,0.008499999999999999,0.038194444444444454,-0.017311419440441678,0.8588744588744589,"[203, 327, 430, 9]"
6,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.016943834639652103,0.8642135642135643,"[251, 331, 434, 73]"
7,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.01672436188213587,0.8656565656565657,"[251, 331, 434, 73]"
8,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.016047895886376406,0.8460317460317461,"[251, 331, 434, 73]"
9,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.016023629344553685,0.8412698412698413,"[251, 331, 434, 73]"
