generation,best_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set
0,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.061521768721908766,0.9000000000000001,"[292, 331, 434, 51]"
1,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.019733123168716036,0.8753246753246754,"[292, 331, 434, 51]"
2,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.018850748969416253,0.8704184704184704,"[292, 331, 434, 51]"
3,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.017951476574253725,0.8718614718614719,"[292, 331, 434, 51]"
4,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.01732870879434286,0.855844155844156,"[292, 331, 434, 51]"
5,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.016852863088568,0.8082251082251082,"[292, 331, 434, 51]"
6,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.016852863088568,0.8082251082251082,"[292, 331, 434, 51]"
7,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.016578317231034836,0.8046176046176047,"[292, 331, 434, 51]"
8,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.01628203944583775,0.795959595959596,"[292, 331, 434, 51]"
9,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.01627729290636899,0.8051948051948052,"[292, 331, 434, 51]"
