generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,-0.015549707602339194,-0.015549707602339194,4.75,0.008666666666666666,0.03976608187134505,-0.022729347080383017,0.8611832611832613,"[203, 291, 330, 445]",0,1.5833333333333333,1.0,"1,0,2"
1,-0.015549707602339194,-0.015549707602339194,4.75,0.008666666666666666,0.03976608187134505,-0.021659969441421636,0.8865800865800867,"[203, 291, 330, 445]",0,1.5833333333333333,1.0,"1,0,2"
2,-0.015253546099290801,-0.015253546099290801,4.7,0.008499999999999999,0.0390070921985816,-0.01904642746381981,0.8770562770562771,"[292, 331, 435, 9]",0,1.5666666666666664,1.0,"1,0,2"
3,-0.015253546099290801,-0.015253546099290801,4.7,0.008499999999999999,0.0390070921985816,-0.018107960905064006,0.8468975468975469,"[292, 331, 435, 9]",0,1.5666666666666664,1.0,"1,0,2"
4,-0.015253546099290801,-0.015253546099290801,4.7,0.008499999999999999,0.0390070921985816,-0.017341114884523206,0.843001443001443,"[292, 331, 435, 9]",0,1.5666666666666664,1.0,"1,0,2"
5,-0.010651515151515151,-0.010651515151515151,4.95,0.009000000000000001,0.030303030303030304,-0.01664145022719725,0.8506493506493507,"[292, 330, 435, 65]",0,1.6500000000000001,1.0,"1,0,2"
6,-0.010651515151515151,-0.010651515151515151,4.95,0.009000000000000001,0.030303030303030304,-0.016622852252792645,0.847041847041847,"[292, 330, 435, 65]",0,1.6500000000000001,1.0,"1,0,2"
7,-0.010651515151515151,-0.010651515151515151,4.95,0.009000000000000001,0.030303030303030304,-0.016286658056746468,0.875901875901876,"[292, 330, 435, 65]",0,1.6500000000000001,1.0,"1,0,2"
8,-0.010651515151515151,-0.010651515151515151,4.95,0.009000000000000001,0.030303030303030304,-0.01608578327363484,0.89004329004329,"[292, 330, 435, 65]",0,1.6500000000000001,1.0,"1,0,2"
9,-0.010651515151515151,-0.010651515151515151,4.95,0.009000000000000001,0.030303030303030304,-0.015780952687554254,0.883982683982684,"[292, 330, 435, 65]",0,1.6500000000000001,1.0,"1,0,2"
