generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,-0.017688271604938254,-0.017688271604938254,4.5,0.007833333333333333,0.04320987654320984,-0.02230866637779846,0.8949494949494952,"[169, 203, 330, 428]",0,1.5,1.0,"1,0,2"
1,-0.017688271604938254,-0.017688271604938254,4.5,0.007833333333333333,0.04320987654320984,-0.021468543622406272,0.8874458874458876,"[169, 203, 330, 428]",0,1.5,1.0,"1,0,2"
2,-0.017688271604938254,-0.017688271604938254,4.5,0.007833333333333333,0.04320987654320984,-0.019678407900741015,0.8060606060606061,"[169, 203, 330, 428]",0,1.5,1.0,"1,0,2"
3,-0.012192726231386009,-0.012192726231386009,4.85,0.008833333333333334,0.03321878579610535,-0.017831581393119033,0.8494949494949496,"[203, 391, 469, 9]",0,1.6166666666666665,1.0,"1,0,2"
4,-0.012192726231386009,-0.012192726231386009,4.85,0.008833333333333334,0.03321878579610535,-0.017577967488806023,0.8502164502164502,"[203, 391, 469, 9]",0,1.6166666666666665,1.0,"1,0,2"
5,-0.012192726231386009,-0.012192726231386009,4.85,0.008833333333333334,0.03321878579610535,-0.01686742632978642,0.8284271284271285,"[203, 391, 469, 9]",0,1.6166666666666665,1.0,"1,0,2"
6,-0.012192726231386009,-0.012192726231386009,4.85,0.008833333333333334,0.03321878579610535,-0.01686742632978642,0.8284271284271285,"[203, 391, 469, 9]",0,1.6166666666666665,1.0,"1,0,2"
7,-0.012192726231386009,-0.012192726231386009,4.85,0.008833333333333334,0.03321878579610535,-0.016670870570730665,0.8399711399711399,"[203, 391, 469, 9]",0,1.6166666666666665,1.0,"1,0,2"
8,-0.012192726231386009,-0.012192726231386009,4.85,0.008833333333333334,0.03321878579610535,-0.016653969933534334,0.8617604617604617,"[203, 391, 469, 9]",0,1.6166666666666665,1.0,"1,0,2"
9,-0.012192726231386009,-0.012192726231386009,4.85,0.008833333333333334,0.03321878579610535,-0.016653969933534334,0.8617604617604617,"[203, 391, 469, 9]",0,1.6166666666666665,1.0,"1,0,2"
