generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,-0.015253546099290801,-0.015253546099290801,4.7,0.008499999999999999,0.0390070921985816,-0.022506223945294782,0.8633477633477633,"[269, 331, 435, 9]",0,1.5666666666666664,1.0,"1,0,2"
1,-0.015253546099290801,-0.015253546099290801,4.7,0.008499999999999999,0.0390070921985816,-0.01918463513131451,0.8796536796536797,"[269, 331, 435, 9]",0,1.5666666666666664,1.0,"1,0,2"
2,-0.015253546099290801,-0.015253546099290801,4.7,0.008499999999999999,0.0390070921985816,-0.018900269672665903,0.8753246753246753,"[269, 331, 435, 9]",0,1.5666666666666664,1.0,"1,0,2"
3,-0.015253546099290801,-0.015253546099290801,4.7,0.008499999999999999,0.0390070921985816,-0.017679029203710894,0.866955266955267,"[292, 331, 435, 9]",0,1.5666666666666664,1.0,"1,0,2"
4,-0.015253546099290801,-0.015253546099290801,4.7,0.008499999999999999,0.0390070921985816,-0.017302149085850208,0.9017316017316018,"[292, 331, 435, 9]",0,1.5666666666666664,1.0,"1,0,2"
5,-0.015253546099290801,-0.015253546099290801,4.7,0.008499999999999999,0.0390070921985816,-0.017255651501309147,0.8981240981240982,"[292, 331, 435, 9]",0,1.5666666666666664,1.0,"1,0,2"
6,-0.015253546099290801,-0.015253546099290801,4.7,0.008499999999999999,0.0390070921985816,-0.017255651501309147,0.8981240981240982,"[292, 331, 435, 9]",0,1.5666666666666664,1.0,"1,0,2"
7,-0.014636473429951665,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.01673005344563695,0.8949494949494949,"[178, 264, 331, 444]",0,1.5333333333333332,1.0,"1,0,2"
8,-0.014636473429951665,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.016531167399457095,0.8978354978354979,"[178, 264, 331, 444]",0,1.5333333333333332,1.0,"1,0,2"
9,-0.014636473429951665,-0.014636473429951665,4.6,0.008166666666666668,0.03743961352657,-0.01634129158928559,0.9036075036075036,"[178, 264, 331, 444]",0,1.5333333333333332,1.0,"1,0,2"
