generation,best_score,best_f_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,-0.01494922341696538,-0.01494922341696538,4.65,0.008333333333333333,0.03823178016726409,-0.02734772443494785,0.9516594516594515,"[235, 248, 403, 439]",0,1.55,1.0,"1,0,2"
1,-0.01494922341696538,-0.01494922341696538,4.65,0.008333333333333333,0.03823178016726409,-0.019501086692495104,0.9418470418470418,"[235, 248, 403, 439]",0,1.55,1.0,"1,0,2"
2,-0.01494922341696538,-0.01494922341696538,4.65,0.008333333333333333,0.03823178016726409,-0.018664728724596975,0.9382395382395382,"[235, 248, 403, 439]",0,1.55,1.0,"1,0,2"
3,-0.01494922341696538,-0.01494922341696538,4.65,0.008333333333333333,0.03823178016726409,-0.01834900146318103,0.9382395382395382,"[235, 248, 403, 439]",0,1.55,1.0,"1,0,2"
4,-0.01494922341696538,-0.01494922341696538,4.65,0.008333333333333333,0.03823178016726409,-0.01708218932589192,0.9487734487734488,"[235, 248, 403, 439]",0,1.55,1.0,"1,0,2"
5,-0.01494922341696538,-0.01494922341696538,4.65,0.008333333333333333,0.03823178016726409,-0.016973497438754138,0.9408369408369409,"[235, 248, 403, 439]",0,1.55,1.0,"1,0,2"
6,-0.01494922341696538,-0.01494922341696538,4.65,0.008333333333333333,0.03823178016726409,-0.016823343983522383,0.935064935064935,"[235, 248, 403, 439]",0,1.55,1.0,"1,0,2"
7,-0.01474586288416075,-0.01474586288416075,4.7,0.008333333333333333,0.03782505910165483,-0.01646526653860389,0.9274170274170274,"[251, 330, 434, 9]",0,1.5666666666666667,1.0,"1,0,2"
8,-0.01474586288416075,-0.01474586288416075,4.7,0.008333333333333333,0.03782505910165483,-0.01646526653860389,0.9274170274170274,"[251, 330, 434, 9]",0,1.5666666666666667,1.0,"1,0,2"
9,-0.01474586288416075,-0.01474586288416075,4.7,0.008333333333333333,0.03782505910165483,-0.01646526653860389,0.9274170274170274,"[251, 330, 434, 9]",0,1.5666666666666667,1.0,"1,0,2"
