node_id,protected_group,community_id,degree,normalized_degree,pagerank,clustering_coefficient,k_core_number,community_size,community_id_encoded,neighbor_degree_mean,neighbor_degree_max,ris_coverage_proxy
0,other,0,0.04,0.04,0.107894145,0.0,0.33333334,0.4047619,0.0,0.09677419,0.041666668,0.33333334
1,black,0,0.08,0.08,0.18907091,0.0,0.33333334,0.4047619,0.0,0.09677419,0.16666667,0.22222222
10,white,0,0.04,0.04,0.07317685,0.0,0.33333334,0.4047619,0.0,0.22580644,0.16666667,0.8888889
100,latino,1,0.12,0.12,0.17315702,0.33333334,0.6666667,0.78571427,0.055555556,0.30645162,0.375,0.11111111
101,white,2,0.2,0.2,0.21902904,0.4,0.6666667,0.8095238,0.11111111,0.22580644,0.20833333,0.11111111
102,other,3,0.2,0.2,0.25743905,0.13333334,0.6666667,0.64285713,0.16666667,0.34408602,0.625,0.22222222
103,white,4,0.04,0.04,0.05565195,1.0,0.33333334,0.52380955,0.22222222,0.32258064,0.375,0.22222222
104,white,5,0.32,0.32,0.3373187,0.2777778,1.0,0.3809524,0.2777778,0.31182796,0.625,0.11111111
105,other,3,0.04,0.04,0.04803283,0.0,0.33333334,0.64285713,0.16666667,0.32258064,0.20833333,0.22222222
106,latino,2,0.04,0.04,0.06750323,1.0,0.33333334,0.8095238,0.11111111,0.16129032,0.125,0.11111111
107,black,4,0.12,0.12,0.13447908,0.6666667,0.6666667,0.52380955,0.22222222,0.22580644,0.25,0.33333334
108,white,1,0.08,0.08,0.1341857,0.6666667,0.33333334,0.78571427,0.055555556,0.16129032,0.25,0.44444445
109,white,1,0.04,0.04,0.06398991,1.0,0.33333334,0.78571427,0.055555556,0.2580645,0.25,0.11111111
11,latino,0,0.04,0.04,0.057366718,1.0,0.33333334,0.4047619,0.0,0.58064514,0.5833333,0.11111111
110,white,5,0.16,0.16,0.1710577,0.6,1.0,0.3809524,0.2777778,0.32903227,0.29166666,0.0
111,white,2,0.16,0.16,0.17757843,0.7,0.6666667,0.8095238,0.11111111,0.2516129,0.20833333,0.44444445
112,black,4,0.2,0.2,0.23992957,0.2,0.6666667,0.52380955,0.22222222,0.34408602,0.375,0.33333334
113,latino,3,0.04,0.04,0.07277501,0.0,0.33333334,0.64285713,0.16666667,0.09677419,0.083333336,0.22222222
114,black,0,0.04,0.04,0.05875927,0.0,0.33333334,0.4047619,0.0,0.516129,0.5833333,0.44444445
115,white,6,0.08,0.08,0.10852969,1.0,0.6666667,0.16666667,0.33333334,0.22580644,0.29166666,0.33333334
116,latino,3,0.12,0.12,0.13903724,0.33333334,0.6666667,0.64285713,0.16666667,0.33870968,0.33333334,0.5555556
117,other,1,0.12,0.12,0.15340295,0.5,0.6666667,0.78571427,0.055555556,0.4032258,0.45833334,0.44444445
118,white,6,0.08,0.08,0.124061145,0.6666667,0.33333334,0.16666667,0.33333334,0.11827957,0.16666667,0.11111111
119,white,5,0.16,0.16,0.16025336,0.9,1.0,0.3809524,0.2777778,0.26451612,0.29166666,0.33333334
12,black,0,0.6,0.6,0.78818077,0.06666667,0.6666667,0.4047619,0.0,0.25403225,0.625,0.6666667
120,latino,3,0.04,0.04,0.057727404,1.0,0.33333334,0.64285713,0.16666667,0.2580645,0.25,0.44444445
121,latino,3,0.04,0.04,0.070085146,0.0,0.33333334,0.64285713,0.16666667,0.22580644,0.25,0.0
122,white,1,0.2,0.2,0.2930402,0.06666667,0.6666667,0.78571427,0.055555556,0.31182796,0.45833334,0.33333334
123,white,2,0.08,0.08,0.086072266,1.0,0.6666667,0.8095238,0.11111111,0.31182796,0.33333334,0.44444445
124,white,5,0.0,0.0,0.00065251015,0.0,0.0,0.3809524,0.2777778,1.0,0.625,0.22222222
125,white,7,0.12,0.12,0.13793999,0.5,0.6666667,0.5952381,0.3888889,0.3548387,0.625,0.11111111
126,white,7,0.12,0.12,0.16593315,0.33333334,0.33333334,0.5952381,0.3888889,0.20967741,0.20833333,0.33333334
127,black,1,0.2,0.2,0.25665888,0.06666667,0.6666667,0.78571427,0.055555556,0.31182796,0.45833334,0.11111111
128,latino,1,0.04,0.04,0.083080396,1.0,0.33333334,0.78571427,0.055555556,0.12903225,0.125,0.44444445
129,latino,3,0.12,0.12,0.13486612,0.33333334,0.6666667,0.64285713,0.16666667,0.32258064,0.33333334,0.33333334
