generation,best_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set
0,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.04189088376186816,0.7946608946608948,"[11350892, 16004411, 17850012, 2384071]"
1,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.02964225670936632,0.7453102453102454,"[11350892, 16004411, 17850012, 2384071]"
2,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.02797396212807575,0.7792207792207793,"[11350892, 16004411, 17850012, 2384071]"
3,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.026713113178439617,0.789033189033189,"[11350892, 16004411, 17850012, 2384071]"
4,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.025594532025443328,0.7660894660894662,"[11350892, 16004411, 17850012, 2384071]"
5,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.025594532025443328,0.7660894660894662,"[11350892, 16004411, 17850012, 2384071]"
6,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.02389407262441504,0.7454545454545455,"[11350892, 16004411, 17850012, 2384071]"
7,-0.002652752571082894,6.75,0.0017604355716878402,0.007065940713853628,-0.021086756851589502,0.7067821067821067,"[16918618, 19624059, 2384071, 8820652]"
8,-0.002652752571082894,6.75,0.0017604355716878402,0.007065940713853628,-0.020829285643972222,0.692063492063492,"[16918618, 19624059, 2384071, 8820652]"
9,-0.002652752571082894,6.75,0.0017604355716878402,0.007065940713853628,-0.02080238030683187,0.7064935064935066,"[16918618, 19624059, 2384071, 8820652]"
