generation,best_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set
0,-0.02561000201653559,8.1,0.0018148820326678765,0.053034886065739056,-0.038219116066931354,0.8262626262626264,"[16004411, 17850012, 18602421, 2384071]"
1,-0.020343617664851793,8.75,0.0020326678765880215,0.042719903206291605,-0.026201415970600165,0.711976911976912,"[11350892, 16004411, 17850012, 2384071]"
2,-0.019763007712191038,7.15,0.0016696914700544464,0.04119570689443652,-0.0247245150830581,0.7288600288600289,"[15076390, 2384071, 24599593, 42402725]"
3,-0.019763007712191038,7.15,0.0016696914700544464,0.04119570689443652,-0.023082998580238698,0.6920634920634922,"[15076390, 2384071, 24599593, 42402725]"
4,-0.019763007712191038,7.15,0.0016696914700544464,0.04119570689443652,-0.022202130555608216,0.7012987012987014,"[15076390, 2384071, 24599593, 42402725]"
5,-0.019763007712191038,7.15,0.0016696914700544464,0.04119570689443652,-0.021919233340185723,0.6955266955266955,"[15076390, 2384071, 24599593, 42402725]"
6,-0.019763007712191038,7.15,0.0016696914700544464,0.04119570689443652,-0.021919233340185723,0.6955266955266955,"[15076390, 2384071, 24599593, 42402725]"
7,-0.019763007712191038,7.15,0.0016696914700544464,0.04119570689443652,-0.02160334639353469,0.7197691197691198,"[15076390, 2384071, 24599593, 42402725]"
8,-0.019763007712191038,7.15,0.0016696914700544464,0.04119570689443652,-0.021267817314734917,0.7082251082251083,"[15076390, 2384071, 24599593, 42402725]"
9,-0.019763007712191038,7.15,0.0016696914700544464,0.04119570689443652,-0.021267817314734917,0.7082251082251083,"[15076390, 2384071, 24599593, 42402725]"
