community_id,community_size
0,430
1,54
2,386
3,163
4,24
5,204
6,96
7,2
8,3
9,143
10,67
11,220
12,106
13,222
14,138
15,168
16,38
17,89
18,136
19,86
20,46
21,4
22,341
23,80
24,102
25,2
26,55
27,3
28,72
29,2
30,2
31,3
32,4
33,2
34,5
35,2
36,3
37,2
38,2
39,2
40,2
41,2
42,2
43,2
44,55
45,2
46,6
47,2
48,6
49,2
50,2
51,6
52,2
53,3
54,2
55,2
56,2
57,2
58,2
59,2
60,4
61,3
62,2
63,2
64,3
65,2
66,2
67,3
68,3
69,2
70,2
71,2
72,2
73,2
74,4
75,2
76,2
77,4
78,2
79,3
80,2
81,2
82,4
83,3
84,3
85,2
86,2
87,2
88,2
89,2
90,2
91,2
92,2
93,2
94,3
95,2
96,2
97,2
98,2
99,3
100,5
101,2
102,2
103,2
104,9
105,2
106,2
107,2
108,2
109,2
110,2
111,3
112,2
113,2
114,2
