node_id,community_id,community_size
10007042,0,442
10046442,0,442
10074432,1,282
10077242,2,342
10093672,3,69
10104672,4,86
10107362,5,46
10125152,6,24
10125822,7,203
10130032,8,70
10138132,0,442
10144442,9,106
10166632,10,232
10214802,11,2
10241462,12,3
10241802,2,342
10263662,13,63
10270072,14,73
10270872,15,5
10284152,1,282
1032291,1,282
10326,2,342
10332972,16,19
10348132,17,69
10367842,1,282
10507892,18,229
10523552,6,24
10524,2,342
10545772,17,69
1058591,19,181
10599392,7,203
10609292,4,86
10618402,0,442
10638782,2,342
10645702,20,117
10651272,17,69
10659742,3,69
10701982,21,57
10717512,22,89
10722102,6,24
10728992,0,442
10732492,19,181
10750192,7,203
10768042,7,203
10790832,9,106
10804132,0,442
1081091,14,73
10821392,8,70
10836002,22,89
1086591,23,4
10936542,21,57
10969982,20,117
10996862,24,339
1100251,20,117
11039482,2,342
1106311,1,282
11069572,19,181
11071232,0,442
11120172,2,342
1112751,25,25
11130772,2,342
11138972,10,232
11142222,23,4
11162812,8,70
11206912,18,229
11221192,24,339
11231562,0,442
11264322,18,229
11288162,1,282
11332342,10,232
11347052,26,2
11350892,17,69
11358372,0,442
11360912,1,282
11364652,1,282
11376132,7,203
11379982,1,282
11395432,27,112
11402482,21,57
11425612,5,46
11442052,24,339
1147031,10,232
11541862,7,203
11550142,18,229
1160081,7,203
11606702,27,112
11620042,8,70
11625152,13,63
11626822,28,3
11650012,0,442
11672342,4,86
11702862,2,342
11724382,1,282
11726732,0,442
11763862,29,95
11767072,19,181
11769872,3,69
11770552,10,232
11786302,0,442
11792612,29,95
11819122,19,181
11842342,30,67
11918842,1,282
11920922,31,2
11926262,27,112
11944562,0,442
11963282,2,342
11981952,29,95
12018412,16,19
12037502,2,342
12062282,32,2
12080652,10,232
12081592,25,25
12114432,20,117
12115732,18,229
12118882,24,339
12149902,22,89
12163342,2,342
12168312,18,229
12174212,0,442
12217472,2,342
12222522,2,342
12227112,7,203
12230022,24,339
12264532,7,203
12286822,8,70
12287142,14,73
12301112,20,117
12327342,10,232
12334662,0,442
12369282,0,442
12377702,1,282
12389772,0,442
12429382,33,3
12448322,29,95
12455292,4,86
12464552,20,117
12470922,18,229
1249501,20,117
1253451,2,342
12618652,0,442
12623252,1,282
12650962,0,442
1265601,0,442
12681372,1,282
12695882,13,63
12706762,2,342
12715022,7,203
12739402,18,229
12740012,8,70
12741382,1,282
12771132,0,442
1277191,2,342
12783392,16,19
12787922,0,442
12790082,21,57
12793382,21,57
12803772,30,67
12818,29,95
12874212,7,203
1290661,34,2
12920142,35,38
12925,24,339
12952252,2,342
12964542,18,229
12966662,1,282
12967642,0,442
12973362,9,106
13008262,8,70
1304091,7,203
13043702,2,342
13051142,2,342
13116482,19,181
13118432,19,181
1315431,0,442
13159492,2,342
13170292,7,203
13211,30,67
13222222,19,181
13224342,13,63
13225072,27,112
13232092,10,232
13253832,2,342
13253992,0,442
13258742,36,2
13264762,4,86
13285072,22,89
13291122,7,203
13302,7,203
1330691,37,3
13308842,2,342
13330612,25,25
13354182,18,229
13406742,2,342
13454462,13,63
13466982,7,203
13467242,7,203
13473142,2,342
13473852,2,342
13501922,2,342
13541632,24,339
13648652,3,69
13651452,2,342
13654112,0,442
13722332,10,232
13746182,1,282
13755792,2,342
13763362,17,69
13767032,22,89
13768662,0,442
13772282,2,342
13789152,2,342
13797692,2,342
13894222,0,442
13897532,7,203
13923382,24,339
13936882,38,36
13942322,29,95
13960822,2,342
13979662,24,339
14025482,2,342
14027132,24,339
14038472,3,69
14050355,19,181
14051473,20,117
14052933,18,229
14053148,39,2
14055022,9,106
14061925,4,86
14062948,2,342
14063351,27,112
14065315,2,342
14066623,9,106
14069593,10,232
14070736,17,69
14070830,0,442
14073382,19,181
14078385,6,24
14086918,2,342
14087968,2,342
14092350,9,106
14092673,0,442
14095083,2,342
14097544,0,442
14098609,18,229
14099733,8,70
14100597,1,282
14102919,1,282
14103852,1,282
14108775,0,442
14109605,2,342
14110253,10,232
14110743,25,25
14111623,10,232
14115889,17,69
14116517,0,442
14120099,35,38
14125985,9,106
14126174,1,282
14126360,18,229
14129238,10,232
14133057,18,229
14133447,9,106
14133954,24,339
14135487,3,69
14138511,2,342
14139527,14,73
