rank,node
1,12429382
2,13008262
3,1330691
4,14073382
5,14188391
6,14763573
7,14818703
8,14866770
9,15005664
10,15013313
11,15082542
12,15113441
13,15220372
14,15225972
15,15324534
16,15338937
17,15339370
18,15823113
19,15861560
20,15872418
21,15893411
22,16117890
23,16170886
24,16236786
25,16338900
26,16505673
27,16636919
28,16830375
29,16855827
30,16933135
31,17022135
32,1708661
33,17350393
34,17398289
35,17416766
36,17864134
37,18132782
38,18156806
39,18262909
40,18263331
41,18606802
42,18608117
43,18826341
44,19187629
45,19451823
46,19609221
47,20150376
48,20370789
49,20650869
50,20745274
51,21165967
52,21250871
53,21463619
54,21819639
55,21890179
56,22078338
57,22443806
58,22570815
59,23428392
60,23622398
61,24119191
62,24241212
63,24599593
64,24661292
65,24731038
66,24936920
67,25172126
68,25477060
69,25850372
70,25916660
71,25967442
72,25982406
73,26344853
74,26513550
75,26565599
76,2677771
77,27684535
78,27817171
79,28575684
80,28697421
81,29089902
82,29171615
83,29388899
84,29468405
85,29777851
86,29888946
87,29893170
88,30412906
89,30736020
90,30919969
91,31953
92,32562445
93,32706038
94,33433404
95,33839778
96,34133492
97,34339684
98,34382438
99,345863
100,36874153
101,37891331
102,38420334
103,38637098
104,39161886
105,39729028
106,41479866
107,41688436
108,41796356
109,42390043
110,5597882
111,5762142
112,591313
113,6080842
114,6774272
115,6898072
116,7105292
117,7909882
118,8026012
119,8188252
120,876061
