generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,2.8048648732359664,0.1734843650287173,2.8048648732359664,156.7,0.35,0.0030312699425653405,2.77674654455676,0.30599368874573735,"[1009, 1048, 1049, 1159, 1175, 1198, 1228, 1235, 1237, 1267, 1291, 1315, 1335, 1448, 1494, 1595, 16, 1625, 1628, 1674, 1822, 1897, 20, 205, 220, 2216, 2317, 2333, 2411, 2727, 2787, 2806, 3010, 3030, 3259, 3300, 3348, 3364, 3374, 3449, 3623, 3634, 3782, 3818, 3825, 3838, 3854, 3872, 3939, 3994, 4171, 4209, 4257, 434, 4359, 4446, 4713, 4812, 4854, 4980, 4985, 5, 5020, 5082, 5107, 5135, 5234, 5306, 5338, 5351, 5370, 5513, 56, 5615, 5679, 569, 5730, 578, 5785, 5789, 5834, 586, 5879, 593, 6019, 605, 6096, 6097, 6109, 639, 677, 72, 737, 773, 813, 817, 822, 916, 947, 97]",16,124,0,167,0,78.35,1.0,"0,1"
1,2.811576993667703,0.174031746031746,2.811576993667703,157.5,0.3515,0.003436507936507942,2.7907733764566824,0.2783741035017465,"[1007, 1009, 1048, 1049, 1159, 1175, 1198, 1235, 1237, 1267, 1291, 1326, 1335, 1448, 1494, 1595, 16, 1625, 1628, 1674, 205, 2055, 2113, 2333, 2411, 2787, 2806, 2855, 2889, 2908, 3010, 3030, 3078, 3232, 3259, 3364, 3374, 3449, 3623, 3634, 3782, 3825, 3838, 3872, 3939, 3994, 4012, 4171, 4209, 4257, 434, 4359, 4363, 4446, 4676, 4713, 4812, 4854, 496, 4980, 4985, 4992, 5, 5020, 5037, 5107, 5135, 5234, 5306, 5338, 5345, 5351, 5370, 5414, 5474, 5513, 5528, 56, 5615, 569, 5730, 578, 5785, 5789, 5834, 586, 5879, 593, 6019, 6096, 6109, 72, 737, 773, 813, 817, 822, 938, 947, 97]",16,121,0,151,0,78.75,1.0,"0,1"
2,2.81632994447123,0.17490426591457003,2.81632994447123,155.7,0.3498550724637681,4.6540634628032287e-05,2.79689742268331,0.26685607137177053,"[1007, 1009, 1048, 1049, 1159, 1198, 1235, 1237, 1291, 1315, 1326, 1335, 1448, 1494, 1595, 16, 1625, 1628, 1674, 1897, 20, 205, 2055, 2089, 220, 2333, 2411, 2806, 2848, 3030, 3078, 3232, 3259, 3374, 3449, 3623, 3634, 3782, 3838, 3854, 3872, 3939, 3994, 4012, 4209, 4257, 4321, 434, 4359, 4363, 4446, 4604, 4676, 4713, 4812, 4854, 496, 4980, 4985, 4992, 5, 5020, 5037, 5107, 5135, 5234, 5306, 5338, 5345, 5351, 5370, 5414, 5474, 5513, 5528, 56, 5615, 569, 5730, 578, 5785, 5789, 5834, 586, 5879, 593, 6019, 6097, 6109, 616, 677, 72, 737, 773, 813, 817, 822, 938, 947, 97]",16,106,0,135,0,77.85,1.0,"1,0"
3,2.81632994447123,0.17490426591457003,2.81632994447123,155.7,0.3498550724637681,4.6540634628032287e-05,2.7973117008781383,0.2675268922890666,"[1007, 1009, 1048, 1049, 1159, 1198, 1235, 1237, 1291, 1315, 1326, 1335, 1448, 1494, 1595, 16, 1625, 1628, 1674, 1897, 20, 205, 2055, 2089, 220, 2333, 2411, 2806, 2848, 3030, 3078, 3232, 3259, 3374, 3449, 3623, 3634, 3782, 3838, 3854, 3872, 3939, 3994, 4012, 4209, 4257, 4321, 434, 4359, 4363, 4446, 4604, 4676, 4713, 4812, 4854, 496, 4980, 4985, 4992, 5, 5020, 5037, 5107, 5135, 5234, 5306, 5338, 5345, 5351, 5370, 5414, 5474, 5513, 5528, 56, 5615, 569, 5730, 578, 5785, 5789, 5834, 586, 5879, 593, 6019, 6097, 6109, 616, 677, 72, 737, 773, 813, 817, 822, 938, 947, 97]",16,101,0,130,0,77.85,1.0,"1,0"
4,2.81632994447123,0.17490426591457003,2.81632994447123,155.7,0.3498550724637681,4.6540634628032287e-05,2.7980350501290268,0.27672191878534835,"[1007, 1009, 1048, 1049, 1159, 1198, 1235, 1237, 1291, 1315, 1326, 1335, 1448, 1494, 1595, 16, 1625, 1628, 1674, 1897, 20, 205, 2055, 2089, 220, 2333, 2411, 2806, 2848, 3030, 3078, 3232, 3259, 3374, 3449, 3623, 3634, 3782, 3838, 3854, 3872, 3939, 3994, 4012, 4209, 4257, 4321, 434, 4359, 4363, 4446, 4604, 4676, 4713, 4812, 4854, 496, 4980, 4985, 4992, 5, 5020, 5037, 5107, 5135, 5234, 5306, 5338, 5345, 5351, 5370, 5414, 5474, 5513, 5528, 56, 5615, 569, 5730, 578, 5785, 5789, 5834, 586, 5879, 593, 6019, 6097, 6109, 616, 677, 72, 737, 773, 813, 817, 822, 938, 947, 97]",16,90,0,119,0,77.85,1.0,"1,0"
5,2.81632994447123,0.17490426591457003,2.81632994447123,155.7,0.3498550724637681,4.6540634628032287e-05,2.8001730420582422,0.26430209485872225,"[1007, 1009, 1048, 1049, 1159, 1198, 1235, 1237, 1291, 1315, 1326, 1335, 1448, 1494, 1595, 16, 1625, 1628, 1674, 1897, 20, 205, 2055, 2089, 220, 2333, 2411, 2806, 2848, 3030, 3078, 3232, 3259, 3374, 3449, 3623, 3634, 3782, 3838, 3854, 3872, 3939, 3994, 4012, 4209, 4257, 4321, 434, 4359, 4363, 4446, 4604, 4676, 4713, 4812, 4854, 496, 4980, 4985, 4992, 5, 5020, 5037, 5107, 5135, 5234, 5306, 5338, 5345, 5351, 5370, 5414, 5474, 5513, 5528, 56, 5615, 569, 5730, 578, 5785, 5789, 5834, 586, 5879, 593, 6019, 6097, 6109, 616, 677, 72, 737, 773, 813, 817, 822, 938, 947, 97]",16,106,0,137,0,77.85,1.0,"1,0"
6,2.81632994447123,0.17490426591457003,2.81632994447123,155.7,0.3498550724637681,4.6540634628032287e-05,2.8017663318336448,0.2515599044050911,"[1007, 1009, 1048, 1049, 1159, 1198, 1235, 1237, 1291, 1315, 1326, 1335, 1448, 1494, 1595, 16, 1625, 1628, 1674, 1897, 20, 205, 2055, 2089, 220, 2333, 2411, 2806, 2848, 3030, 3078, 3232, 3259, 3374, 3449, 3623, 3634, 3782, 3838, 3854, 3872, 3939, 3994, 4012, 4209, 4257, 4321, 434, 4359, 4363, 4446, 4604, 4676, 4713, 4812, 4854, 496, 4980, 4985, 4992, 5, 5020, 5037, 5107, 5135, 5234, 5306, 5338, 5345, 5351, 5370, 5414, 5474, 5513, 5528, 56, 5615, 569, 5730, 578, 5785, 5789, 5834, 586, 5879, 593, 6019, 6097, 6109, 616, 677, 72, 737, 773, 813, 817, 822, 938, 947, 97]",16,92,0,119,0,77.85,1.0,"1,0"
7,2.81632994447123,0.17490426591457003,2.81632994447123,155.7,0.3498550724637681,4.6540634628032287e-05,2.8030868400212716,0.23914847596584304,"[1007, 1009, 1048, 1049, 1159, 1198, 1235, 1237, 1291, 1315, 1326, 1335, 1448, 1494, 1595, 16, 1625, 1628, 1674, 1897, 20, 205, 2055, 2089, 220, 2333, 2411, 2806, 2848, 3030, 3078, 3232, 3259, 3374, 3449, 3623, 3634, 3782, 3838, 3854, 3872, 3939, 3994, 4012, 4209, 4257, 4321, 434, 4359, 4363, 4446, 4604, 4676, 4713, 4812, 4854, 496, 4980, 4985, 4992, 5, 5020, 5037, 5107, 5135, 5234, 5306, 5338, 5345, 5351, 5370, 5414, 5474, 5513, 5528, 56, 5615, 569, 5730, 578, 5785, 5789, 5834, 586, 5879, 593, 6019, 6097, 6109, 616, 677, 72, 737, 773, 813, 817, 822, 938, 947, 97]",16,94,0,124,0,77.85,1.0,"1,0"
8,2.81632994447123,0.17490426591457003,2.81632994447123,155.7,0.3498550724637681,4.6540634628032287e-05,2.8042844766360417,0.23832755543843617,"[1007, 1009, 1048, 1049, 1159, 1198, 1235, 1237, 1291, 1315, 1326, 1335, 1448, 1494, 1595, 16, 1625, 1628, 1674, 1897, 20, 205, 2055, 2089, 220, 2333, 2411, 2806, 2848, 3030, 3078, 3232, 3259, 3374, 3449, 3623, 3634, 3782, 3838, 3854, 3872, 3939, 3994, 4012, 4209, 4257, 4321, 434, 4359, 4363, 4446, 4604, 4676, 4713, 4812, 4854, 496, 4980, 4985, 4992, 5, 5020, 5037, 5107, 5135, 5234, 5306, 5338, 5345, 5351, 5370, 5414, 5474, 5513, 5528, 56, 5615, 569, 5730, 578, 5785, 5789, 5834, 586, 5879, 593, 6019, 6097, 6109, 616, 677, 72, 737, 773, 813, 817, 822, 938, 947, 97]",16,118,0,149,0,77.85,1.0,"1,0"
9,2.8369650226444896,0.17701646611779612,2.8369650226444896,157.9,0.35450000000000004,0.0004670677644078265,2.807247970362912,0.2323648841314773,"[1009, 1048, 1049, 1159, 1198, 1235, 1237, 1267, 1291, 1315, 1326, 1335, 1448, 1494, 1595, 16, 1625, 1628, 1674, 1897, 205, 2055, 2089, 2113, 220, 2333, 2411, 2787, 2806, 2889, 3010, 3030, 3232, 3259, 3364, 3374, 3449, 3623, 3634, 3782, 3838, 3854, 3872, 3939, 3994, 4012, 4171, 4209, 4257, 4321, 434, 4359, 4363, 4446, 4676, 4713, 4812, 4854, 496, 4980, 4985, 4992, 5, 5020, 5037, 5107, 5135, 5234, 5306, 5338, 5345, 5351, 5370, 5414, 5474, 5513, 56, 5615, 569, 5730, 578, 5785, 5789, 5834, 586, 5879, 593, 6019, 6097, 6109, 616, 677, 72, 737, 813, 817, 822, 938, 947, 97]",16,87,0,116,0,78.95,1.0,"0,1"
