generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,0.42618614054004356,-0.09825039123630674,0.42618614054004356,106.5,0.09066666666666666,0.28716744913928016,0.4095708347868484,0.27635931340596426,"[100, 102, 104, 124, 128, 131, 139, 14, 141, 144, 145, 149, 15, 150, 159, 162, 163, 178, 179, 18, 180, 181, 182, 183, 185, 187, 196, 197, 2, 200, 203, 206, 21, 211, 213, 233, 234, 237, 238, 240, 244, 254, 260, 261, 269, 271, 272, 273, 274, 279, 28, 29, 291, 295, 296, 298, 301, 303, 308, 309, 313, 314, 315, 318, 321, 322, 323, 324, 332, 337, 339, 34, 340, 342, 348, 350, 352, 356, 362, 369, 379, 388, 39, 404, 405, 424, 463, 477, 482, 492, 50, 54, 63, 72, 78, 80, 86, 90, 94, 95]",16,140,0,185,0,53.25,1.0,"0,1"
1,0.43287503176464043,-0.09744117647058824,0.43287503176464043,106.25,0.091,0.2858823529411765,0.41770790391377166,0.2439114247355975,"[100, 102, 104, 123, 124, 128, 130, 131, 139, 141, 145, 149, 15, 150, 155, 159, 163, 176, 178, 179, 18, 180, 181, 182, 185, 19, 196, 197, 2, 200, 206, 21, 211, 213, 23, 232, 233, 237, 238, 240, 244, 254, 260, 261, 269, 271, 274, 278, 279, 29, 291, 295, 298, 301, 308, 309, 313, 314, 315, 318, 32, 321, 322, 323, 324, 332, 336, 337, 339, 34, 340, 342, 348, 352, 356, 362, 369, 379, 388, 39, 404, 405, 424, 463, 477, 482, 492, 50, 54, 57, 63, 67, 72, 73, 78, 80, 86, 90, 94, 95]",16,97,0,127,0,53.125,1.0,"0,1"
2,0.4515060239470025,-0.09530802382071776,0.4515060239470025,106.35,0.09233333333333334,0.28294938097476885,0.4212931646809157,0.2180856722159912,"[100, 102, 104, 123, 124, 128, 131, 139, 14, 141, 145, 15, 150, 155, 162, 163, 176, 178, 179, 18, 180, 181, 182, 183, 185, 187, 19, 196, 197, 2, 203, 206, 21, 211, 213, 224, 233, 234, 237, 238, 244, 254, 260, 261, 269, 271, 273, 274, 279, 29, 291, 295, 298, 301, 303, 308, 309, 313, 314, 315, 318, 32, 321, 322, 323, 324, 332, 336, 339, 34, 340, 341, 342, 343, 348, 352, 356, 362, 369, 379, 388, 39, 404, 405, 424, 463, 477, 482, 492, 50, 54, 67, 72, 78, 80, 86, 90, 91, 94, 95]",16,79,0,108,0,53.175,1.0,"0,1"
3,0.4515060239470025,-0.09530802382071776,0.4515060239470025,106.35,0.09233333333333334,0.28294938097476885,0.4222488747165412,0.2175066764264569,"[100, 102, 104, 123, 124, 128, 131, 139, 14, 141, 145, 15, 150, 155, 162, 163, 176, 178, 179, 18, 180, 181, 182, 183, 185, 187, 19, 196, 197, 2, 203, 206, 21, 211, 213, 224, 233, 234, 237, 238, 244, 254, 260, 261, 269, 271, 273, 274, 279, 29, 291, 295, 298, 301, 303, 308, 309, 313, 314, 315, 318, 32, 321, 322, 323, 324, 332, 336, 339, 34, 340, 341, 342, 343, 348, 352, 356, 362, 369, 379, 388, 39, 404, 405, 424, 463, 477, 482, 492, 50, 54, 67, 72, 78, 80, 86, 90, 91, 94, 95]",16,90,0,120,0,53.175,1.0,"0,1"
4,0.4515060239470025,-0.09530802382071776,0.4515060239470025,106.35,0.09233333333333334,0.28294938097476885,0.4234521928187703,0.19891409658621828,"[100, 102, 104, 123, 124, 128, 131, 139, 14, 141, 145, 15, 150, 155, 162, 163, 176, 178, 179, 18, 180, 181, 182, 183, 185, 187, 19, 196, 197, 2, 203, 206, 21, 211, 213, 224, 233, 234, 237, 238, 244, 254, 260, 261, 269, 271, 273, 274, 279, 29, 291, 295, 298, 301, 303, 308, 309, 313, 314, 315, 318, 32, 321, 322, 323, 324, 332, 336, 339, 34, 340, 341, 342, 343, 348, 352, 356, 362, 369, 379, 388, 39, 404, 405, 424, 463, 477, 482, 492, 50, 54, 67, 72, 78, 80, 86, 90, 91, 94, 95]",16,95,0,125,0,53.175,1.0,"0,1"
5,0.4515060239470025,-0.09530802382071776,0.4515060239470025,106.35,0.09233333333333334,0.28294938097476885,0.42645159918279874,0.20283526838874089,"[100, 102, 104, 123, 124, 128, 131, 139, 14, 141, 145, 15, 150, 155, 162, 163, 176, 178, 179, 18, 180, 181, 182, 183, 185, 187, 19, 196, 197, 2, 203, 206, 21, 211, 213, 224, 233, 234, 237, 238, 244, 254, 260, 261, 269, 271, 273, 274, 279, 29, 291, 295, 298, 301, 303, 308, 309, 313, 314, 315, 318, 32, 321, 322, 323, 324, 332, 336, 339, 34, 340, 341, 342, 343, 348, 352, 356, 362, 369, 379, 388, 39, 404, 405, 424, 463, 477, 482, 492, 50, 54, 67, 72, 78, 80, 86, 90, 91, 94, 95]",16,81,0,107,0,53.175,1.0,"0,1"
6,0.4515060239470025,-0.09530802382071776,0.4515060239470025,106.35,0.09233333333333334,0.28294938097476885,0.42871155961753243,0.20824252585597852,"[100, 102, 104, 123, 124, 128, 131, 139, 14, 141, 145, 15, 150, 155, 162, 163, 176, 178, 179, 18, 180, 181, 182, 183, 185, 187, 19, 196, 197, 2, 203, 206, 21, 211, 213, 224, 233, 234, 237, 238, 244, 254, 260, 261, 269, 271, 273, 274, 279, 29, 291, 295, 298, 301, 303, 308, 309, 313, 314, 315, 318, 32, 321, 322, 323, 324, 332, 336, 339, 34, 340, 341, 342, 343, 348, 352, 356, 362, 369, 379, 388, 39, 404, 405, 424, 463, 477, 482, 492, 50, 54, 67, 72, 78, 80, 86, 90, 91, 94, 95]",16,93,0,123,0,53.175,1.0,"0,1"
7,0.4515060239470025,-0.09530802382071776,0.4515060239470025,106.35,0.09233333333333334,0.28294938097476885,0.431156426039161,0.2200154796850982,"[100, 102, 104, 123, 124, 128, 131, 139, 14, 141, 145, 15, 150, 155, 162, 163, 176, 178, 179, 18, 180, 181, 182, 183, 185, 187, 19, 196, 197, 2, 203, 206, 21, 211, 213, 224, 233, 234, 237, 238, 244, 254, 260, 261, 269, 271, 273, 274, 279, 29, 291, 295, 298, 301, 303, 308, 309, 313, 314, 315, 318, 32, 321, 322, 323, 324, 332, 336, 339, 34, 340, 341, 342, 343, 348, 352, 356, 362, 369, 379, 388, 39, 404, 405, 424, 463, 477, 482, 492, 50, 54, 67, 72, 78, 80, 86, 90, 91, 94, 95]",16,84,0,115,0,53.175,1.0,"0,1"
8,0.4515060239470025,-0.09530802382071776,0.4515060239470025,106.35,0.09233333333333334,0.28294938097476885,0.431156426039161,0.2200154796850982,"[100, 102, 104, 123, 124, 128, 131, 139, 14, 141, 145, 15, 150, 155, 162, 163, 176, 178, 179, 18, 180, 181, 182, 183, 185, 187, 19, 196, 197, 2, 203, 206, 21, 211, 213, 224, 233, 234, 237, 238, 244, 254, 260, 261, 269, 271, 273, 274, 279, 29, 291, 295, 298, 301, 303, 308, 309, 313, 314, 315, 318, 32, 321, 322, 323, 324, 332, 336, 339, 34, 340, 341, 342, 343, 348, 352, 356, 362, 369, 379, 388, 39, 404, 405, 424, 463, 477, 482, 492, 50, 54, 67, 72, 78, 80, 86, 90, 91, 94, 95]",16,95,0,125,0,53.175,1.0,"0,1"
9,0.4526765943367936,-0.0950916230366492,0.4526765943367936,105.05,0.09166666666666666,0.28184991273996507,0.4334818834248753,0.21950831507514731,"[100, 102, 123, 124, 128, 131, 139, 141, 149, 155, 162, 163, 176, 178, 179, 18, 180, 181, 182, 183, 185, 187, 19, 196, 197, 200, 203, 206, 21, 211, 213, 224, 233, 234, 237, 238, 240, 244, 254, 260, 261, 270, 271, 272, 273, 274, 29, 291, 295, 296, 298, 301, 303, 308, 313, 314, 315, 318, 32, 321, 322, 324, 330, 332, 336, 337, 339, 34, 340, 341, 342, 348, 352, 356, 362, 369, 379, 388, 39, 404, 405, 42, 424, 463, 477, 482, 492, 50, 53, 54, 63, 67, 72, 73, 78, 80, 86, 90, 91, 94]",16,93,0,125,0,52.525,1.0,"0,1"
