generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,1.3357201409470814,0.0028345139748866145,1.3357201409470814,111.35,0.02809437386569873,0.0224253459159255,1.2508258577385631,0.361647459304188,"[10046442, 10104672, 10284152, 11231562, 11541862, 12327342, 1315431, 14061925, 14111623, 14155739, 14204887, 14265113, 14269768, 14307465, 14333927, 14350969, 14390067, 14506615, 14778372, 15011971, 15076390, 15093092, 15112648, 15145142, 15422070, 15978412, 16054649, 16236786, 16394063, 16403341, 16575742, 16645520, 16730276, 16796298, 16918618, 16945563, 17150049, 17173775, 17173819, 17340590, 17357985, 17515749, 17537187, 18033114, 18120477, 18166634, 18211716, 18301693, 18882655, 19202226, 19298258, 19315174, 19401409, 19686924, 19860841, 20570095, 20693960, 20708884, 20726522, 20734423, 20745227, 21266715, 21395752, 21463619, 21653078, 22299209, 22461427, 2384071, 23885448, 24987071, 25671752, 25681991, 25684080, 25841161, 26061739, 26565599, 27486099, 27667262, 29103015, 29613217, 31015297, 31237866, 32534283, 3675691, 37568391, 37750797, 38843284, 39001941, 39080527, 42149443, 43666495, 5699042, 6093352, 717853, 7536882, 797531, 799192, 8521542, 8971572, 9266012]",16,184,0,230,0,37.11666666666667,1.0,"1,0,2"
1,1.358262349384461,0.004530575304864736,1.358262349384461,112.95,0.02856624319419238,0.019505092584462907,1.3122811138173633,0.3675073862681221,"[10046442, 10104672, 10284152, 11541862, 12327342, 1315431, 14062948, 14111623, 14155739, 14204887, 14265113, 14269768, 14333927, 14390067, 14599976, 14767753, 14778372, 15011971, 15093092, 15112648, 15145142, 15225972, 15422070, 15730606, 16054649, 16236786, 16394063, 16403341, 16575742, 16730276, 16796298, 16918618, 16945563, 17150049, 17173775, 17173819, 17357985, 17498138, 17537187, 17542666, 17850012, 18033114, 18166634, 18211716, 18882655, 19298258, 19401409, 19564125, 19686924, 19860841, 20570095, 20693960, 20708884, 20726522, 20734423, 20745227, 21266715, 21463619, 21491565, 22217321, 22299209, 22461427, 2384071, 23885448, 24920619, 24987071, 25671752, 25681991, 25684080, 25841161, 26061739, 26565599, 27109599, 27486099, 27667262, 29103015, 30412906, 31015297, 31237866, 32534283, 37529061, 37568391, 37750797, 38843284, 39001941, 39080527, 41401451, 42149443, 43666495, 5699042, 5771302, 6093352, 717853, 7536882, 797531, 799192, 8053532, 8521542, 8971572, 9266012]",16,170,0,200,0,37.65,1.0,"1,0,2"
2,1.3621204441175894,0.004831856551139619,1.3621204441175894,113.55,0.02867513611615245,0.01901142301387321,1.3248962863565341,0.3702541777616796,"[10046442, 10104672, 11231562, 11541862, 12327342, 1315431, 14061925, 14111623, 14155739, 14204887, 14269768, 14307465, 14315043, 14333927, 14350969, 14390067, 14506615, 14778372, 15011971, 15070780, 15076390, 15093092, 15112648, 15145142, 15802312, 16054649, 16236786, 16394063, 16403341, 16575742, 16645520, 16730276, 16796298, 16918618, 16945563, 17150049, 17173775, 17173819, 17340590, 17357985, 17515749, 17537187, 17850012, 18033114, 18120477, 18211716, 18882655, 19202226, 19298258, 19315174, 19401409, 19686924, 19860841, 20570095, 20693960, 20708884, 20726522, 20734423, 20745227, 21248230, 21266715, 21395752, 21653078, 22217321, 22299209, 22461427, 2384071, 23885448, 24987071, 25671752, 25681991, 25684080, 25841161, 26061739, 26565599, 27486099, 27667262, 29103015, 29613217, 31015297, 31237866, 32534283, 3675691, 37568391, 37750797, 38843284, 39001941, 39080527, 42149443, 43666495, 5699042, 6093352, 717853, 7536882, 797531, 799192, 8414602, 8521542, 8971572, 9266012]",16,164,0,196,0,37.85,1.0,"1,0,2"
3,1.3722918483754853,0.0055799469610419185,1.3722918483754853,113.9,0.028747731397459165,0.017587837475375328,1.3328440976363298,0.3479481035814589,"[10046442, 10284152, 11231562, 11541862, 12327342, 1315431, 13501922, 14061925, 14111623, 14155739, 14204887, 14265113, 14307465, 14333927, 14350969, 14390067, 14599976, 14778372, 15076390, 15093092, 15112648, 15130854, 15145142, 15422070, 16054649, 16236786, 16394063, 16403341, 16575742, 16645520, 16730276, 16796298, 16918618, 16945563, 17150049, 17173775, 17173819, 17340590, 17357985, 17498138, 17515749, 17537187, 17542666, 17850012, 18033114, 18166634, 18211716, 18301693, 18882655, 19202226, 19298258, 19315174, 19401409, 19686924, 20693960, 20708884, 20726522, 20734423, 20745227, 21266715, 21463619, 21653078, 22299209, 22461427, 2384071, 23845287, 23885448, 24987071, 25671752, 25681991, 25684080, 25841161, 26061739, 26565599, 27486099, 27667262, 29103015, 29613217, 30412906, 31015297, 31237866, 32534283, 3675691, 37568391, 37750797, 38843284, 39001941, 39080527, 42149443, 43666495, 5699042, 5771302, 6093352, 717853, 7536882, 797531, 799192, 8521542, 8971572, 9266012]",16,155,0,185,0,37.96666666666667,1.0,"1,0,2"
4,1.4238686359949055,0.009337864079760071,1.4238686359949055,112.4,0.029019963702359347,0.010344235542839203,1.3478125191507155,0.3376119688902026,"[10046442, 10104672, 10284152, 11231562, 11541862, 12327342, 1315431, 13501922, 14061925, 14062948, 14111623, 14155739, 14204887, 14265113, 14269768, 14294948, 14307465, 14390067, 14460783, 14599976, 14767753, 14778372, 15011971, 15076390, 15112648, 15145142, 15422070, 15730606, 16054649, 16227947, 16236786, 16575742, 16645520, 16730276, 16796298, 16855827, 16918618, 16945563, 17150049, 17173775, 17340590, 17357985, 17365848, 17498138, 17537187, 17850012, 18033114, 18166634, 18211716, 18301693, 19202226, 19320233, 19401409, 19860841, 20693960, 20708884, 20726522, 20734423, 20745227, 21266715, 21463619, 21491565, 22217321, 22299209, 22461427, 2384071, 23885448, 24920619, 24987071, 25681991, 25684080, 25841161, 26061739, 26565599, 27109599, 27486099, 27667262, 29103015, 30412906, 31015297, 31237866, 32534283, 37529061, 37568391, 37750797, 38843284, 39001941, 39080527, 40732805, 42149443, 43666495, 5699042, 717853, 7536882, 797531, 799192, 8053532, 8521542, 8971572, 9266012]",16,187,0,218,0,37.46666666666667,1.0,"1,0,2"
5,1.4238686359949055,0.009337864079760071,1.4238686359949055,112.4,0.029019963702359347,0.010344235542839203,1.3511960843776252,0.33146237981414906,"[10046442, 10104672, 10284152, 11231562, 11541862, 12327342, 1315431, 13501922, 14061925, 14062948, 14111623, 14155739, 14204887, 14265113, 14269768, 14294948, 14307465, 14390067, 14460783, 14599976, 14767753, 14778372, 15011971, 15076390, 15112648, 15145142, 15422070, 15730606, 16054649, 16227947, 16236786, 16575742, 16645520, 16730276, 16796298, 16855827, 16918618, 16945563, 17150049, 17173775, 17340590, 17357985, 17365848, 17498138, 17537187, 17850012, 18033114, 18166634, 18211716, 18301693, 19202226, 19320233, 19401409, 19860841, 20693960, 20708884, 20726522, 20734423, 20745227, 21266715, 21463619, 21491565, 22217321, 22299209, 22461427, 2384071, 23885448, 24920619, 24987071, 25681991, 25684080, 25841161, 26061739, 26565599, 27109599, 27486099, 27667262, 29103015, 30412906, 31015297, 31237866, 32534283, 37529061, 37568391, 37750797, 38843284, 39001941, 39080527, 40732805, 42149443, 43666495, 5699042, 717853, 7536882, 797531, 799192, 8053532, 8521542, 8971572, 9266012]",16,158,0,186,0,37.46666666666667,1.0,"1,0,2"
6,1.4238686359949055,0.009337864079760071,1.4238686359949055,112.4,0.029019963702359347,0.010344235542839203,1.3523469410793476,0.3233212077727142,"[10046442, 10104672, 10284152, 11231562, 11541862, 12327342, 1315431, 13501922, 14061925, 14062948, 14111623, 14155739, 14204887, 14265113, 14269768, 14294948, 14307465, 14390067, 14460783, 14599976, 14767753, 14778372, 15011971, 15076390, 15112648, 15145142, 15422070, 15730606, 16054649, 16227947, 16236786, 16575742, 16645520, 16730276, 16796298, 16855827, 16918618, 16945563, 17150049, 17173775, 17340590, 17357985, 17365848, 17498138, 17537187, 17850012, 18033114, 18166634, 18211716, 18301693, 19202226, 19320233, 19401409, 19860841, 20693960, 20708884, 20726522, 20734423, 20745227, 21266715, 21463619, 21491565, 22217321, 22299209, 22461427, 2384071, 23885448, 24920619, 24987071, 25681991, 25684080, 25841161, 26061739, 26565599, 27109599, 27486099, 27667262, 29103015, 30412906, 31015297, 31237866, 32534283, 37529061, 37568391, 37750797, 38843284, 39001941, 39080527, 40732805, 42149443, 43666495, 5699042, 717853, 7536882, 797531, 799192, 8053532, 8521542, 8971572, 9266012]",16,202,0,231,0,37.46666666666667,1.0,"1,0,2"
7,1.4238686359949055,0.009337864079760071,1.4238686359949055,112.4,0.029019963702359347,0.010344235542839203,1.354718839638782,0.3327626538730627,"[10046442, 10104672, 10284152, 11231562, 11541862, 12327342, 1315431, 13501922, 14061925, 14062948, 14111623, 14155739, 14204887, 14265113, 14269768, 14294948, 14307465, 14390067, 14460783, 14599976, 14767753, 14778372, 15011971, 15076390, 15112648, 15145142, 15422070, 15730606, 16054649, 16227947, 16236786, 16575742, 16645520, 16730276, 16796298, 16855827, 16918618, 16945563, 17150049, 17173775, 17340590, 17357985, 17365848, 17498138, 17537187, 17850012, 18033114, 18166634, 18211716, 18301693, 19202226, 19320233, 19401409, 19860841, 20693960, 20708884, 20726522, 20734423, 20745227, 21266715, 21463619, 21491565, 22217321, 22299209, 22461427, 2384071, 23885448, 24920619, 24987071, 25681991, 25684080, 25841161, 26061739, 26565599, 27109599, 27486099, 27667262, 29103015, 30412906, 31015297, 31237866, 32534283, 37529061, 37568391, 37750797, 38843284, 39001941, 39080527, 40732805, 42149443, 43666495, 5699042, 717853, 7536882, 797531, 799192, 8053532, 8521542, 8971572, 9266012]",16,144,0,174,0,37.46666666666667,1.0,"1,0,2"
8,1.4238686359949055,0.009337864079760071,1.4238686359949055,112.4,0.029019963702359347,0.010344235542839203,1.3685143985905581,0.3447958395449876,"[10046442, 10104672, 10284152, 11231562, 11541862, 12327342, 1315431, 13501922, 14061925, 14062948, 14111623, 14155739, 14204887, 14265113, 14269768, 14294948, 14307465, 14390067, 14460783, 14599976, 14767753, 14778372, 15011971, 15076390, 15112648, 15145142, 15422070, 15730606, 16054649, 16227947, 16236786, 16575742, 16645520, 16730276, 16796298, 16855827, 16918618, 16945563, 17150049, 17173775, 17340590, 17357985, 17365848, 17498138, 17537187, 17850012, 18033114, 18166634, 18211716, 18301693, 19202226, 19320233, 19401409, 19860841, 20693960, 20708884, 20726522, 20734423, 20745227, 21266715, 21463619, 21491565, 22217321, 22299209, 22461427, 2384071, 23885448, 24920619, 24987071, 25681991, 25684080, 25841161, 26061739, 26565599, 27109599, 27486099, 27667262, 29103015, 30412906, 31015297, 31237866, 32534283, 37529061, 37568391, 37750797, 38843284, 39001941, 39080527, 40732805, 42149443, 43666495, 5699042, 717853, 7536882, 797531, 799192, 8053532, 8521542, 8971572, 9266012]",16,182,0,211,0,37.46666666666667,1.0,"1,0,2"
9,1.4238686359949055,0.009337864079760071,1.4238686359949055,112.4,0.029019963702359347,0.010344235542839203,1.3772254516394362,0.36111975533107715,"[10046442, 10104672, 10284152, 11231562, 11541862, 12327342, 1315431, 13501922, 14061925, 14062948, 14111623, 14155739, 14204887, 14265113, 14269768, 14294948, 14307465, 14390067, 14460783, 14599976, 14767753, 14778372, 15011971, 15076390, 15112648, 15145142, 15422070, 15730606, 16054649, 16227947, 16236786, 16575742, 16645520, 16730276, 16796298, 16855827, 16918618, 16945563, 17150049, 17173775, 17340590, 17357985, 17365848, 17498138, 17537187, 17850012, 18033114, 18166634, 18211716, 18301693, 19202226, 19320233, 19401409, 19860841, 20693960, 20708884, 20726522, 20734423, 20745227, 21266715, 21463619, 21491565, 22217321, 22299209, 22461427, 2384071, 23885448, 24920619, 24987071, 25681991, 25684080, 25841161, 26061739, 26565599, 27109599, 27486099, 27667262, 29103015, 30412906, 31015297, 31237866, 32534283, 37529061, 37568391, 37750797, 38843284, 39001941, 39080527, 40732805, 42149443, 43666495, 5699042, 717853, 7536882, 797531, 799192, 8053532, 8521542, 8971572, 9266012]",16,161,0,192,0,37.46666666666667,1.0,"1,0,2"
