generation,best_score,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note
0,1.405082401384855,0.00799748035075478,1.405082401384855,113.65,0.029092558983666063,0.0130975982821565,1.2891769746308923,0.3434969542161857,"[10046442, 11231562, 11350892, 11541862, 12327342, 1315431, 14111623, 14155739, 14204887, 14269768, 14307465, 14333927, 14390067, 14519891, 14599976, 14858006, 14986396, 15011971, 15076390, 15112648, 15145142, 15422070, 15490016, 15730606, 15757811, 15953354, 15978412, 16054649, 16236786, 16403341, 16575742, 16645520, 16730276, 16796298, 16945563, 17150049, 17173775, 17173819, 17357985, 17515749, 17537187, 17850012, 18033114, 18120477, 18211716, 18301693, 18882655, 19202226, 19320233, 19401409, 19539658, 19564125, 19686924, 20693960, 20708884, 20724218, 20726522, 20734423, 20745227, 21248230, 21395752, 21463619, 21653078, 22299209, 22461427, 22951944, 2384071, 23885448, 24987071, 25681991, 25841161, 26061739, 26565599, 27486099, 27667262, 29103015, 29613217, 29698402, 30412906, 31237866, 32534283, 37750797, 38843284, 39080527, 40732805, 42149443, 43666495, 5699042, 6093352, 717853, 7536882, 780591, 797531, 799192, 8053532, 8414602, 8521542, 8820652, 8971572, 9266012]",16,182,0,227,0,37.88333333333333,1.0,"1,0,2"
1,1.405082401384855,0.00799748035075478,1.405082401384855,113.65,0.029092558983666063,0.0130975982821565,1.3529379888758992,0.3329445360681884,"[10046442, 11231562, 11350892, 11541862, 12327342, 1315431, 14111623, 14155739, 14204887, 14269768, 14307465, 14333927, 14390067, 14519891, 14599976, 14858006, 14986396, 15011971, 15076390, 15112648, 15145142, 15422070, 15490016, 15730606, 15757811, 15953354, 15978412, 16054649, 16236786, 16403341, 16575742, 16645520, 16730276, 16796298, 16945563, 17150049, 17173775, 17173819, 17357985, 17515749, 17537187, 17850012, 18033114, 18120477, 18211716, 18301693, 18882655, 19202226, 19320233, 19401409, 19539658, 19564125, 19686924, 20693960, 20708884, 20724218, 20726522, 20734423, 20745227, 21248230, 21395752, 21463619, 21653078, 22299209, 22461427, 22951944, 2384071, 23885448, 24987071, 25681991, 25841161, 26061739, 26565599, 27486099, 27667262, 29103015, 29613217, 29698402, 30412906, 31237866, 32534283, 37750797, 38843284, 39080527, 40732805, 42149443, 43666495, 5699042, 6093352, 717853, 7536882, 780591, 797531, 799192, 8053532, 8414602, 8521542, 8820652, 8971572, 9266012]",16,194,0,225,0,37.88333333333333,1.0,"1,0,2"
2,1.4340810186196693,0.010242695989466595,1.4340810186196693,114.75,0.02972776769509982,0.009242375716166628,1.370900555462088,0.3346962499178685,"[10046442, 11231562, 11350892, 11541862, 12327342, 1315431, 14062948, 14111623, 14155739, 14204887, 14307465, 14333927, 14390067, 14516061, 14519891, 14599976, 14986396, 15011971, 15076390, 15093092, 15112648, 15145142, 15225972, 15422070, 15490016, 15757811, 15953354, 15978412, 16054649, 16236786, 16394063, 16645520, 16796298, 16918618, 16945563, 17150049, 17173775, 17340590, 17357985, 17515749, 17537187, 17850012, 18033114, 18211716, 18301693, 18882655, 19202226, 19320233, 19401409, 19539658, 19564125, 19686924, 20693960, 20708884, 20724218, 20726522, 20734423, 20745227, 21248230, 21266715, 21653078, 22299209, 22461427, 22951944, 2384071, 23885448, 24987071, 25671752, 25681991, 25841161, 26061739, 26565599, 27486099, 27667262, 29103015, 29613217, 29698402, 30412906, 3267891, 37750797, 38843284, 39080527, 40732805, 42149443, 43666495, 5699042, 6093352, 717853, 7376382, 7536882, 7594962, 780591, 797531, 799192, 8053532, 8414602, 8521542, 8820652, 8971572, 9266012]",16,178,0,207,0,38.25,1.0,"1,0,2"
3,1.4340810186196693,0.010242695989466595,1.4340810186196693,114.75,0.02972776769509982,0.009242375716166628,1.3851884145395044,0.31898113684181506,"[10046442, 11231562, 11350892, 11541862, 12327342, 1315431, 14062948, 14111623, 14155739, 14204887, 14307465, 14333927, 14390067, 14516061, 14519891, 14599976, 14986396, 15011971, 15076390, 15093092, 15112648, 15145142, 15225972, 15422070, 15490016, 15757811, 15953354, 15978412, 16054649, 16236786, 16394063, 16645520, 16796298, 16918618, 16945563, 17150049, 17173775, 17340590, 17357985, 17515749, 17537187, 17850012, 18033114, 18211716, 18301693, 18882655, 19202226, 19320233, 19401409, 19539658, 19564125, 19686924, 20693960, 20708884, 20724218, 20726522, 20734423, 20745227, 21248230, 21266715, 21653078, 22299209, 22461427, 22951944, 2384071, 23885448, 24987071, 25671752, 25681991, 25841161, 26061739, 26565599, 27486099, 27667262, 29103015, 29613217, 29698402, 30412906, 3267891, 37750797, 38843284, 39080527, 40732805, 42149443, 43666495, 5699042, 6093352, 717853, 7376382, 7536882, 7594962, 780591, 797531, 799192, 8053532, 8414602, 8521542, 8820652, 8971572, 9266012]",16,188,0,216,0,38.25,1.0,"1,0,2"
4,1.4340810186196693,0.010242695989466595,1.4340810186196693,114.75,0.02972776769509982,0.009242375716166628,1.3913017759319593,0.31248926603270155,"[10046442, 11231562, 11350892, 11541862, 12327342, 1315431, 14062948, 14111623, 14155739, 14204887, 14307465, 14333927, 14390067, 14516061, 14519891, 14599976, 14986396, 15011971, 15076390, 15093092, 15112648, 15145142, 15225972, 15422070, 15490016, 15757811, 15953354, 15978412, 16054649, 16236786, 16394063, 16645520, 16796298, 16918618, 16945563, 17150049, 17173775, 17340590, 17357985, 17515749, 17537187, 17850012, 18033114, 18211716, 18301693, 18882655, 19202226, 19320233, 19401409, 19539658, 19564125, 19686924, 20693960, 20708884, 20724218, 20726522, 20734423, 20745227, 21248230, 21266715, 21653078, 22299209, 22461427, 22951944, 2384071, 23885448, 24987071, 25671752, 25681991, 25841161, 26061739, 26565599, 27486099, 27667262, 29103015, 29613217, 29698402, 30412906, 3267891, 37750797, 38843284, 39080527, 40732805, 42149443, 43666495, 5699042, 6093352, 717853, 7376382, 7536882, 7594962, 780591, 797531, 799192, 8053532, 8414602, 8521542, 8820652, 8971572, 9266012]",16,164,0,194,0,38.25,1.0,"1,0,2"
5,1.4340810186196693,0.010242695989466595,1.4340810186196693,114.75,0.02972776769509982,0.009242375716166628,1.3942002278680932,0.31949359780460723,"[10046442, 11231562, 11350892, 11541862, 12327342, 1315431, 14062948, 14111623, 14155739, 14204887, 14307465, 14333927, 14390067, 14516061, 14519891, 14599976, 14986396, 15011971, 15076390, 15093092, 15112648, 15145142, 15225972, 15422070, 15490016, 15757811, 15953354, 15978412, 16054649, 16236786, 16394063, 16645520, 16796298, 16918618, 16945563, 17150049, 17173775, 17340590, 17357985, 17515749, 17537187, 17850012, 18033114, 18211716, 18301693, 18882655, 19202226, 19320233, 19401409, 19539658, 19564125, 19686924, 20693960, 20708884, 20724218, 20726522, 20734423, 20745227, 21248230, 21266715, 21653078, 22299209, 22461427, 22951944, 2384071, 23885448, 24987071, 25671752, 25681991, 25841161, 26061739, 26565599, 27486099, 27667262, 29103015, 29613217, 29698402, 30412906, 3267891, 37750797, 38843284, 39080527, 40732805, 42149443, 43666495, 5699042, 6093352, 717853, 7376382, 7536882, 7594962, 780591, 797531, 799192, 8053532, 8414602, 8521542, 8820652, 8971572, 9266012]",16,197,0,227,0,38.25,1.0,"1,0,2"
6,1.4504495769642736,0.0113355833391323,1.4504495769642736,113.45,0.029600725952813066,0.006929559274548465,1.4066225748858514,0.30832430144479567,"[10046442, 11231562, 11350892, 11541862, 11763862, 12327342, 1315431, 14062948, 14111623, 14155739, 14204887, 14268324, 14269768, 14307465, 14333927, 14390067, 14516061, 14519891, 14599976, 14932486, 15011971, 15076390, 15112648, 15145142, 15225972, 15757811, 15953354, 16054649, 16227947, 16236786, 16394063, 16575742, 16730276, 16796298, 16918618, 16945563, 17150049, 17173775, 17340590, 17357985, 17498138, 17515749, 17537187, 18033114, 18120477, 18211716, 18301693, 18882655, 19202226, 19315174, 19320233, 19401409, 19539658, 19564125, 20693960, 20708884, 20724218, 20726522, 20734423, 20745227, 21248230, 21266715, 21653078, 22299209, 22461427, 22951944, 2384071, 23885448, 24987071, 25671752, 25681991, 25841161, 26061739, 26565599, 27486099, 27667262, 28644355, 29103015, 29186233, 29613217, 29698402, 30412906, 31237866, 32534283, 37750797, 38843284, 39001941, 42149443, 43666495, 5699042, 717853, 7536882, 780591, 797531, 799192, 8053532, 8521542, 8820652, 8971572, 9266012]",16,190,0,221,0,37.81666666666667,1.0,"1,0,2"
7,1.4504495769642736,0.0113355833391323,1.4504495769642736,113.45,0.029600725952813066,0.006929559274548465,1.4081421454241307,0.304684390173837,"[10046442, 11231562, 11350892, 11541862, 11763862, 12327342, 1315431, 14062948, 14111623, 14155739, 14204887, 14268324, 14269768, 14307465, 14333927, 14390067, 14516061, 14519891, 14599976, 14932486, 15011971, 15076390, 15112648, 15145142, 15225972, 15757811, 15953354, 16054649, 16227947, 16236786, 16394063, 16575742, 16730276, 16796298, 16918618, 16945563, 17150049, 17173775, 17340590, 17357985, 17498138, 17515749, 17537187, 18033114, 18120477, 18211716, 18301693, 18882655, 19202226, 19315174, 19320233, 19401409, 19539658, 19564125, 20693960, 20708884, 20724218, 20726522, 20734423, 20745227, 21248230, 21266715, 21653078, 22299209, 22461427, 22951944, 2384071, 23885448, 24987071, 25671752, 25681991, 25841161, 26061739, 26565599, 27486099, 27667262, 28644355, 29103015, 29186233, 29613217, 29698402, 30412906, 31237866, 32534283, 37750797, 38843284, 39001941, 42149443, 43666495, 5699042, 717853, 7536882, 780591, 797531, 799192, 8053532, 8521542, 8820652, 8971572, 9266012]",16,166,0,196,0,37.81666666666667,1.0,"1,0,2"
8,1.4504495769642736,0.0113355833391323,1.4504495769642736,113.45,0.029600725952813066,0.006929559274548465,1.4109271392668954,0.30366608211945084,"[10046442, 11231562, 11350892, 11541862, 11763862, 12327342, 1315431, 14062948, 14111623, 14155739, 14204887, 14268324, 14269768, 14307465, 14333927, 14390067, 14516061, 14519891, 14599976, 14932486, 15011971, 15076390, 15112648, 15145142, 15225972, 15757811, 15953354, 16054649, 16227947, 16236786, 16394063, 16575742, 16730276, 16796298, 16918618, 16945563, 17150049, 17173775, 17340590, 17357985, 17498138, 17515749, 17537187, 18033114, 18120477, 18211716, 18301693, 18882655, 19202226, 19315174, 19320233, 19401409, 19539658, 19564125, 20693960, 20708884, 20724218, 20726522, 20734423, 20745227, 21248230, 21266715, 21653078, 22299209, 22461427, 22951944, 2384071, 23885448, 24987071, 25671752, 25681991, 25841161, 26061739, 26565599, 27486099, 27667262, 28644355, 29103015, 29186233, 29613217, 29698402, 30412906, 31237866, 32534283, 37750797, 38843284, 39001941, 42149443, 43666495, 5699042, 717853, 7536882, 780591, 797531, 799192, 8053532, 8521542, 8820652, 8971572, 9266012]",16,187,0,214,0,37.81666666666667,1.0,"1,0,2"
9,1.4504495769642736,0.0113355833391323,1.4504495769642736,113.45,0.029600725952813066,0.006929559274548465,1.413403216908601,0.28998889623777774,"[10046442, 11231562, 11350892, 11541862, 11763862, 12327342, 1315431, 14062948, 14111623, 14155739, 14204887, 14268324, 14269768, 14307465, 14333927, 14390067, 14516061, 14519891, 14599976, 14932486, 15011971, 15076390, 15112648, 15145142, 15225972, 15757811, 15953354, 16054649, 16227947, 16236786, 16394063, 16575742, 16730276, 16796298, 16918618, 16945563, 17150049, 17173775, 17340590, 17357985, 17498138, 17515749, 17537187, 18033114, 18120477, 18211716, 18301693, 18882655, 19202226, 19315174, 19320233, 19401409, 19539658, 19564125, 20693960, 20708884, 20724218, 20726522, 20734423, 20745227, 21248230, 21266715, 21653078, 22299209, 22461427, 22951944, 2384071, 23885448, 24987071, 25671752, 25681991, 25841161, 26061739, 26565599, 27486099, 27667262, 28644355, 29103015, 29186233, 29613217, 29698402, 30412906, 31237866, 32534283, 37750797, 38843284, 39001941, 42149443, 43666495, 5699042, 717853, 7536882, 780591, 797531, 799192, 8053532, 8521542, 8820652, 8971572, 9266012]",16,207,0,236,0,37.81666666666667,1.0,"1,0,2"
